Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Breti,Greg Chatterson,Fred Clipsham,Jackie Miller,Andrew Scheer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 1","Kandahar",Merged with No. 7/Fusionné avec le nº 7,,,,,,,203
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 2","Wynyard",0,3,51,1,101,1,157,240
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 3","Elfros",2,3,55,7,129,0,196,300
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 4","Wynyard",0,3,48,3,81,1,136,275
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 5","Wynyard",1,3,32,6,37,0,79,178
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 6","Wynyard",1,2,56,4,134,0,197,359
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 7","Wynyard",2,9,152,13,231,4,411,598
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 7-1","Wynyard",Void/Supprimé,,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 8","Raymore",0,5,24,4,51,0,84,251
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 9","Raymore",0,9,39,0,75,0,123,181
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 10","Raymore",0,6,49,7,99,0,161,300
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 11","Poorman 88",0,2,125,9,11,2,149,268
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 12","Day Star 87",0,1,52,0,6,0,59,197
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 13","Punnichy",1,4,46,10,69,0,130,295
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 14","Wishart",0,0,34,1,73,0,108,165
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 15","Bankend",0,5,54,9,118,0,186,262
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 16","Serath",1,4,16,1,65,0,87,166
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 17","Gordon 86",0,3,158,11,7,1,180,375
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 18","Lestock",0,5,45,1,70,0,121,336
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 19","Muskowekwan 85",0,2,51,1,4,0,58,123
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 20","Leross",0,1,25,0,90,0,116,166
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 21","Kelliher",1,2,21,4,91,0,119,181
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 22","Kelliher",0,0,49,4,76,0,129,198
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 23","Ituna",0,2,16,7,105,0,130,206
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 24","Ituna",0,4,22,2,61,1,90,185
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 25","Ituna",0,2,30,8,152,1,193,382
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 26","Hubbard",0,0,29,4,69,0,102,183
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 27","Little Black Bear 84",Merged with No. 28/Fusionné avec le nº 28,,,,,,,19
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 28","Star Blanket 83",0,7,76,8,1,0,92,87
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 29","Okanese 82",Merged with No. 28/Fusionné avec le nº 28,,,,,,,65
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 30","Peepeekisis 81",0,4,56,9,7,0,76,135
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 31","Southey",1,4,70,12,194,0,281,477
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 32","Southey",1,1,25,3,90,0,120,162
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 33","Markinch",0,4,43,6,135,0,188,271
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 34","Cupar",0,4,15,4,92,0,115,153
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 35","Cupar",0,6,36,2,70,0,114,179
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 36","Cupar",0,0,46,4,96,1,147,274
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 37","Dysart",1,12,43,8,171,0,235,739
