Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Conway,Jessica Gal,Rachel Hoffman,Marlene Jennings,Gabrielle Ladouceur-Despins,David Andrew Lovett,Isabelle Morin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 52","Lachine",21,6,0,68,26,2,107,2,232,431
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 53","Lachine",20,3,0,48,21,2,74,2,170,346
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 54","Lachine",28,7,0,53,51,1,135,2,277,456
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 54-1","Lachine",23,4,0,56,11,1,73,3,171,361
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 55","Lachine",22,7,0,74,37,1,100,5,246,441
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 56","Lachine",32,7,0,53,24,1,92,3,212,483
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 57","Lachine",11,4,0,28,16,0,45,0,104,333
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 58","Lachine",20,0,0,31,7,0,85,1,144,279
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 59","Lachine",Merged with No. 58/Fusionné avec le nº 58,,,,,,,,,171
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 60","Lachine",30,9,0,66,37,2,122,3,269,456
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 61","Lachine",26,7,0,64,29,1,107,0,234,440
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 62","Lachine",27,1,0,57,22,1,90,0,198,383
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 63","Lachine",15,1,0,44,15,0,64,1,140,270
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 64","Lachine",28,9,0,21,41,1,119,7,226,525
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 65","Lachine",35,12,0,46,13,0,60,1,167,409
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 66","Lachine",18,4,1,41,16,1,74,4,159,382
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 67","Lachine",14,5,0,32,16,0,80,0,147,428
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 68","Lachine",29,9,1,50,37,2,87,3,218,515
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 69","Lachine",8,0,1,33,12,0,55,1,110,330
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 70","Lachine",18,0,0,50,15,0,52,1,136,421
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 71","Lachine",17,1,1,52,16,1,63,2,153,400
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 72","Lachine",12,3,0,37,16,0,90,6,164,359
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 73","Lachine",12,9,1,31,13,2,38,5,111,287
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 74","Lachine",6,1,0,31,17,2,53,3,113,370
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 75","Lachine",16,3,0,19,20,1,51,2,112,366
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 76","Lachine",4,1,0,38,30,0,54,0,127,272
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 77","Lachine",20,10,0,43,38,0,117,2,230,438
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 78","Lachine",21,7,0,79,30,0,111,3,251,571
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 79","Lachine",17,5,0,29,43,0,114,5,213,389
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 80","Lachine",47,5,4,127,35,3,54,14,289,391
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 80-1","Lachine",8,2,1,35,17,2,54,2,121,283
