Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rick Austin,Ryan Cleary,Siobhan Coady,Loyola Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 1","St. John's",3,138,38,24,2,205,433
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 2","St. John's",1,120,63,31,0,215,437
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 3","St. John's",4,111,15,18,1,149,294
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 4","St. John's",4,109,66,27,1,207,401
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 5","St. John's",2,122,61,9,1,195,404
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 6","St. John's",Void/Supprimé,,,,,,
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 7","St. John's",2,113,46,21,0,182,360
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 8","St. John's",0,58,31,24,0,113,271
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 9","St. John's",3,88,25,21,0,137,291
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 9-1","St. John's",3,128,28,25,0,184,430
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 10","St. John's",0,64,9,7,0,80,242
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 11","St. John's",6,147,40,23,0,216,434
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 12","St. John's",2,107,33,17,0,159,383
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 13","St. John's",0,95,41,36,0,172,309
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 14","St. John's",6,133,49,40,3,231,428
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 15","St. John's",1,97,43,41,1,183,382
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 16","St. John's",4,96,41,26,0,167,320
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 17","St. John's",2,95,30,34,0,161,286
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 18","St. John's",4,67,34,19,0,124,331
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 19","St. John's",2,108,26,32,2,170,311
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 20","St. John's",5,115,95,41,2,258,430
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 21","St. John's",1,69,58,30,3,161,271
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 22","St. John's",2,105,54,22,1,184,351
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 23","St. John's",Void/Supprimé,,,,,,
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 24","St. John's",3,85,42,31,1,162,312
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 25","St. John's",3,100,65,28,0,196,387
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 26","St. John's",1,117,56,31,1,206,387
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 27","St. John's",1,120,38,30,0,189,386
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 28","St. John's",1,66,37,25,0,129,271
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 29","St. John's",1,49,27,20,1,98,222
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 30","St. John's",2,60,37,47,1,147,314
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 31","St. John's",1,62,41,23,0,127,304
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 32","St. John's",0,83,31,28,0,142,301
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 33","St. John's",1,59,23,12,0,95,202
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 34","St. John's",1,58,14,14,0,87,170
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 34-1","St. John's",1,114,30,21,1,167,368
