Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Roger Benham,Maggie Braun,Nathan Paul Cullen,Clay Harmon,Rod Taylor,Kyle Warwick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 170","Burns Lake",6,1,74,55,4,6,0,146,318
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 171","Burns Lake",0,0,23,16,0,1,0,40,107
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 172","Burns Lake",9,1,47,48,2,4,0,111,231
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 173","Burns Lake",1,0,41,86,3,3,0,134,235
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 174","Burns Lake",4,1,22,57,2,6,0,92,202
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 175","Burns Lake",2,0,26,47,0,1,1,77,135
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 176","François Lake",9,0,85,107,1,0,0,202,348
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 177","Wistaria",Void/Supprimé,,,,,,,,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 178","Southbank",4,0,52,40,3,1,0,100,192
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 179","Grassy Plains",13,0,43,91,9,3,0,159,267
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 180","Tachie",2,0,77,11,1,4,0,95,179
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 181","Fort St. James",3,0,29,62,4,1,0,99,229
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 182","Fort St. James",14,0,70,122,3,15,1,225,477
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 183A","Fort St. James",8,1,67,51,4,9,0,140,278
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 183B","Fort St. James",9,1,59,60,5,6,0,140,298
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 184","Fort St. James",8,0,113,93,5,8,0,227,441
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 185A","Fort St. James",6,0,23,29,0,5,0,63,264
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 185B","Fort St. James",5,0,43,26,1,2,0,77,260
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 186","Fort St. James",3,0,52,15,1,5,0,76,312
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 187","Fort St. James",1,0,23,32,2,2,0,60,85
