Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Braden,Jamilé Ghaddar,Anthony Giles,Nancy MacBain,Peter Michael Ormond,David Sweet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 501","Mobile poll/Bureau itinérant",13,1,1,20,3,46,0,84,185
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 502","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 503","Mobile poll/Bureau itinérant",34,0,0,12,3,48,0,97,132
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 504","Mobile poll/Bureau itinérant",29,1,0,23,1,37,0,91,175
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 505","Mobile poll/Bureau itinérant",62,0,3,31,5,76,5,182,246
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 506","Mobile poll/Bureau itinérant",29,0,2,28,2,101,1,163,218
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 507","Mobile poll/Bureau itinérant",25,1,0,14,1,44,4,89,166
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 508","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 509","Mobile poll/Bureau itinérant",13,0,1,15,1,7,0,37,56
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 510","Mobile poll/Bureau itinérant",14,0,0,26,0,43,0,83,148
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 511","Mobile poll/Bureau itinérant",16,0,0,18,0,28,2,64,203
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 600","Flamborough",159,1,0,55,33,535,1,784,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 601","Flamborough",89,0,1,42,20,301,1,454,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 602","Flamborough",133,0,1,39,20,247,1,441,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 603","Flamborough",156,1,0,85,29,427,0,698,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 604","Flamborough",231,0,0,146,45,645,2,1069,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 605","Dundas",391,0,2,132,73,391,2,991,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 606","Hamilton ",256,0,0,110,29,139,2,536,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 607","Hamilton ",200,1,1,115,13,263,2,595,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 608","Dundas",334,1,2,145,37,524,0,1043,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 609","Ancaster",342,0,5,62,26,509,4,948,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 610","Ancaster--Flamborough",88,0,0,42,16,184,0,330,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 611","Ancaster",290,1,2,107,34,511,2,947,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 612","Ancaster",240,0,0,72,25,443,3,783,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 613","Dundas",229,0,3,70,21,195,0,518,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 614","Ancaster",162,0,4,62,14,356,0,598,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale",,Group 1/Groupe 1,26,0,0,5,7,46,0,84,157
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale",,Group 2/Groupe 2,211,0,0,74,26,324,9,644,
