Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Fahlman,Valerie Kennedy,Artem Medvedev,James Rajotte,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48014,"Edmonton--Leduc/Edmonton--Leduc"," 1","Edmonton",42,16,66,106,0,230,432
48014,"Edmonton--Leduc/Edmonton--Leduc"," 2","Edmonton",20,6,22,71,0,119,219
48014,"Edmonton--Leduc/Edmonton--Leduc"," 3","Edmonton",50,20,53,172,0,295,457
48014,"Edmonton--Leduc/Edmonton--Leduc"," 4","Edmonton",45,13,39,162,2,261,394
48014,"Edmonton--Leduc/Edmonton--Leduc"," 5","Edmonton",18,13,50,96,2,179,361
48014,"Edmonton--Leduc/Edmonton--Leduc"," 6","Edmonton",16,15,81,105,1,218,437
48014,"Edmonton--Leduc/Edmonton--Leduc"," 7","Edmonton",22,5,62,59,0,148,361
48014,"Edmonton--Leduc/Edmonton--Leduc"," 8","Edmonton",31,15,40,113,0,199,396
48014,"Edmonton--Leduc/Edmonton--Leduc"," 9","Edmonton",27,11,43,80,0,161,318
48014,"Edmonton--Leduc/Edmonton--Leduc"," 10","Edmonton",31,10,54,141,0,236,427
48014,"Edmonton--Leduc/Edmonton--Leduc"," 11","Edmonton",35,15,60,129,0,239,343
48014,"Edmonton--Leduc/Edmonton--Leduc"," 12","Edmonton",42,17,42,128,0,229,362
48014,"Edmonton--Leduc/Edmonton--Leduc"," 13","Edmonton",41,10,65,150,0,266,453
48014,"Edmonton--Leduc/Edmonton--Leduc"," 14","Edmonton",48,13,40,104,0,205,414
48014,"Edmonton--Leduc/Edmonton--Leduc"," 15","Edmonton",36,10,44,147,0,237,409
48014,"Edmonton--Leduc/Edmonton--Leduc"," 16","Edmonton",50,16,39,158,1,264,483
48014,"Edmonton--Leduc/Edmonton--Leduc"," 17","Edmonton",39,13,42,195,1,290,510
48014,"Edmonton--Leduc/Edmonton--Leduc"," 18","Edmonton",48,10,49,118,0,225,390
48014,"Edmonton--Leduc/Edmonton--Leduc"," 19","Edmonton",38,14,47,117,1,217,418
48014,"Edmonton--Leduc/Edmonton--Leduc"," 20","Edmonton",31,3,29,154,1,218,370
48014,"Edmonton--Leduc/Edmonton--Leduc"," 21","Edmonton",30,6,45,153,2,236,479
