Province,Population,Electors/Électeurs,Stationary Polls/Bureaux fixes,Mobile Polling Stations/Bureaux itinérants,Advance Polls/Bureaux de vote par anticipation,Total Polling Stations/Total des bureaux
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",505469,414779,1294,44,126,1464
"Prince Edward Island/Île-du-Prince-Édouard",135851,108456,296,10,26,332
"Nova Scotia/Nouvelle-Écosse",913462,733094,2221,55,169,2445
"New Brunswick/Nouveau-Brunswick",729997,592818,1706,78,164,1948
"Quebec/Québec",7546131,6130307,15874,461,1270,17605
"Ontario",12160282,9033266,23762,456,1603,25821
"Manitoba",1148401,831041,2379,96,183,2658
"Saskatchewan",968157,723814,2205,71,190,2466
"Alberta",3290350,2509390,6441,185,394,7020
"British Columbia/Colombie-Britannique",4113487,3109917,8103,212,544,8859
"Yukon",30372,24341,80,1,18,99
"Northwest Territories/Territoires du Nord-Ouest",41464,29020,73,0,8,81
"Nunavut",29474,17349,43,0,11,54
