Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eric Burton,Hec Clouthier,Cheryl Gallant,Christine Tabbert,Roseanne Van Schie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 1","Deux-Rivières",3,7,11,0,0,0,21,31
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 2","Head",22,33,48,7,1,0,111,170
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 3","Rolphton",24,51,93,32,2,0,202,347
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 4","Point Alexander",31,46,102,64,3,0,246,420
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 5","Deep River",27,28,40,40,0,0,135,209
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 5-1","Deep River",28,45,66,99,2,0,240,380
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 6","Deep River",34,58,86,102,4,2,286,458
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 7","Deep River",43,47,73,81,0,0,244,417
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 8","Deep River",37,39,59,47,3,1,186,391
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 9","Deep River",49,59,55,88,5,0,256,458
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 10","Deep River",27,35,43,66,4,0,175,304
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 11","Deep River",32,30,44,47,0,0,153,300
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 12","Deep River",15,22,41,33,1,0,112,247
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 13","Wylie",4,31,28,26,1,0,90,153
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 14","Chalk River",27,28,101,34,4,0,194,343
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 15","Chalk River",18,50,84,20,1,0,173,308
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 16","Mountain View",36,67,156,43,6,0,308,595
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 17","Petawawa",19,17,120,3,3,4,166,575
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 17-1","Petawawa",Void/Supprimé,,,,,,,
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 18","Petawawa",25,9,123,8,4,0,169,584
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 19","Petawawa",Void/Supprimé,,,,,,,
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 20","Petawawa",Void/Supprimé,,,,,,,
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 21","Petawawa",Void/Supprimé,,,,,,,
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 22","Petawawa",23,39,99,41,3,1,206,457
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 23","Petawawa",16,28,48,23,1,0,116,238
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 23-1","Petawawa",23,27,70,17,1,1,139,316
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 24","Petawawa",33,36,67,9,1,0,146,347
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 25","Petawawa",14,22,79,16,4,0,135,407
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 26","Petawawa",11,6,67,5,4,0,93,352
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 27","Petawawa",Void/Supprimé,,,,,,,
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 28","Petawawa",38,59,170,33,5,2,307,618
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 29","Petawawa",25,27,89,23,6,1,171,342
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 30","Petawawa",17,33,104,20,0,0,174,333
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 31","Petawawa",30,21,90,25,1,1,168,325
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 31-1","Petawawa",18,10,105,9,1,1,144,294
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 32","Petawawa",29,30,120,11,3,0,193,470
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 33","Petawawa",14,83,113,24,4,0,238,464
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 34","Petawawa",22,66,152,35,1,2,278,545
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 35","Petawawa",28,107,107,25,4,0,271,508
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 36","Petawawa",9,29,61,32,1,0,132,234
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 36-1","Petawawa",16,58,106,29,5,1,215,421
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 37","Petawawa",11,51,70,11,5,1,149,314
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 38","Petawawa",24,61,106,29,0,0,220,452
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 39","Petawawa",26,70,119,29,3,1,248,443
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 40","Forest Lea",17,46,145,61,4,1,274,458
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 40-1","Laurentian Valley",16,14,46,15,3,0,94,168
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 41","Alice",33,74,199,33,0,0,339,544
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 42","Locksley",11,16,38,8,0,0,73,116
