Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Gordon Clarke,Lawrence Joseph,Gabe Lafond,George Morin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 121A","Debden",154,23,10,4,1,192,227
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 121B","Debden",71,14,9,5,0,99,251
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 122","Park Valley",72,7,2,4,1,86,130
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 123","Canwood",91,15,1,0,0,107,156
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 124","Canwood",203,33,6,9,2,253,512
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 125","Canwood",94,9,2,0,0,105,149
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 126","Montreal Lake 106--Timber Bay",3,68,4,3,0,78,329
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 127","Montreal Lake",5,92,6,4,5,112,238
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 128","Weyakwin",26,36,2,4,0,68,146
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 129","Sturgeon Valley",141,27,3,3,0,174,258
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 130","Sturgeon Lake",2,42,0,0,0,44,58
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 131","Sturgeon Lake 101",1,175,3,0,0,179,628
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 132","Little Red River 106C",7,89,5,3,0,104,255
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 133","Waskesiu Lake",61,13,11,6,0,91,147
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 134","Emma Lake",83,22,5,6,0,116,378
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 135A","Christopher Lake",Merged with No. 136A/Fusionné avec le nº 136A,,,,,,70
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 135B","Christopher Lake",Merged with No. 136B/Fusionné avec le nº 136B,,,,,,53
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 136A","Christopher Lake",157,53,8,10,0,228,329
