Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Gordon Clarke,Lawrence Joseph,Gabe Lafond,George Morin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 72","Mudie Lake",Merged with No. 73/Fusionné avec le nº 73,,,,,,119
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 73","Little Fishing Lake",22,77,2,4,0,105,273
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 74","Makwa Lake",46,9,2,0,3,60,173
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 75","Loon Lake",9,171,4,4,1,189,270
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 76A","Loon Lake",47,18,3,1,0,69,229
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 76B","Loon Lake",49,13,4,1,0,67,224
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 77","Barthel",69,8,0,0,0,77,123
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 78","Makwa",126,10,2,2,1,141,238
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 79","Dorintosh--Greig Lake",153,52,3,7,0,215,403
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 80","Waterhen Lake",12,163,0,1,2,178,360
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 81","Green Lake",28,83,45,0,0,156,349
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 82","Doré Lake",32,7,1,1,0,41,62
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 83","Rapid View",168,26,9,0,0,203,357
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 84","Four Corners",134,45,1,3,0,183,313
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 85","Flying Dust First Nation 105 (Meadow Lake 105)",40,117,5,1,0,163,363
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 86","Flying Dust First Nation 105 (Meadow Lake 105)",96,37,2,0,0,135,258
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 87","Meadow Lake 105A",123,28,13,8,0,172,292
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 88A","Meadow Lake",87,34,3,1,1,126,303
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 88B","Meadow Lake",68,34,9,5,3,119,299
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 89","Meadow Lake",131,36,7,4,1,179,358
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 90","Meadow Lake",94,52,5,5,0,156,329
