Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Hogg,Karen McCrimmon,Gordon O'Connor,Erin Peters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 1","West Carleton",21,75,172,36,0,304,544
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 2","West Carleton",21,55,160,32,1,269,530
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 3","West Carleton",11,49,133,44,1,238,492
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 4","West Carleton",14,33,110,39,0,196,330
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 5","West Carleton",9,40,101,28,1,179,300
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 6","West Carleton",22,59,194,49,0,324,485
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 7","West Carleton",15,47,130,31,0,223,451
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 8","West Carleton",8,38,181,16,0,243,499
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 9","West Carleton",12,63,227,36,2,340,516
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 10","West Carleton",12,39,164,38,0,253,400
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 11","West Carleton",15,42,160,33,0,250,421
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 12","West Carleton",10,11,133,13,0,167,278
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 13","West Carleton",14,23,181,22,0,240,398
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 14","West Carleton",15,48,195,46,0,304,530
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 15","West Carleton",11,26,129,19,0,185,347
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 16","West Carleton",22,63,209,33,0,327,559
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 17","West Carleton",8,67,191,45,0,311,493
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 18","West Carleton",13,57,119,34,0,223,361
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 19","West Carleton",15,42,194,48,0,299,448
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 20","Kanata",27,72,149,24,0,272,466
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 21","Kanata",13,32,88,17,1,151,288
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 21-1","Kanata",7,93,113,57,2,272,453
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 21-2","Kanata",11,91,139,63,6,310,511
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 21-3A","Kanata",14,96,154,50,1,315,517
