Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melissa Brade,Rob Merrifield,Monika Schaefer,Zack Siezmagraff,Jacob Strydhorst,Mark Wells,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48028,"Yellowhead/Yellowhead"," 1","Grande Cache",3,155,11,8,1,40,1,219,490
48028,"Yellowhead/Yellowhead"," 2","Grande Cache",Void/Supprimé,,,,,,,,
48028,"Yellowhead/Yellowhead"," 3","Grande Cache",0,81,4,3,1,19,0,108,234
48028,"Yellowhead/Yellowhead"," 4","Grande Cache",1,111,11,3,0,32,1,159,329
48028,"Yellowhead/Yellowhead"," 5","Grande Cache",0,72,5,1,1,25,0,104,258
48028,"Yellowhead/Yellowhead"," 6","Grande Cache",0,78,9,4,0,29,0,120,288
48028,"Yellowhead/Yellowhead"," 7A","Grande Cache",1,49,3,8,0,21,1,83,341
48028,"Yellowhead/Yellowhead"," 7B","Grande Cache",0,45,4,4,0,28,0,81,360
48028,"Yellowhead/Yellowhead"," 7-1","Grande Cache",Merged with No. 7A/Fusionné avec le nº 7A,,,,,,,,7
48028,"Yellowhead/Yellowhead"," 8","Grande Cache",1,88,5,2,0,36,0,132,317
48028,"Yellowhead/Yellowhead"," 9","Grande Cache",1,84,6,3,0,37,1,132,284
48028,"Yellowhead/Yellowhead"," 10","Fox Creek",0,92,8,1,0,7,2,110,254
48028,"Yellowhead/Yellowhead"," 11","Fox Creek",Void/Supprimé,,,,,,,,
48028,"Yellowhead/Yellowhead"," 12","Fox Creek",1,110,6,7,0,13,0,137,320
48028,"Yellowhead/Yellowhead"," 13","Fox Creek",0,140,3,5,0,24,1,173,390
48028,"Yellowhead/Yellowhead"," 14","Fox Creek",0,97,6,2,0,10,0,115,347
48028,"Yellowhead/Yellowhead"," 14-1","Fox Creek",0,72,1,0,0,7,0,80,162
48028,"Yellowhead/Yellowhead"," 15","Swan Hills",1,126,5,0,0,9,0,141,283
48028,"Yellowhead/Yellowhead"," 16","Swan Hills",0,64,3,3,1,10,0,81,228
48028,"Yellowhead/Yellowhead"," 17","Swan Hills",1,100,5,6,1,12,1,126,320
48028,"Yellowhead/Yellowhead"," 18","Swan Hills",1,102,3,3,2,6,0,117,253
48028,"Yellowhead/Yellowhead"," 19","Windfall",2,175,16,2,1,9,2,207,430
48028,"Yellowhead/Yellowhead"," 20","Lone Pine",8,64,7,1,0,16,0,96,160
48028,"Yellowhead/Yellowhead"," 21","Freeman River",12,165,7,4,1,16,0,205,322
48028,"Yellowhead/Yellowhead"," 22","Blue Ridge",2,163,4,5,2,12,1,189,267
48028,"Yellowhead/Yellowhead"," 23","Connor Creek",0,219,12,1,2,11,0,245,383
48028,"Yellowhead/Yellowhead"," 24","Green Court",4,141,3,4,1,16,0,169,290
48028,"Yellowhead/Yellowhead"," 25A","Whitecourt",2,129,6,1,1,10,0,149,376
