Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alan Beesley,Kerry-Lynne Findlay,Duane Laird,Jeff Monds,John Shavluk,Nic Slater,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59006,"Delta--Richmond East/Delta--Richmond-Est"," 85","Richmond",35,133,9,0,0,68,0,245,452
59006,"Delta--Richmond East/Delta--Richmond-Est"," 85-1","Richmond",52,128,12,0,1,42,0,235,418
59006,"Delta--Richmond East/Delta--Richmond-Est"," 86","Richmond",56,127,16,1,0,98,0,298,548
59006,"Delta--Richmond East/Delta--Richmond-Est"," 87","Richmond",27,79,13,1,0,54,0,174,348
59006,"Delta--Richmond East/Delta--Richmond-Est"," 88","Richmond",41,112,19,0,0,44,0,216,404
59006,"Delta--Richmond East/Delta--Richmond-Est"," 89","Richmond",22,84,9,0,0,36,0,151,344
59006,"Delta--Richmond East/Delta--Richmond-Est"," 89-1","Richmond",53,128,12,0,0,54,1,248,396
59006,"Delta--Richmond East/Delta--Richmond-Est"," 90","Delta",Void/Supprimé,,,,,,,,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 91","Delta",44,164,11,0,4,75,0,298,481
59006,"Delta--Richmond East/Delta--Richmond-Est"," 92","Delta",17,145,8,0,2,55,0,227,350
59006,"Delta--Richmond East/Delta--Richmond-Est"," 92-1","Delta",51,227,14,1,1,38,0,332,479
59006,"Delta--Richmond East/Delta--Richmond-Est"," 93","Delta",51,186,4,1,0,41,0,283,433
59006,"Delta--Richmond East/Delta--Richmond-Est"," 94","Delta",28,133,8,0,5,50,0,224,355
59006,"Delta--Richmond East/Delta--Richmond-Est"," 95","Delta",41,155,14,0,1,87,0,298,512
59006,"Delta--Richmond East/Delta--Richmond-Est"," 96","Delta",37,93,18,1,1,69,0,219,422
59006,"Delta--Richmond East/Delta--Richmond-Est"," 97","Delta",60,145,15,1,0,67,1,289,528
59006,"Delta--Richmond East/Delta--Richmond-Est"," 98","Delta",60,159,14,0,1,64,1,299,489
59006,"Delta--Richmond East/Delta--Richmond-Est"," 99","Delta",36,126,7,0,2,34,2,207,387
59006,"Delta--Richmond East/Delta--Richmond-Est"," 100","Delta",20,107,12,0,0,53,0,192,355
59006,"Delta--Richmond East/Delta--Richmond-Est"," 101","Delta",27,146,14,0,3,71,0,261,468
59006,"Delta--Richmond East/Delta--Richmond-Est"," 102","Delta",29,115,19,1,1,63,0,228,449
59006,"Delta--Richmond East/Delta--Richmond-Est"," 103","Delta",36,117,22,1,1,73,0,250,438
59006,"Delta--Richmond East/Delta--Richmond-Est"," 104","Delta",46,128,7,1,5,75,0,262,480
59006,"Delta--Richmond East/Delta--Richmond-Est"," 105","Delta",18,85,8,0,2,50,0,163,329
59006,"Delta--Richmond East/Delta--Richmond-Est"," 106","Delta",21,61,13,0,3,71,0,169,298
59006,"Delta--Richmond East/Delta--Richmond-Est"," 107","Delta",30,103,11,0,2,56,0,202,347
59006,"Delta--Richmond East/Delta--Richmond-Est"," 108","Delta",32,121,13,0,1,78,2,247,379
59006,"Delta--Richmond East/Delta--Richmond-Est"," 109","Delta",32,82,11,2,1,55,0,183,321
59006,"Delta--Richmond East/Delta--Richmond-Est"," 110","Delta",36,92,11,0,2,71,1,213,401
59006,"Delta--Richmond East/Delta--Richmond-Est"," 111","Delta",15,61,4,0,4,39,2,125,309
59006,"Delta--Richmond East/Delta--Richmond-Est"," 112","Delta",22,124,22,1,2,65,0,236,353
59006,"Delta--Richmond East/Delta--Richmond-Est"," 113","Delta",29,84,26,0,1,81,1,222,380
59006,"Delta--Richmond East/Delta--Richmond-Est"," 114","Delta",18,97,10,0,0,68,0,193,329
59006,"Delta--Richmond East/Delta--Richmond-Est"," 115","Delta",17,95,6,0,0,20,0,138,285
59006,"Delta--Richmond East/Delta--Richmond-Est"," 116","Delta",22,99,3,0,0,35,0,159,312
59006,"Delta--Richmond East/Delta--Richmond-Est"," 117","Delta",21,99,21,1,0,69,1,212,415
59006,"Delta--Richmond East/Delta--Richmond-Est"," 118","Delta",14,61,7,0,0,24,0,106,206
59006,"Delta--Richmond East/Delta--Richmond-Est"," 119","Delta",35,174,25,1,3,96,1,335,554
59006,"Delta--Richmond East/Delta--Richmond-Est"," 120","Delta",37,155,13,0,4,89,1,299,494
59006,"Delta--Richmond East/Delta--Richmond-Est"," 121","Delta",59,151,12,0,1,101,1,325,514
59006,"Delta--Richmond East/Delta--Richmond-Est"," 122","Delta",32,119,10,2,3,50,0,216,391
59006,"Delta--Richmond East/Delta--Richmond-Est"," 123","Delta",31,95,16,1,1,62,0,206,390
59006,"Delta--Richmond East/Delta--Richmond-Est"," 124","Delta",34,114,8,0,2,68,0,226,417
59006,"Delta--Richmond East/Delta--Richmond-Est"," 125","Delta",15,106,8,0,1,50,0,180,330
59006,"Delta--Richmond East/Delta--Richmond-Est"," 126A","Delta",32,123,4,0,0,34,0,193,306
59006,"Delta--Richmond East/Delta--Richmond-Est"," 126B","Delta",14,104,7,1,1,38,2,167,272
59006,"Delta--Richmond East/Delta--Richmond-Est"," 127","Delta",35,116,14,0,0,61,0,226,392
59006,"Delta--Richmond East/Delta--Richmond-Est"," 128","Delta",14,141,8,0,1,43,0,207,309
59006,"Delta--Richmond East/Delta--Richmond-Est"," 129","Delta",51,171,19,0,1,53,0,295,453
59006,"Delta--Richmond East/Delta--Richmond-Est"," 130","Delta",42,185,10,1,1,66,2,307,506
59006,"Delta--Richmond East/Delta--Richmond-Est"," 131","Delta",33,128,13,1,0,91,1,267,482
59006,"Delta--Richmond East/Delta--Richmond-Est"," 132","Delta",32,140,9,1,0,75,0,257,423
59006,"Delta--Richmond East/Delta--Richmond-Est"," 133","Delta",25,112,9,0,0,32,0,178,388
59006,"Delta--Richmond East/Delta--Richmond-Est"," 134","Delta",16,46,6,0,2,29,0,99,294
59006,"Delta--Richmond East/Delta--Richmond-Est"," 135","Delta",40,164,14,0,1,35,0,254,399
59006,"Delta--Richmond East/Delta--Richmond-Est"," 135-1","Delta",20,56,11,1,0,32,0,120,225
59006,"Delta--Richmond East/Delta--Richmond-Est"," 136","Delta",24,101,12,0,1,34,0,172,327
59006,"Delta--Richmond East/Delta--Richmond-Est"," 137","Delta",22,114,11,1,2,51,0,201,466
59006,"Delta--Richmond East/Delta--Richmond-Est"," 138","Delta",28,106,10,1,0,53,2,200,307
59006,"Delta--Richmond East/Delta--Richmond-Est"," 139","Delta",53,147,20,1,2,56,1,280,418
59006,"Delta--Richmond East/Delta--Richmond-Est"," 140","Delta",43,173,18,0,7,49,0,290,459
59006,"Delta--Richmond East/Delta--Richmond-Est"," 141","Delta",44,107,17,0,2,54,0,224,361
59006,"Delta--Richmond East/Delta--Richmond-Est"," 142","Delta",20,73,17,0,1,50,0,161,263
59006,"Delta--Richmond East/Delta--Richmond-Est"," 143","Delta",13,71,17,0,0,50,0,151,364
59006,"Delta--Richmond East/Delta--Richmond-Est"," 144","Delta",50,153,18,1,1,56,0,279,551
59006,"Delta--Richmond East/Delta--Richmond-Est"," 145","Delta",45,167,14,1,2,52,0,281,520
59006,"Delta--Richmond East/Delta--Richmond-Est"," 146","Delta",32,115,11,3,3,72,0,236,400
59006,"Delta--Richmond East/Delta--Richmond-Est"," 147","Delta",62,153,17,0,1,63,0,296,481
59006,"Delta--Richmond East/Delta--Richmond-Est"," 148","Delta",56,165,10,2,1,36,0,270,448
59006,"Delta--Richmond East/Delta--Richmond-Est"," 149","Delta",40,109,6,0,2,48,0,205,339
59006,"Delta--Richmond East/Delta--Richmond-Est"," 150","Delta",51,167,22,0,4,53,1,298,444
59006,"Delta--Richmond East/Delta--Richmond-Est"," 151","Delta",23,144,10,2,1,40,1,221,382
59006,"Delta--Richmond East/Delta--Richmond-Est"," 152","Delta",33,156,16,0,0,65,0,270,428
59006,"Delta--Richmond East/Delta--Richmond-Est"," 153","Delta",26,85,12,0,0,33,0,156,263
59006,"Delta--Richmond East/Delta--Richmond-Est"," 154","Delta",48,136,7,0,1,37,0,229,402
59006,"Delta--Richmond East/Delta--Richmond-Est"," 155","Delta",43,150,19,0,0,59,0,271,435
59006,"Delta--Richmond East/Delta--Richmond-Est"," 156","Delta",18,93,19,0,0,36,0,166,284
59006,"Delta--Richmond East/Delta--Richmond-Est"," 157","Delta",21,162,12,2,2,44,2,245,462
59006,"Delta--Richmond East/Delta--Richmond-Est"," 158","Delta",18,151,10,1,3,44,0,227,350
59006,"Delta--Richmond East/Delta--Richmond-Est"," 159","Delta",33,191,17,0,1,44,0,286,468
59006,"Delta--Richmond East/Delta--Richmond-Est"," 160","Delta",29,167,13,0,2,37,0,248,383
59006,"Delta--Richmond East/Delta--Richmond-Est"," 161","Delta",46,159,19,0,1,47,0,272,447
59006,"Delta--Richmond East/Delta--Richmond-Est"," 162","Delta",34,131,21,0,3,37,0,226,399
59006,"Delta--Richmond East/Delta--Richmond-Est"," 163","Delta",38,104,8,2,3,46,1,202,354
59006,"Delta--Richmond East/Delta--Richmond-Est"," 164","Delta",34,161,7,0,0,31,1,234,422
59006,"Delta--Richmond East/Delta--Richmond-Est"," 165","Delta",41,164,11,1,1,74,2,294,428
59006,"Delta--Richmond East/Delta--Richmond-Est"," 166","Delta",25,140,18,0,2,39,0,224,414
59006,"Delta--Richmond East/Delta--Richmond-Est"," 167","Delta",39,161,19,0,3,40,0,262,409
59006,"Delta--Richmond East/Delta--Richmond-Est"," 168","Delta",34,185,12,0,2,51,0,284,433
59006,"Delta--Richmond East/Delta--Richmond-Est"," 169","Delta",54,169,16,2,2,56,1,300,447
59006,"Delta--Richmond East/Delta--Richmond-Est"," 170","Delta",32,177,12,0,1,34,1,257,471
59006,"Delta--Richmond East/Delta--Richmond-Est"," 171","Delta",32,114,8,0,0,21,0,175,289
59006,"Delta--Richmond East/Delta--Richmond-Est"," 172","Delta",61,123,30,2,2,66,0,284,440
59006,"Delta--Richmond East/Delta--Richmond-Est"," 173","Delta",25,211,10,0,0,43,0,289,444
59006,"Delta--Richmond East/Delta--Richmond-Est"," 174","Delta",32,104,19,0,0,39,1,195,336
59006,"Delta--Richmond East/Delta--Richmond-Est"," 500","Mobile poll/Bureau itinérant",18,39,3,1,2,13,0,76,96
59006,"Delta--Richmond East/Delta--Richmond-Est"," 501","Mobile poll/Bureau itinérant",28,75,4,1,1,19,3,131,202
59006,"Delta--Richmond East/Delta--Richmond-Est"," 502","Mobile poll/Bureau itinérant",23,77,3,1,2,18,3,127,169
59006,"Delta--Richmond East/Delta--Richmond-Est"," 503","Mobile poll/Bureau itinérant",10,10,1,0,2,16,1,40,74
59006,"Delta--Richmond East/Delta--Richmond-Est"," 504","Mobile poll/Bureau itinérant",4,13,2,0,1,14,0,34,75
59006,"Delta--Richmond East/Delta--Richmond-Est"," 600","Richmond",120,308,15,3,2,94,4,546,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 601","Richmond--Delta",39,89,0,0,0,33,0,161,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 602","Richmond",92,274,11,0,2,68,2,449,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 603","Richmond",111,252,16,1,1,78,6,465,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 604","Richmond",84,197,21,1,0,56,1,360,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 605","Richmond",96,278,31,1,2,74,2,484,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 606","Delta",66,248,22,1,3,66,0,406,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 607","Delta",74,208,16,2,0,89,0,389,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 608","Delta",93,341,19,1,1,81,0,536,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 609","Delta",97,296,21,0,2,71,0,487,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 610","Richmond",54,199,6,1,2,28,1,291,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 611","Delta",43,240,11,1,1,49,3,348,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 612","Delta",77,285,19,0,2,46,0,429,
59006,"Delta--Richmond East/Delta--Richmond-Est",,Group 1/Groupe 1,19,34,5,0,1,6,5,70,114
59006,"Delta--Richmond East/Delta--Richmond-Est",,Group 2/Groupe 2,76,205,15,0,2,51,13,362,
