Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelly Christie,Stephen J Harper,Larry R. Heather,Holly Heffernan,Marlene Lamontagne,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 1","Calgary",9,72,1,28,10,0,120,331
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 2","Calgary",18,159,2,27,21,0,227,357
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 3","Calgary",23,138,2,31,13,0,207,317
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 4","Calgary",22,166,1,46,17,0,252,384
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 5","Calgary",20,153,3,45,12,2,235,388
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 6","Calgary",23,146,1,30,14,1,215,326
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 7","Calgary",35,238,1,30,26,0,330,492
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 8","Calgary",26,155,2,23,11,1,218,333
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 9","Calgary",16,133,1,29,17,0,196,287
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 10","Calgary",21,212,1,26,17,1,278,397
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 11","Calgary",6,153,0,27,14,0,200,334
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 12","Calgary",10,195,1,21,22,1,250,376
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 13","Calgary",23,210,1,28,28,0,290,414
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 14","Calgary",6,180,1,12,21,0,220,364
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 15","Calgary",14,158,0,21,20,0,213,397
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 16","Calgary",12,248,1,27,19,0,307,479
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 17","Calgary",10,141,1,25,12,0,189,318
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 18","Calgary",9,156,1,30,23,0,219,368
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 19","Calgary",21,130,1,32,6,0,190,376
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 20","Calgary",28,168,2,31,20,0,249,397
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 21","Calgary",21,147,0,47,13,0,228,353
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 22","Calgary",23,189,0,62,31,1,306,480
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 23","Calgary",14,140,1,45,12,0,212,419
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 24","Calgary",7,135,5,29,24,1,201,293
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 25","Calgary",15,142,0,26,16,0,199,333
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 26","Calgary",14,204,1,11,19,0,249,421
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 27","Calgary",13,131,0,12,12,1,169,339
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 28","Calgary",5,116,1,5,4,4,135,240
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 29","Calgary",5,97,0,22,10,1,135,297
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 30","Calgary",4,140,3,17,22,0,186,355
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 31","Calgary",23,179,0,34,34,0,270,442
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 32","Calgary",12,235,2,24,10,2,285,422
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 33","Calgary",11,193,1,25,22,1,253,425
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 34","Calgary",18,182,0,18,21,1,240,396
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 35","Calgary",9,124,1,18,13,1,166,361
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 36","Calgary",8,137,1,22,14,2,184,315
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 37","Calgary",6,134,0,17,11,0,168,298
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 38","Calgary",5,192,1,14,17,1,230,371
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 39","Calgary",14,225,1,13,34,2,289,431
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 40","Calgary",14,164,0,17,19,0,214,349
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 41","Calgary",10,84,0,30,10,1,135,387
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 42","Calgary",9,86,1,23,9,1,129,346
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 43","Calgary",7,66,0,33,10,0,116,348
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 44","Calgary",Void/Supprimé,,,,,,,
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 45","Calgary",11,115,0,26,12,0,164,288
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 46","Calgary",15,116,0,27,15,0,173,367
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 47","Calgary",6,67,2,24,10,0,109,357
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 48","Calgary",7,100,0,20,15,2,144,335
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 49","Calgary",Void/Supprimé,,,,,,,
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 50","Calgary",20,173,0,33,28,2,256,373
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 51","Calgary",21,135,2,18,24,0,200,382
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 52","Calgary",16,164,0,34,30,1,245,399
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 53","Calgary",11,175,0,33,16,0,235,452
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 54","Calgary",10,82,0,26,20,0,138,301
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 55","Calgary",12,108,0,20,10,0,150,291
