Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie Crawford,Andrew Lang,Jack Layton,Adriana Mugnatto-Hamu,Katarina von Koenig,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35094,"Toronto--Danforth/Toronto--Danforth"," 1","East York",0,43,94,7,42,1,187,331
35094,"Toronto--Danforth/Toronto--Danforth"," 2","East York",2,38,133,7,68,0,248,464
35094,"Toronto--Danforth/Toronto--Danforth"," 3","East York",2,36,146,15,55,0,254,434
35094,"Toronto--Danforth/Toronto--Danforth"," 4","East York",4,32,97,5,44,2,184,362
35094,"Toronto--Danforth/Toronto--Danforth"," 5","East York",1,39,108,14,35,1,198,406
35094,"Toronto--Danforth/Toronto--Danforth"," 6","East York",3,48,90,7,40,1,189,372
35094,"Toronto--Danforth/Toronto--Danforth"," 7","East York",1,19,89,10,46,0,165,354
35094,"Toronto--Danforth/Toronto--Danforth"," 8","East York",2,64,160,19,42,1,288,496
35094,"Toronto--Danforth/Toronto--Danforth"," 9","East York",2,11,90,6,27,1,137,242
35094,"Toronto--Danforth/Toronto--Danforth"," 10","East York",1,31,83,8,50,1,174,279
35094,"Toronto--Danforth/Toronto--Danforth"," 11","East York",3,21,128,8,33,0,193,433
35094,"Toronto--Danforth/Toronto--Danforth"," 12","East York",3,38,141,11,43,6,242,582
35094,"Toronto--Danforth/Toronto--Danforth"," 13","East York",1,26,62,6,22,1,118,232
35094,"Toronto--Danforth/Toronto--Danforth"," 14","East York",1,25,128,13,39,1,207,504
35094,"Toronto--Danforth/Toronto--Danforth"," 15","East York",Void/Supprimé,,,,,,,
35094,"Toronto--Danforth/Toronto--Danforth"," 16","East York",2,31,178,13,44,0,268,692
35094,"Toronto--Danforth/Toronto--Danforth"," 17","East York",0,35,122,4,31,0,192,442
35094,"Toronto--Danforth/Toronto--Danforth"," 18","East York",1,36,101,20,33,0,191,363
35094,"Toronto--Danforth/Toronto--Danforth"," 19","East York",1,48,124,11,64,0,248,423
35094,"Toronto--Danforth/Toronto--Danforth"," 20","East York",0,49,104,16,66,0,235,412
35094,"Toronto--Danforth/Toronto--Danforth"," 21","East York",4,51,117,17,76,1,266,433
35094,"Toronto--Danforth/Toronto--Danforth"," 22","East York",1,41,92,11,82,1,228,385
35094,"Toronto--Danforth/Toronto--Danforth"," 23","East York",3,44,120,12,56,0,235,400
