Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Charrois,Greg Dowman,Nick Jones,Taleeb Noormohamed,Andrew Saxton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59019,"North Vancouver/North Vancouver"," 133","North Vancouver",48,16,2,63,98,1,228,354
59019,"North Vancouver/North Vancouver"," 134","North Vancouver",64,14,1,70,76,0,225,460
59019,"North Vancouver/North Vancouver"," 135","North Vancouver",66,7,1,62,61,0,197,368
59019,"North Vancouver/North Vancouver"," 135-1","North Vancouver",53,14,1,62,88,0,218,463
59019,"North Vancouver/North Vancouver"," 136","North Vancouver",28,15,0,63,84,0,190,364
59019,"North Vancouver/North Vancouver"," 137","North Vancouver",39,11,2,54,87,0,193,340
59019,"North Vancouver/North Vancouver"," 138","North Vancouver",62,18,6,76,87,2,251,517
59019,"North Vancouver/North Vancouver"," 139","North Vancouver",37,6,2,57,103,1,206,355
59019,"North Vancouver/North Vancouver"," 140","North Vancouver",46,16,4,95,121,0,282,482
59019,"North Vancouver/North Vancouver"," 141","North Vancouver",59,13,0,67,99,1,239,436
59019,"North Vancouver/North Vancouver"," 142","North Vancouver",43,9,0,72,94,0,218,418
59019,"North Vancouver/North Vancouver"," 143","North Vancouver",31,11,0,55,87,2,186,366
59019,"North Vancouver/North Vancouver"," 144","North Vancouver",45,18,0,61,90,1,215,419
59019,"North Vancouver/North Vancouver"," 145","North Vancouver",48,13,0,49,83,0,193,365
59019,"North Vancouver/North Vancouver"," 146","North Vancouver",58,14,1,33,50,0,156,520
59019,"North Vancouver/North Vancouver"," 147","North Vancouver",58,14,0,36,72,1,181,378
59019,"North Vancouver/North Vancouver"," 148","North Vancouver",61,15,0,47,51,0,174,435
59019,"North Vancouver/North Vancouver"," 149","North Vancouver",39,15,0,94,126,1,275,524
59019,"North Vancouver/North Vancouver"," 150","North Vancouver",46,21,3,60,74,0,204,400
59019,"North Vancouver/North Vancouver"," 150-1","North Vancouver",49,15,2,66,135,1,268,523
59019,"North Vancouver/North Vancouver"," 151","North Vancouver",65,17,1,53,65,0,201,425
59019,"North Vancouver/North Vancouver"," 152","North Vancouver",44,10,4,49,51,1,159,320
59019,"North Vancouver/North Vancouver"," 153","North Vancouver",67,14,2,67,76,0,226,458
59019,"North Vancouver/North Vancouver"," 154","North Vancouver",40,13,1,64,98,0,216,395
59019,"North Vancouver/North Vancouver"," 155","North Vancouver",39,6,1,63,67,0,176,389
59019,"North Vancouver/North Vancouver"," 156","North Vancouver",59,21,1,57,158,0,296,515
59019,"North Vancouver/North Vancouver"," 157","North Vancouver",51,9,1,48,81,0,190,425
59019,"North Vancouver/North Vancouver"," 158","North Vancouver",40,10,0,41,58,0,149,323
59019,"North Vancouver/North Vancouver"," 159","North Vancouver",44,16,0,47,95,0,202,377
59019,"North Vancouver/North Vancouver"," 160","North Vancouver",44,21,3,55,54,2,179,423
59019,"North Vancouver/North Vancouver"," 161","North Vancouver",47,12,2,56,71,1,189,354
59019,"North Vancouver/North Vancouver"," 162","North Vancouver",34,3,0,49,79,0,165,306
59019,"North Vancouver/North Vancouver"," 163","North Vancouver",38,12,1,48,62,1,162,348
59019,"North Vancouver/North Vancouver"," 164","North Vancouver",38,9,0,43,97,0,187,447
59019,"North Vancouver/North Vancouver"," 165","North Vancouver",47,7,0,62,85,1,202,472
59019,"North Vancouver/North Vancouver"," 166","North Vancouver",52,17,4,60,72,0,205,387
59019,"North Vancouver/North Vancouver"," 167","North Vancouver",54,14,1,63,59,0,191,400
59019,"North Vancouver/North Vancouver"," 168","North Vancouver",69,14,2,73,72,0,230,462
59019,"North Vancouver/North Vancouver"," 169","North Vancouver",40,10,2,48,89,1,190,410
59019,"North Vancouver/North Vancouver"," 170","North Vancouver",39,16,1,80,101,0,237,466
59019,"North Vancouver/North Vancouver"," 171","North Vancouver",58,15,2,64,96,0,235,459
59019,"North Vancouver/North Vancouver"," 172","North Vancouver",63,8,3,79,76,0,229,444
59019,"North Vancouver/North Vancouver"," 173","North Vancouver",41,9,2,47,81,0,180,461
59019,"North Vancouver/North Vancouver"," 174","North Vancouver",Void/Supprimé,,,,,,,
59019,"North Vancouver/North Vancouver"," 175","North Vancouver",40,5,0,36,49,0,130,340
59019,"North Vancouver/North Vancouver"," 176","North Vancouver",37,21,1,54,47,1,161,371
59019,"North Vancouver/North Vancouver"," 177","North Vancouver",17,3,0,16,64,1,101,181
59019,"North Vancouver/North Vancouver"," 178","North Vancouver",67,19,1,68,96,1,252,489
59019,"North Vancouver/North Vancouver"," 179","North Vancouver",45,16,3,96,123,0,283,478
59019,"North Vancouver/North Vancouver"," 180","North Vancouver",48,11,2,81,102,0,244,430
59019,"North Vancouver/North Vancouver"," 181","North Vancouver",35,9,1,78,127,0,250,388
59019,"North Vancouver/North Vancouver"," 182","North Vancouver",49,9,1,53,76,1,189,402
59019,"North Vancouver/North Vancouver"," 183","North Vancouver",66,19,2,65,87,0,239,447
59019,"North Vancouver/North Vancouver"," 184","North Vancouver",58,18,2,75,81,0,234,451
59019,"North Vancouver/North Vancouver"," 185","North Vancouver",69,11,0,65,104,4,253,520
59019,"North Vancouver/North Vancouver"," 186","North Vancouver",45,16,0,91,104,0,256,471
59019,"North Vancouver/North Vancouver"," 186-1","North Vancouver",23,8,3,45,110,0,189,433
59019,"North Vancouver/North Vancouver"," 186-2","North Vancouver",56,18,1,28,46,3,152,355
59019,"North Vancouver/North Vancouver"," 187","North Vancouver",64,16,3,71,103,0,257,475
59019,"North Vancouver/North Vancouver"," 188","North Vancouver",67,19,3,69,83,0,241,472
59019,"North Vancouver/North Vancouver"," 189","North Vancouver",40,5,1,72,69,0,187,338
59019,"North Vancouver/North Vancouver"," 190","North Vancouver",60,20,2,53,75,2,212,439
59019,"North Vancouver/North Vancouver"," 191","North Vancouver",58,17,1,106,109,2,293,458
59019,"North Vancouver/North Vancouver"," 192","North Vancouver",53,18,1,85,95,1,253,425
59019,"North Vancouver/North Vancouver"," 193","North Vancouver",47,21,1,82,152,0,303,462
59019,"North Vancouver/North Vancouver"," 194","North Vancouver",44,15,0,85,90,2,236,434
59019,"North Vancouver/North Vancouver"," 195","North Vancouver",38,19,1,62,99,3,222,388
59019,"North Vancouver/North Vancouver"," 196","North Vancouver",38,13,1,59,99,3,213,400
59019,"North Vancouver/North Vancouver"," 197","North Vancouver",47,14,2,69,108,0,240,434
59019,"North Vancouver/North Vancouver"," 198","North Vancouver",38,12,1,64,148,0,263,472
59019,"North Vancouver/North Vancouver"," 199","North Vancouver",47,10,3,123,115,2,300,499
59019,"North Vancouver/North Vancouver"," 200","North Vancouver",42,17,3,79,139,0,280,434
59019,"North Vancouver/North Vancouver"," 201","North Vancouver",37,20,2,65,142,1,267,436
59019,"North Vancouver/North Vancouver"," 202","North Vancouver",60,16,2,60,129,0,267,417
59019,"North Vancouver/North Vancouver"," 203","North Vancouver",51,18,3,82,111,1,266,437
59019,"North Vancouver/North Vancouver"," 204","North Vancouver",51,16,2,59,80,0,208,420
59019,"North Vancouver/North Vancouver"," 205","North Vancouver",45,17,4,83,77,0,226,431
59019,"North Vancouver/North Vancouver"," 206","North Vancouver",37,15,1,98,123,1,275,428
59019,"North Vancouver/North Vancouver"," 207","North Vancouver",33,12,0,42,94,0,181,341
59019,"North Vancouver/North Vancouver"," 500","Mobile poll/Bureau itinérant",20,3,0,20,49,0,92,183
59019,"North Vancouver/North Vancouver"," 501","Mobile poll/Bureau itinérant",16,5,2,8,24,2,57,103
59019,"North Vancouver/North Vancouver"," 600","North Vancouver",47,16,5,237,377,1,683,
59019,"North Vancouver/North Vancouver"," 601","North Vancouver",91,23,7,189,391,2,703,
59019,"North Vancouver/North Vancouver"," 602","North Vancouver",70,32,4,229,445,0,780,
59019,"North Vancouver/North Vancouver"," 603","North Vancouver",57,21,3,164,289,0,534,
59019,"North Vancouver/North Vancouver"," 604","North Vancouver",103,27,2,203,315,1,651,
59019,"North Vancouver/North Vancouver"," 605","North Vancouver",77,35,2,194,379,0,687,
59019,"North Vancouver/North Vancouver"," 606","North Vancouver",90,21,11,181,311,0,614,
59019,"North Vancouver/North Vancouver"," 607","North Vancouver",120,31,2,225,323,5,706,
59019,"North Vancouver/North Vancouver"," 608","North Vancouver",76,35,4,178,261,1,555,
59019,"North Vancouver/North Vancouver"," 609","North Vancouver",89,32,2,222,338,1,684,
59019,"North Vancouver/North Vancouver"," 610","North Vancouver",85,31,2,201,439,0,758,
59019,"North Vancouver/North Vancouver"," 611","North Vancouver",113,32,1,184,274,0,604,
59019,"North Vancouver/North Vancouver"," 612","North Vancouver",66,25,1,214,355,8,669,
59019,"North Vancouver/North Vancouver",,Group 1/Groupe 1,12,3,2,30,41,1,89,152
59019,"North Vancouver/North Vancouver",,Group 2/Groupe 2,72,25,3,307,477,10,894,
