Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ron Cannan,Alice Hooper,Tisha Kalmanovitch,Kris Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 1","Carrs",150,23,59,30,1,263,457
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 2","Oyama",76,7,34,18,0,135,283
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 2-1","Oyama",120,14,40,14,2,190,364
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 3","Pixie Beach",96,18,38,29,0,181,348
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 4","Okanagan Centre",165,25,59,18,0,267,459
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 4-1","Lake Country",46,3,18,3,1,71,129
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 5","Woodsdale",164,29,61,30,0,284,560
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 5-1","Lake Country",130,20,62,28,1,241,514
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 6","Okanagan Centre",103,42,60,26,0,231,409
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 6-1","Lake Country",67,21,31,9,0,128,245
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 7","Winfield",149,15,51,24,0,239,460
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 8","Winfield",143,35,66,21,1,266,525
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 9","Okanagan Centre",88,13,29,15,0,145,245
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 9-1","Lake Country",112,19,40,21,0,192,343
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 10","Winfield",94,25,60,25,0,204,435
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 11","Winfield",92,12,26,16,1,147,308
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 12","Duck Lake 7",91,21,67,5,0,184,474
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 13","Duck Lake 7",Void/Supprimé,,,,,,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 14","Duck Lake 7",159,14,55,24,0,252,587
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 15","Duck Lake 7",267,18,52,18,1,356,563
