Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Cannis,Natalie Hundt,Roxanne James,Ella Ng,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35081,"Scarborough Centre/Scarborough-Centre"," 1","Scarborough",90,77,100,13,0,280,482
35081,"Scarborough Centre/Scarborough-Centre"," 2","Scarborough",37,40,39,3,1,120,316
35081,"Scarborough Centre/Scarborough-Centre"," 3","Scarborough",77,52,91,2,1,223,433
35081,"Scarborough Centre/Scarborough-Centre"," 4","Scarborough",79,75,66,6,1,227,465
35081,"Scarborough Centre/Scarborough-Centre"," 5","Scarborough",94,38,94,9,0,235,420
35081,"Scarborough Centre/Scarborough-Centre"," 6","Scarborough",72,46,89,9,2,218,406
35081,"Scarborough Centre/Scarborough-Centre"," 7","Scarborough",64,48,67,7,0,186,388
35081,"Scarborough Centre/Scarborough-Centre"," 8","Scarborough",92,91,103,4,1,291,514
35081,"Scarborough Centre/Scarborough-Centre"," 9","Scarborough",65,66,66,5,0,202,434
35081,"Scarborough Centre/Scarborough-Centre"," 10A","Scarborough",35,37,69,4,0,145,319
35081,"Scarborough Centre/Scarborough-Centre"," 10B","Scarborough",42,61,65,6,1,175,387
35081,"Scarborough Centre/Scarborough-Centre"," 10-1","Scarborough",57,78,44,3,1,183,400
35081,"Scarborough Centre/Scarborough-Centre"," 11","Scarborough",Void/Supprimé,,,,,,
35081,"Scarborough Centre/Scarborough-Centre"," 12","Scarborough",70,48,68,5,0,191,444
35081,"Scarborough Centre/Scarborough-Centre"," 13","Scarborough",68,119,58,4,2,251,565
35081,"Scarborough Centre/Scarborough-Centre"," 14","Scarborough",41,74,35,2,13,165,453
35081,"Scarborough Centre/Scarborough-Centre"," 15","Scarborough",51,72,40,2,2,167,426
35081,"Scarborough Centre/Scarborough-Centre"," 16","Scarborough",Void/Supprimé,,,,,,
35081,"Scarborough Centre/Scarborough-Centre"," 17","Scarborough",48,46,20,0,2,116,409
35081,"Scarborough Centre/Scarborough-Centre"," 18","Scarborough",63,63,58,3,2,189,390
35081,"Scarborough Centre/Scarborough-Centre"," 19","Scarborough",43,48,45,4,1,141,507
35081,"Scarborough Centre/Scarborough-Centre"," 19-1A","Scarborough",25,40,44,2,0,111,352
35081,"Scarborough Centre/Scarborough-Centre"," 19-1B","Scarborough",29,26,42,0,0,97,324
35081,"Scarborough Centre/Scarborough-Centre"," 20","Scarborough",Void/Supprimé,,,,,,
35081,"Scarborough Centre/Scarborough-Centre"," 21","Scarborough",Void/Supprimé,,,,,,
35081,"Scarborough Centre/Scarborough-Centre"," 22","Scarborough",Void/Supprimé,,,,,,
