Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Beauchamp,Johanne Deschamps,Guy Joncas,Jean-Marc Lacoste,Marc-André Morin,Mikaël St-Louis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24030,"Laurentides--Labelle/Laurentides--Labelle"," 30","Mont-Laurier",3,44,13,11,39,2,2,114,246
24030,"Laurentides--Labelle/Laurentides--Labelle"," 31","Mont-Laurier",5,67,9,18,49,3,0,151,417
24030,"Laurentides--Labelle/Laurentides--Labelle"," 32","Mont-Laurier",6,52,14,12,61,1,5,151,337
24030,"Laurentides--Labelle/Laurentides--Labelle"," 33","Mont-Laurier",1,65,16,29,65,1,5,182,408
24030,"Laurentides--Labelle/Laurentides--Labelle"," 34","Mont-Laurier",0,42,19,23,50,1,0,135,306
24030,"Laurentides--Labelle/Laurentides--Labelle"," 35","Mont-Laurier",3,64,13,9,56,1,2,148,377
24030,"Laurentides--Labelle/Laurentides--Labelle"," 36","Mont-Laurier",2,66,20,28,46,1,2,165,321
24030,"Laurentides--Labelle/Laurentides--Labelle"," 37","Mont-Laurier",3,74,20,41,79,2,5,224,352
24030,"Laurentides--Labelle/Laurentides--Labelle"," 38A","Mont-Laurier",2,96,24,55,80,1,3,261,437
24030,"Laurentides--Labelle/Laurentides--Labelle"," 38B","Mobile poll/Bureau itinérant",Merged with No. 509/Fusionné avec le nº 509,,,,,,,,44
24030,"Laurentides--Labelle/Laurentides--Labelle"," 39","Mont-Laurier",3,56,3,20,58,0,3,143,232
24030,"Laurentides--Labelle/Laurentides--Labelle"," 40","Beaux-Rivages",5,78,15,23,84,1,4,210,422
24030,"Laurentides--Labelle/Laurentides--Labelle"," 40-1","Beaux-Rivages",3,46,13,10,42,1,2,117,257
24030,"Laurentides--Labelle/Laurentides--Labelle"," 41","Lac-des-Écorces",3,37,8,8,39,0,3,98,221
24030,"Laurentides--Labelle/Laurentides--Labelle"," 42","Lac-des-Écorces",8,75,19,17,64,1,1,185,382
24030,"Laurentides--Labelle/Laurentides--Labelle"," 43","Beaux-Rivages",6,105,31,30,96,0,2,270,481
24030,"Laurentides--Labelle/Laurentides--Labelle"," 44","Val-Barrette",3,63,13,17,46,0,4,146,268
24030,"Laurentides--Labelle/Laurentides--Labelle"," 44-1","Val-Barrette",2,65,8,9,44,1,4,133,243
24030,"Laurentides--Labelle/Laurentides--Labelle"," 45","Kiamika",3,63,15,31,68,1,4,185,302
24030,"Laurentides--Labelle/Laurentides--Labelle"," 45-1","Kiamika",3,55,9,36,84,0,0,187,313
24030,"Laurentides--Labelle/Laurentides--Labelle"," 46","Saint-Aimé-du-Lac-des-Îles",3,39,12,14,67,2,2,139,267
24030,"Laurentides--Labelle/Laurentides--Labelle"," 47","Saint-Aimé-du-Lac-des-Îles",3,65,19,17,94,2,3,203,373
24030,"Laurentides--Labelle/Laurentides--Labelle"," 48","Notre-Dame-de-Pontmain",1,61,17,22,100,0,4,205,221
24030,"Laurentides--Labelle/Laurentides--Labelle"," 48-1","Notre-Dame-de-Pontmain",5,39,9,14,55,1,1,124,394
24030,"Laurentides--Labelle/Laurentides--Labelle"," 49","Lac-du-Cerf",5,66,11,21,87,2,2,194,378
24030,"Laurentides--Labelle/Laurentides--Labelle"," 50","Notre-Dame-du-Laus",3,42,20,16,95,4,1,181,325
24030,"Laurentides--Labelle/Laurentides--Labelle"," 50-1","Notre-Dame-du-Laus",1,23,20,9,54,4,0,111,218
24030,"Laurentides--Labelle/Laurentides--Labelle"," 51","Notre-Dame-du-Laus",2,55,25,20,85,2,3,192,391
24030,"Laurentides--Labelle/Laurentides--Labelle"," 52","Notre-Dame-du-Laus",1,50,35,18,89,2,0,195,303
24030,"Laurentides--Labelle/Laurentides--Labelle"," 53","L'Ascension",9,83,14,7,76,0,2,191,371
24030,"Laurentides--Labelle/Laurentides--Labelle"," 54","L'Ascension",11,32,26,16,85,0,2,172,301
