Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Beauchamp,Johanne Deschamps,Guy Joncas,Jean-Marc Lacoste,Marc-André Morin,Mikaël St-Louis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24030,"Laurentides--Labelle/Laurentides--Labelle"," 178","Saint-Sauveur",7,45,26,50,115,0,0,243,455
24030,"Laurentides--Labelle/Laurentides--Labelle"," 179","Saint-Sauveur",3,44,11,25,95,0,0,178,412
24030,"Laurentides--Labelle/Laurentides--Labelle"," 180","Saint-Sauveur",0,45,23,20,86,0,2,176,458
24030,"Laurentides--Labelle/Laurentides--Labelle"," 181","Saint-Sauveur",2,35,14,21,73,2,0,147,339
24030,"Laurentides--Labelle/Laurentides--Labelle"," 182","Saint-Sauveur",8,30,21,50,110,0,1,220,475
24030,"Laurentides--Labelle/Laurentides--Labelle"," 183","Saint-Sauveur",5,46,23,21,97,0,1,193,476
24030,"Laurentides--Labelle/Laurentides--Labelle"," 184","Saint-Sauveur",0,40,21,37,99,0,1,198,383
24030,"Laurentides--Labelle/Laurentides--Labelle"," 184-1","Saint-Sauveur",1,27,9,14,71,0,0,122,304
24030,"Laurentides--Labelle/Laurentides--Labelle"," 185","Saint-Sauveur",1,30,32,27,74,1,2,167,314
24030,"Laurentides--Labelle/Laurentides--Labelle"," 186","Saint-Sauveur",1,33,15,21,104,1,2,177,323
24030,"Laurentides--Labelle/Laurentides--Labelle"," 187","Saint-Sauveur",5,37,34,30,107,0,1,214,407
24030,"Laurentides--Labelle/Laurentides--Labelle"," 188","Saint-Sauveur",2,33,15,28,94,0,1,173,410
24030,"Laurentides--Labelle/Laurentides--Labelle"," 189","Saint-Sauveur",7,29,17,16,88,0,1,158,311
24030,"Laurentides--Labelle/Laurentides--Labelle"," 190","Saint-Sauveur",2,49,20,33,95,0,1,200,382
24030,"Laurentides--Labelle/Laurentides--Labelle"," 191","Saint-Sauveur",3,40,16,29,96,0,1,185,404
24030,"Laurentides--Labelle/Laurentides--Labelle"," 192","Saint-Sauveur",3,39,16,29,106,1,3,197,431
24030,"Laurentides--Labelle/Laurentides--Labelle"," 192-1","Saint-Sauveur",3,27,6,9,73,1,3,122,242
24030,"Laurentides--Labelle/Laurentides--Labelle"," 193","Saint-Sauveur",4,54,14,21,137,0,3,233,459
24030,"Laurentides--Labelle/Laurentides--Labelle"," 194","Saint-Sauveur",6,46,4,14,87,0,0,157,326
24030,"Laurentides--Labelle/Laurentides--Labelle"," 194-1","Saint-Sauveur",4,45,15,29,96,0,2,191,448
24030,"Laurentides--Labelle/Laurentides--Labelle"," 195","Saint-Sauveur",3,55,33,31,94,0,3,219,462
24030,"Laurentides--Labelle/Laurentides--Labelle"," 196","Piedmont",3,35,9,25,70,0,1,143,352
24030,"Laurentides--Labelle/Laurentides--Labelle"," 196-1","Piedmont",7,37,20,29,119,0,2,214,389
24030,"Laurentides--Labelle/Laurentides--Labelle"," 197","Piedmont",7,60,18,41,111,2,2,241,443
24030,"Laurentides--Labelle/Laurentides--Labelle"," 198","Piedmont",4,35,14,18,88,0,1,160,347
24030,"Laurentides--Labelle/Laurentides--Labelle"," 199","Piedmont",6,28,24,18,90,0,3,169,330
24030,"Laurentides--Labelle/Laurentides--Labelle"," 199-1","Piedmont",5,52,21,36,121,1,1,237,503
24030,"Laurentides--Labelle/Laurentides--Labelle"," 200","Sainte-Anne-des-Lacs",6,43,33,37,122,0,3,244,512
24030,"Laurentides--Labelle/Laurentides--Labelle"," 201","Sainte-Anne-des-Lacs",6,46,15,11,90,0,1,169,295
24030,"Laurentides--Labelle/Laurentides--Labelle"," 202","Sainte-Anne-des-Lacs",8,43,11,29,96,1,2,190,365
24030,"Laurentides--Labelle/Laurentides--Labelle"," 203","Sainte-Anne-des-Lacs",8,81,28,44,149,1,1,312,567
24030,"Laurentides--Labelle/Laurentides--Labelle"," 204","Sainte-Anne-des-Lacs",10,62,37,29,200,0,4,342,644
24030,"Laurentides--Labelle/Laurentides--Labelle"," 205","Sainte-Anne-des-Lacs",6,47,11,20,117,0,1,202,387
24030,"Laurentides--Labelle/Laurentides--Labelle"," 500","Mobile poll/Bureau itinérant",4,12,3,14,3,0,2,38,19
24030,"Laurentides--Labelle/Laurentides--Labelle"," 501","Mobile poll/Bureau itinérant",8,17,15,14,19,0,7,80,55
24030,"Laurentides--Labelle/Laurentides--Labelle"," 502","Mobile poll/Bureau itinérant",0,4,3,7,7,0,1,22,21
24030,"Laurentides--Labelle/Laurentides--Labelle"," 503","Mobile poll/Bureau itinérant",6,17,11,16,12,0,5,67,126
24030,"Laurentides--Labelle/Laurentides--Labelle"," 504","Mobile poll/Bureau itinérant",4,20,11,20,24,2,2,83,120
24030,"Laurentides--Labelle/Laurentides--Labelle"," 505","Mobile poll/Bureau itinérant",2,14,9,14,13,0,0,52,91
24030,"Laurentides--Labelle/Laurentides--Labelle"," 506","Mobile poll/Bureau itinérant",0,35,5,6,8,0,3,57,67
24030,"Laurentides--Labelle/Laurentides--Labelle"," 507","Mobile poll/Bureau itinérant",3,51,25,24,40,0,3,146,161
24030,"Laurentides--Labelle/Laurentides--Labelle"," 508","Mobile poll/Bureau itinérant",2,21,8,16,18,0,3,68,83
24030,"Laurentides--Labelle/Laurentides--Labelle"," 509","Mobile poll/Bureau itinérant",1,18,7,9,10,1,3,49,35
24030,"Laurentides--Labelle/Laurentides--Labelle"," 510","Mobile poll/Bureau itinérant",3,25,18,47,30,0,6,129,209
24030,"Laurentides--Labelle/Laurentides--Labelle"," 511","Mobile poll/Bureau itinérant",2,11,6,7,10,3,6,45,151
24030,"Laurentides--Labelle/Laurentides--Labelle"," 600","Ferme-Neuve",3,85,26,33,76,1,3,227,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 601","Des Ruisseaux",6,127,30,35,120,0,6,324,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 602","Mont-Laurier",5,121,19,38,102,0,5,290,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 603","Mont-Laurier",7,150,30,50,138,3,6,384,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 604","Lac-du-Cerf",2,35,11,16,19,0,1,84,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 605","Lac-des-Écorces",3,122,38,29,104,1,3,300,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 606","Rivière-Rouge--L'Ascension",11,119,39,58,87,2,5,321,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 607","L'Annonciation",20,162,44,59,127,1,6,419,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 608","Labelle",14,136,31,56,145,0,1,383,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 609","Mont-Tremblant",14,99,33,98,127,0,2,373,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 610","Saint-Jovite",13,143,44,78,141,0,4,423,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 611","Huberdeau",8,60,33,31,68,1,1,202,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 612","Saint-Faustin-Lac-Carré--Lac-Supérieur",7,157,37,64,160,0,4,429,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 613","Sainte-Agathe-des-Monts",5,117,25,45,113,0,1,306,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 614","Sainte-Agathe-des-Monts",7,198,61,84,201,1,5,557,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 615","Sainte-Agathe-des-Monts",7,209,71,79,225,1,6,598,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 616","Val-David",10,190,41,54,158,0,3,456,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 617","Val-Morin",11,113,45,49,119,0,3,340,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 618","Sainte-Marguerite",9,107,41,43,108,0,3,311,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 619","Mont-Rolland",7,129,17,62,139,3,4,361,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 620","Sainte-Adèle",9,132,60,79,174,1,6,461,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 621","Sainte-Adèle",4,175,62,94,195,2,1,533,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 622","Saint-Sauveur",2,52,45,57,112,0,1,269,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 623","Saint-Sauveur",2,68,54,93,119,1,2,339,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 624","Saint-Sauveur",3,75,33,49,107,0,2,269,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 625","Piedmont",2,90,58,74,151,0,1,376,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 626","Sainte-Anne-des-Lacs",8,114,50,78,220,0,3,473,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 627","Saint-Sauveur",4,84,47,58,122,0,3,318,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 628","Mont-Saint-Michel",0,41,9,7,42,2,1,102,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 629","Notre-Dame-de-Pontmain",0,23,10,9,34,4,1,81,
24030,"Laurentides--Labelle/Laurentides--Labelle",,Group 1/Groupe 1,5,26,30,37,29,2,11,140,220
24030,"Laurentides--Labelle/Laurentides--Labelle",,Group 2/Groupe 2,23,463,105,390,314,1,14,1310,
