Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mandeep Bhuller,Randy Kamp,Craig Speirs,Peter Tam,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 1","Dewdney",1,85,61,10,1,158,292
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 2","Dewdney",8,121,63,15,2,209,412
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 2-1","Dewdney",4,73,31,5,0,113,186
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 3","Pitt Meadows",16,111,62,13,0,202,402
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 4","Pitt Meadows",27,93,48,10,0,178,343
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 5","Pitt Meadows",19,78,54,8,0,159,326
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 5-1","Pitt Meadows",22,139,66,8,0,235,511
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 6","Pitt Meadows",5,59,46,3,0,113,260
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 6-1A","Pitt Meadows",6,39,56,10,0,111,251
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 6-1B","Pitt Meadows",7,62,46,5,0,120,275
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 7","Pitt Meadows",7,117,58,8,0,190,402
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 8","Pitt Meadows",3,67,52,4,0,126,276
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 8-1","Pitt Meadows",11,113,88,9,0,221,385
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 9","Pitt Meadows",11,118,77,12,2,220,382
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 10A","Pitt Meadows",5,84,52,11,1,153,270
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 10B","Pitt Meadows",6,117,48,8,1,180,303
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 11","Pitt Meadows",12,130,86,10,1,239,517
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 12","Pitt Meadows",7,65,91,9,0,172,414
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 13","Pitt Meadows",17,150,81,11,0,259,497
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 14","Pitt Meadows",7,167,83,15,0,272,475
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 15A","Pitt Meadows",3,50,51,7,0,111,266
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 15B","Pitt Meadows",13,66,69,10,0,158,296
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 16","Pitt Meadows",Void/Supprimé,,,,,,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 17","Pitt Meadows",17,105,123,13,0,258,486
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 18","Pitt Meadows",10,112,97,7,1,227,438
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 19","Pitt Meadows",14,95,76,14,1,200,344
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 20","Pitt Meadows",2,96,96,3,0,197,398
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 20-1","Pitt Meadows",10,48,32,1,0,91,231
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 21","Pitt Meadows",19,121,81,19,0,240,434
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 22","Pitt Meadows",16,150,97,18,1,282,480
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 23","Pitt Meadows",17,120,72,7,0,216,405
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 24","Pitt Meadows",7,81,53,5,0,146,285
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 24-1A","Pitt Meadows",16,79,53,8,0,156,293
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 24-1B","Pitt Meadows",12,65,63,4,1,145,280
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 25","Pitt Meadows",9,100,68,13,0,190,314
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 25-1","Pitt Meadows",12,144,55,5,0,216,441
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 25-2A","Pitt Meadows",8,43,19,1,0,71,255
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 25-2B","Pitt Meadows",13,68,30,12,0,123,293
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 26","Maple Ridge",10,114,41,5,0,170,350
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 26-1A","Maple Ridge",7,126,54,7,0,194,398
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 26-1B","Maple Ridge",10,119,68,9,2,208,411
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 27","Maple Ridge",Void/Supprimé,,,,,,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 28","Maple Ridge",12,89,42,4,0,147,370
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 29A","Maple Ridge",10,113,27,11,1,162,279
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 29B","Maple Ridge",9,84,43,5,0,141,251
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 30A","Maple Ridge",16,140,60,21,0,237,420
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 30B","Maple Ridge",22,135,68,10,0,235,395
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 30-1","Maple Ridge",11,158,58,8,0,235,481
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 31","Maple Ridge",13,104,43,7,1,168,272
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 31-1","Maple Ridge",12,135,59,11,1,218,427
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 32","Maple Ridge",3,76,31,8,0,118,201
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 32-1","Maple Ridge",14,131,61,9,0,215,371
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 33","Maple Ridge",9,116,59,4,0,188,325
