Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shawna Gagné,Robert Goguen,Brian Murphy,Steven Steeves,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 1A","Moncton",49,82,47,8,1,187,376
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 1B","Moncton",42,106,42,5,1,196,376
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 1C","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,10
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 2","Moncton",50,91,24,4,1,170,297
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 3","Moncton",65,101,74,11,0,251,516
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 4","Moncton",60,119,45,12,5,241,456
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 5","Moncton",49,117,61,5,1,233,407
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 6","Moncton",117,125,79,8,1,330,608
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 6-1","Moncton",39,70,26,2,1,138,252
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 7","Moncton",70,102,39,7,2,220,484
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 8","Moncton",68,112,65,15,1,261,457
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 9A","Moncton",95,72,46,6,4,223,454
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 9B","Moncton",73,68,58,10,2,211,445
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 10A","Moncton",56,49,45,9,2,161,331
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 10B","Moncton",42,50,39,4,0,135,311
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 10-1A","Moncton",84,84,53,10,1,232,419
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 10-1B","Moncton",65,83,50,7,2,207,380
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 11","Moncton",39,66,44,5,0,154,309
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 12","Moncton",55,95,82,9,1,242,416
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 13A","Moncton",40,50,25,5,3,123,301
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 13B","Moncton",63,52,29,0,0,144,319
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 14","Moncton",71,85,52,9,1,218,412
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 14-1","Moncton",77,60,37,7,2,183,377
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 15","Moncton",46,101,56,15,3,221,397
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 16","Moncton",50,35,22,5,0,112,316
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 17","Moncton",52,77,52,3,5,189,357
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 17-1","Moncton",40,30,28,3,0,101,290
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 18","Moncton",69,53,42,10,6,180,375
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 19","Moncton",67,104,76,10,2,259,564
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 20","Moncton",70,60,22,7,1,160,326
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 21","Moncton",59,127,81,8,0,275,465
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 22","Moncton",27,29,7,4,0,67,188
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 23","Moncton",42,53,33,6,2,136,273
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 24","Moncton",64,124,67,16,0,271,443
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 25","Moncton",83,122,84,12,1,302,542
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 26","Moncton",58,61,41,3,1,164,383
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 27","Moncton",49,79,19,9,0,156,328
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 28","Moncton",49,48,37,7,1,142,387
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 29","Moncton",31,49,21,3,0,104,304
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 30","Moncton",38,44,22,0,0,104,256
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 31","Moncton",41,42,28,3,0,114,268
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 32","Moncton",44,53,27,9,1,134,339
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 33","Moncton",16,34,12,4,1,67,204
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 34","Moncton",47,70,42,2,0,161,446
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 34-1","Moncton",46,81,33,6,1,167,369
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 35","Moncton",79,74,66,8,2,229,482
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 36","Moncton",43,50,33,2,4,132,317
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 37","Moncton",46,35,37,6,2,126,286
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 38","Moncton",68,37,29,13,3,150,393
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 39","Moncton",49,84,58,12,4,207,368
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 40","Moncton",38,52,46,3,0,139,292
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 41","Moncton",62,53,48,4,3,170,391
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 42","Moncton",50,53,41,10,1,155,312
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 43","Moncton",67,49,51,6,2,175,332
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 44","Moncton",63,30,33,4,1,131,340
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 45","Moncton",39,35,36,10,5,125,298
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 46","Moncton",37,18,35,2,1,93,241
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 47","Moncton",42,24,23,9,1,99,299
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 48","Moncton",67,45,69,16,1,198,407
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 49","Moncton",60,37,56,8,0,161,366
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 50","Moncton",47,38,46,12,0,143,299
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 51","Moncton",36,45,71,6,0,158,274
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 52","Moncton",48,27,110,14,0,199,358
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 53","Moncton",99,36,102,9,1,247,484
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 54","Moncton",69,51,68,9,0,197,431
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 55","Moncton",78,86,58,14,1,237,471
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 56","Moncton",83,96,131,8,5,323,527
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 57","Moncton",111,109,64,14,4,302,524
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 58","Moncton",133,103,66,19,3,324,544
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 59","Moncton",80,64,54,7,2,207,344
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 59-1","Moncton",64,80,55,6,0,205,341
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 60","Moncton",56,84,42,11,2,195,406
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 61A","Moncton",67,59,56,2,4,188,339
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 61B","Moncton",88,49,36,7,4,184,327
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 61-1","Moncton",27,88,73,8,2,198,305
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 62","Moncton",83,123,131,7,0,344,566
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 63","Moncton",73,113,107,7,2,302,540
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 63-1","Moncton",51,61,66,2,0,180,324
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 64","Moncton",55,94,60,5,1,215,365
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 65","Moncton",87,85,50,16,0,238,487
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 66","Moncton",23,17,16,5,1,62,202
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 67","Moncton",51,53,61,3,0,168,329
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 68","Moncton",73,60,60,8,1,202,366
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 69","Moncton",40,63,51,2,0,156,265
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 70","Moncton",77,70,65,10,2,224,358
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 71","Moncton",53,47,39,3,1,143,225
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 72","Moncton",66,37,48,4,1,156,324
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 73","Moncton",92,41,49,11,3,196,516
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 74A","Moncton",32,23,36,0,1,92,241
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 74B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,103
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 75","Moncton",66,18,31,5,0,120,329
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 76","Moncton",59,50,24,2,1,136,295
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 77","Moncton",59,55,32,5,1,152,318
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 78","Moncton",78,36,53,11,4,182,434
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 79","Moncton",47,28,44,4,2,125,201
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 80","Moncton",112,41,81,12,3,249,403
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 81","Moncton",57,45,43,9,1,155,320
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 82","Moncton",41,14,32,9,0,96,223
