Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claude Bachand,Tarik Brahmi,Robert David,Jean Thouin,Pierre Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24064,"Saint-Jean/Saint-Jean"," 1","Saint-Luc",36,97,22,20,8,1,184,304
24064,"Saint-Jean/Saint-Jean"," 1-1","Saint-Luc",45,84,26,18,4,2,179,277
24064,"Saint-Jean/Saint-Jean"," 2","Saint-Luc",84,133,20,19,10,3,269,540
24064,"Saint-Jean/Saint-Jean"," 3","Saint-Luc",48,99,34,21,6,4,212,380
24064,"Saint-Jean/Saint-Jean"," 4","Saint-Luc",58,144,43,31,5,2,283,455
24064,"Saint-Jean/Saint-Jean"," 4-1","Saint-Luc",50,100,19,16,4,4,193,360
24064,"Saint-Jean/Saint-Jean"," 5","Saint-Luc",89,150,10,26,3,7,285,563
24064,"Saint-Jean/Saint-Jean"," 6","Saint-Luc",84,173,22,38,4,4,325,650
24064,"Saint-Jean/Saint-Jean"," 6-1","Saint-Luc",60,106,22,29,6,3,226,484
24064,"Saint-Jean/Saint-Jean"," 7","Saint-Luc",74,126,19,30,3,0,252,419
24064,"Saint-Jean/Saint-Jean"," 8","Saint-Luc",62,130,18,28,4,0,242,403
24064,"Saint-Jean/Saint-Jean"," 8-1","Saint-Luc",76,142,13,20,3,3,257,448
24064,"Saint-Jean/Saint-Jean"," 9","Saint-Luc",52,109,12,27,3,3,206,323
24064,"Saint-Jean/Saint-Jean"," 10","Saint-Luc",35,109,6,10,4,0,164,237
24064,"Saint-Jean/Saint-Jean"," 11","Saint-Luc",53,103,15,10,4,2,187,369
24064,"Saint-Jean/Saint-Jean"," 11-1","Saint-Luc",43,66,7,18,0,1,135,246
24064,"Saint-Jean/Saint-Jean"," 12","Saint-Luc",60,141,21,22,9,2,255,405
24064,"Saint-Jean/Saint-Jean"," 13","Saint-Luc",101,195,28,21,7,2,354,535
24064,"Saint-Jean/Saint-Jean"," 14","Saint-Luc",46,69,8,14,1,3,141,217
24064,"Saint-Jean/Saint-Jean"," 15","Saint-Luc",93,136,21,19,11,2,282,451
24064,"Saint-Jean/Saint-Jean"," 16","Saint-Luc",53,74,10,18,6,1,162,316
24064,"Saint-Jean/Saint-Jean"," 16-1","Saint-Luc",46,89,17,10,6,2,170,310
24064,"Saint-Jean/Saint-Jean"," 17","Saint-Luc",71,98,11,11,5,7,203,347
24064,"Saint-Jean/Saint-Jean"," 18","Saint-Luc",83,175,19,26,10,5,318,579
24064,"Saint-Jean/Saint-Jean"," 19","Saint-Luc",53,110,13,17,3,0,196,318
24064,"Saint-Jean/Saint-Jean"," 19-1","Saint-Luc",50,90,7,11,5,5,168,361
24064,"Saint-Jean/Saint-Jean"," 20","Saint-Luc",69,139,13,19,13,5,258,406
24064,"Saint-Jean/Saint-Jean"," 20-1","Saint-Luc",43,101,21,22,2,3,192,292
24064,"Saint-Jean/Saint-Jean"," 21","Saint-Luc",84,184,20,32,7,8,335,573
24064,"Saint-Jean/Saint-Jean"," 21-1","Saint-Luc",49,118,14,30,5,5,221,382
24064,"Saint-Jean/Saint-Jean"," 21-2","Saint-Luc",46,90,10,26,2,1,175,352
24064,"Saint-Jean/Saint-Jean"," 21-3","Saint-Luc",Void/Supprimé,,,,,,,
24064,"Saint-Jean/Saint-Jean"," 22","Saint-Luc",53,99,11,25,4,3,195,431
24064,"Saint-Jean/Saint-Jean"," 23","Saint-Luc",80,93,20,10,3,0,206,420
24064,"Saint-Jean/Saint-Jean"," 24","Saint-Luc",110,139,11,13,7,3,283,570
24064,"Saint-Jean/Saint-Jean"," 25","Saint-Luc",63,104,20,23,7,0,217,377
24064,"Saint-Jean/Saint-Jean"," 25-1","Saint-Luc",74,160,22,32,6,6,300,577
24064,"Saint-Jean/Saint-Jean"," 26","Saint-Luc",57,89,17,18,7,4,192,400
24064,"Saint-Jean/Saint-Jean"," 26-1","Saint-Luc",51,93,8,13,3,1,169,354
24064,"Saint-Jean/Saint-Jean"," 27","Saint-Luc",40,68,14,10,6,4,142,269
24064,"Saint-Jean/Saint-Jean"," 27-1A","Saint-Luc",40,78,8,9,4,2,141,340
24064,"Saint-Jean/Saint-Jean"," 27-1B","Saint-Luc",44,97,14,12,4,0,171,357
24064,"Saint-Jean/Saint-Jean"," 28","Saint-Luc",61,136,18,31,4,5,255,468
24064,"Saint-Jean/Saint-Jean"," 29","Saint-Luc",67,97,24,16,5,1,210,416
24064,"Saint-Jean/Saint-Jean"," 30","Saint-Luc",72,153,33,28,6,5,297,548
24064,"Saint-Jean/Saint-Jean"," 30-1","Saint-Luc",37,87,20,7,7,3,161,307
24064,"Saint-Jean/Saint-Jean"," 31","Saint-Luc",80,122,35,29,3,0,269,506
24064,"Saint-Jean/Saint-Jean"," 32","Saint-Luc",44,61,2,10,2,2,121,263
24064,"Saint-Jean/Saint-Jean"," 32-1","Saint-Luc",60,103,21,17,6,2,209,340
24064,"Saint-Jean/Saint-Jean"," 33","Saint-Luc",98,111,18,14,2,1,244,512
24064,"Saint-Jean/Saint-Jean"," 34","Saint-Luc",36,74,7,10,0,1,128,251
24064,"Saint-Jean/Saint-Jean"," 34-1","Saint-Luc",63,120,14,25,6,2,230,432
24064,"Saint-Jean/Saint-Jean"," 35","Saint-Luc",102,125,12,22,3,4,268,512
24064,"Saint-Jean/Saint-Jean"," 36","Saint-Athanase",57,85,10,7,3,1,163,375
24064,"Saint-Jean/Saint-Jean"," 37","Saint-Athanase",71,109,12,22,2,6,222,533
24064,"Saint-Jean/Saint-Jean"," 38","Saint-Athanase",49,91,15,22,5,0,182,332
24064,"Saint-Jean/Saint-Jean"," 38-1","Saint-Athanase",84,112,22,20,6,1,245,490
24064,"Saint-Jean/Saint-Jean"," 39","Saint-Athanase",69,89,19,22,9,4,212,359
24064,"Saint-Jean/Saint-Jean"," 40","Saint-Athanase",25,57,13,16,7,5,123,226
24064,"Saint-Jean/Saint-Jean"," 40-1","Saint-Athanase",77,175,22,36,8,7,325,575
24064,"Saint-Jean/Saint-Jean"," 40-2","Saint-Athanase",60,72,11,20,4,1,168,339
24064,"Saint-Jean/Saint-Jean"," 41","Saint-Athanase",50,89,17,22,3,2,183,390
24064,"Saint-Jean/Saint-Jean"," 42","Saint-Athanase",107,148,16,32,8,3,314,564
24064,"Saint-Jean/Saint-Jean"," 43","Saint-Athanase",96,108,24,14,8,7,257,477
24064,"Saint-Jean/Saint-Jean"," 44","Saint-Athanase",77,123,14,25,2,4,245,568
24064,"Saint-Jean/Saint-Jean"," 45","Saint-Athanase",45,87,13,18,2,1,166,404
24064,"Saint-Jean/Saint-Jean"," 46","Saint-Athanase",70,151,17,17,13,2,270,551
24064,"Saint-Jean/Saint-Jean"," 47","Saint-Athanase",51,90,15,29,0,0,185,319
24064,"Saint-Jean/Saint-Jean"," 48","Mont-Saint-Grégoire",56,118,17,24,5,2,222,402
24064,"Saint-Jean/Saint-Jean"," 49","Mont-Saint-Grégoire",63,113,10,17,6,4,213,396
24064,"Saint-Jean/Saint-Jean"," 50","Saint-Grégoire-le-Grand",99,130,14,10,11,5,269,439
24064,"Saint-Jean/Saint-Jean"," 51","Saint-Grégoire-le-Grand",56,89,19,16,9,5,194,400
24064,"Saint-Jean/Saint-Jean"," 52","Mont-Saint-Grégoire",53,90,14,11,8,3,179,317
24064,"Saint-Jean/Saint-Jean"," 53","Mont-Saint-Grégoire",58,117,6,22,6,3,212,413
24064,"Saint-Jean/Saint-Jean"," 54","Sainte-Brigide-d'Iberville",65,82,13,35,9,10,214,334
24064,"Saint-Jean/Saint-Jean"," 55","Sainte-Brigide-d'Iberville",93,132,23,26,8,6,288,471
24064,"Saint-Jean/Saint-Jean"," 56","Sainte-Brigide-d'Iberville",51,78,17,26,10,2,184,299
24064,"Saint-Jean/Saint-Jean"," 57","Saint-Alexandre",34,80,17,30,0,1,162,256
24064,"Saint-Jean/Saint-Jean"," 58","Saint-Alexandre",91,143,35,23,11,6,309,458
24064,"Saint-Jean/Saint-Jean"," 59","Saint-Alexandre",48,93,8,17,6,8,180,329
24064,"Saint-Jean/Saint-Jean"," 60","Saint-Alexandre",70,119,9,38,11,12,259,429
24064,"Saint-Jean/Saint-Jean"," 61","Saint-Alexandre",58,70,7,15,8,5,163,295
24064,"Saint-Jean/Saint-Jean"," 62","Sabrevois",91,120,17,31,7,7,273,478
24064,"Saint-Jean/Saint-Jean"," 63","Sabrevois",39,85,5,18,8,1,156,399
24064,"Saint-Jean/Saint-Jean"," 64","Sabrevois",76,105,15,18,4,7,225,381
24064,"Saint-Jean/Saint-Jean"," 65","Sabrevois",51,46,4,14,1,2,118,353
24064,"Saint-Jean/Saint-Jean"," 66","L'Acadie",30,62,0,18,5,2,117,255
24064,"Saint-Jean/Saint-Jean"," 67","L'Acadie",30,46,4,9,2,1,92,252
24064,"Saint-Jean/Saint-Jean"," 68","L'Acadie",56,109,18,15,6,5,209,317
24064,"Saint-Jean/Saint-Jean"," 69","L'Acadie",72,105,12,22,10,18,239,495
24064,"Saint-Jean/Saint-Jean"," 70","L'Acadie",86,130,22,19,9,9,275,450
24064,"Saint-Jean/Saint-Jean"," 71","L'Acadie",51,109,13,17,6,1,197,355
24064,"Saint-Jean/Saint-Jean"," 72","L'Acadie",71,125,11,22,3,2,234,406
24064,"Saint-Jean/Saint-Jean"," 73","L'Acadie",44,112,15,15,7,2,195,296
24064,"Saint-Jean/Saint-Jean"," 73-1","L'Acadie",79,135,20,15,5,1,255,394
24064,"Saint-Jean/Saint-Jean"," 74","L'Acadie",73,148,32,25,11,2,291,440
24064,"Saint-Jean/Saint-Jean"," 75","L'Acadie",58,119,10,33,7,6,233,424
24064,"Saint-Jean/Saint-Jean"," 76","L'Acadie",68,97,16,19,6,3,209,354
24064,"Saint-Jean/Saint-Jean"," 77","Saint-Jean-sur-Richelieu",48,92,14,24,3,1,182,352
