Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jay Aspin,Scott Edward Daley,Rona Eckert,Anthony Rota,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 1","Hillview",116,8,52,63,1,240,396
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 2","Dymond ",80,4,68,62,2,216,453
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 3","Dymond ",82,2,62,100,1,247,414
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 3-1","Temiskaming Shores",28,1,34,42,0,105,200
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 4","Sutton Bay",75,6,33,65,0,179,317
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 5","New Liskeard",53,2,44,70,5,174,356
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 6","New Liskeard",66,0,43,60,2,171,330
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 7","New Liskeard",54,4,35,50,4,147,286
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 8","New Liskeard",45,4,30,42,0,121,325
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 9","New Liskeard",75,4,30,60,1,170,374
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 10","New Liskeard",54,1,39,36,3,133,288
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 11","New Liskeard",62,9,50,82,1,204,387
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 12","New Liskeard",39,8,44,53,1,145,317
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 13","New Liskeard",67,1,55,75,2,200,409
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 14","New Liskeard",77,9,48,68,0,202,349
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 15","New Liskeard",46,4,26,52,2,130,251
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 16","Haileybury",83,10,69,46,0,208,386
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 17","Haileybury",53,16,49,76,1,195,373
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 18","Haileybury",42,5,40,50,1,138,295
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 19","Haileybury",61,6,34,40,0,141,313
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 20","Haileybury",42,1,38,34,0,115,253
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 21","Haileybury",65,8,60,66,0,199,425
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 22","Haileybury",47,2,34,40,1,124,272
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 23","Haileybury",78,7,66,78,0,229,454
