Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelly Block,Lee Reaney,Vicki Strelioff,Nettie Wiebe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 1","Lizard Lake",60,2,2,25,0,89,161
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 2","Struan",80,1,4,24,0,109,230
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 3","Monarchvale",98,1,1,30,1,131,251
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 4","Springwater",146,1,5,32,0,184,349
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 5","Biggar",85,1,1,39,1,127,472
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 6","Biggar",62,1,3,40,1,107,258
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 7","Biggar",64,2,0,33,0,99,229
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 8","Biggar",40,2,0,31,0,73,166
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 9","Biggar",44,1,3,28,0,76,186
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 10","Biggar",80,2,5,66,0,153,316
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 11","Herschel",80,4,1,38,0,123,216
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 12","Marriott",103,0,1,38,0,142,251
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 13","McGee",122,1,1,19,0,143,294
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 14","Sovereign",162,1,2,32,0,197,325
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 15","Rosetown",103,3,2,44,1,153,311
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 16","Rosetown",105,2,2,37,0,146,228
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 17","Rosetown",81,0,1,49,0,131,194
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 18","Rosetown",81,3,0,33,1,118,220
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 19","Rosetown",137,3,3,49,1,193,303
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 20","Rosetown",208,7,4,75,1,295,636
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 21","Langham",147,4,2,50,0,203,338
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 22","Asquith",187,4,6,94,1,292,520
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 23","Kinley",191,2,5,57,0,255,389
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 24","Perdue",110,0,8,52,0,170,309
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 25","Asquith",169,2,7,104,1,283,540
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 26","Dunfermline",179,7,6,85,0,277,451
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 27","Grandora",82,2,1,54,0,139,195
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 28","Vade",137,0,3,61,0,201,314
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 29","Delisle",83,3,1,53,0,140,266
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 30","Delisle",171,2,6,83,0,262,552
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 31","Vanscoy",193,9,8,116,0,326,567
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 31-1","Vanscoy No. 345",56,1,5,51,1,114,170
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 32","Pike Lake",95,1,3,48,0,147,216
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 33","Cedar Villa Estates",171,3,8,94,1,277,440
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 34","Harris",125,3,3,94,0,225,362
47010,"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 35","Donovan",98,0,1,25,1,125,240
