Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eve Adams,Navdeep Bains,Jim Glavan,Benjamin Jonathon Ullysses Stone,Tim Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 1","Brampton",54,71,37,1,1,2,166,381
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 2","Brampton",100,98,29,5,0,0,232,416
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 3","Brampton",98,48,33,4,1,0,184,382
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 4","Brampton",81,58,44,7,0,3,193,442
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 5","Brampton",82,34,26,3,0,0,145,309
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 6","Brampton",75,102,28,3,1,0,209,515
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 7","Brampton",42,55,25,0,0,2,124,311
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 8","Brampton",35,44,26,1,0,0,106,300
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 9","Brampton",49,54,37,3,1,1,145,347
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 9-1","Brampton",30,46,17,1,1,1,96,222
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 10","Brampton",60,68,35,5,0,0,168,460
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 10-1","Brampton",98,63,28,7,3,0,199,475
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 11","Brampton",75,55,49,4,1,3,187,499
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 12","Brampton",Void/Supprimé,,,,,,,
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 13","Brampton",71,33,42,3,0,4,153,392
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 14","Brampton",74,77,40,3,1,0,195,460
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 15","Brampton",52,82,37,3,0,4,178,446
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 16","Brampton",28,45,29,3,1,1,107,332
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 17","Brampton",29,27,29,3,0,3,91,234
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 18","Brampton",27,45,7,3,0,0,82,246
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 19","Brampton",56,77,20,3,1,2,159,437
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 20","Brampton",74,124,38,2,0,0,238,562
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 21","Brampton",43,80,42,1,2,4,172,470
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 22","Brampton",52,62,32,1,0,1,148,350
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 23","Mississauga",68,58,26,4,0,3,159,392
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 24","Mississauga",72,43,25,0,0,1,141,259
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 25","Mississauga",114,49,22,4,0,1,190,355
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 26","Mississauga",102,37,35,5,0,2,181,408
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 27","Mississauga",74,69,53,5,1,1,203,508
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 28","Mississauga",89,60,23,4,0,1,177,432
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 29","Mississauga",88,58,20,3,0,1,170,434
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 30","Mississauga",102,63,41,2,0,1,209,441
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 31","Mississauga",83,39,43,5,1,1,172,347
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 32","Mississauga",90,49,20,5,0,0,164,337
