Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Cloutier,Carol Hughes,Lorraine A. Rekmans,Ray Sturgeon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 1","Manitouwadge--Hillsport",7,45,2,19,0,73,209
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 2","Manitouwadge",15,118,2,47,1,183,415
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 3","Manitouwadge",Void/Supprimé,,,,,,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 4","Manitouwadge",18,118,5,64,0,205,427
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 5","Manitouwadge",4,34,5,28,0,71,148
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 6","Manitouwadge",9,31,1,28,1,70,162
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 7","Manitouwadge",5,46,2,26,0,79,200
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 8","Manitouwadge",7,15,2,15,0,39,116
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 9","Manitouwadge",Void/Supprimé,,,,,,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 10","Pic Mobert North",6,63,1,1,0,71,117
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 11","Hornepayne",0,33,2,16,0,51,141
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 12","Hornepayne",9,82,1,17,0,109,246
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 13","Hornepayne",6,81,3,17,0,107,202
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 14","Hornepayne",8,68,3,25,1,105,257
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 15","White River",8,49,4,6,2,69,142
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 16","White River",11,87,4,21,0,123,247
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 17","White River",8,29,2,14,0,53,113
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 18","Oba",Void/Supprimé,,,,,,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 19","Calstock",14,55,2,14,1,86,167
