Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Blaney,Sacha Dougé,Danielle-Maude Gosselin,Francis Laforesterie,Nicole Laliberté,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 1","Lévis",55,2,28,6,61,5,157,329
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 2","Lévis",100,1,46,6,82,2,237,470
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 3","Lévis",71,7,25,5,63,5,176,330
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 4","Lévis",67,2,29,12,69,5,184,342
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 5","Lévis",82,0,54,16,93,1,246,392
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 6","Lévis",111,9,33,17,107,5,282,519
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 7","Lévis",117,2,28,10,119,5,281,564
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 8","Lévis",77,2,38,8,94,2,221,378
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 9","Lévis",103,7,40,12,62,3,227,377
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 10","Lévis",76,3,37,16,91,2,225,393
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 11","Lévis",80,4,25,7,83,2,201,365
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 12","Lévis",78,3,33,11,84,1,210,379
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 13","Lévis",50,2,30,7,57,5,151,312
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 14","Lévis",80,2,46,11,101,6,246,522
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 15","Lévis",34,5,20,4,61,3,127,433
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 16","Lévis",107,8,41,5,100,2,263,474
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 17","Lévis",93,7,38,15,81,3,237,351
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 18","Lévis",91,6,26,7,99,4,233,409
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 19","Lévis",87,3,44,10,92,2,238,469
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 20","Lévis",62,3,23,4,72,2,166,309
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 21","Lévis",58,2,20,6,53,2,141,363
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 22","Lévis",75,5,31,10,91,2,214,369
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 23","Lévis",93,6,46,21,84,3,253,418
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 24","Lévis",54,5,36,9,71,4,179,330
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 25","Lévis",108,4,64,10,106,1,293,404
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 26","Lévis",184,5,41,33,119,3,385,403
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 26-1","Lévis",89,1,37,15,84,0,226,614
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 27","Lévis",87,4,62,18,140,0,311,465
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 28","Lévis",72,0,44,21,120,3,260,453
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 29","Lévis",78,3,54,14,78,3,230,378
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 30","Lévis",81,2,27,9,77,1,197,387
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 31","Lévis",91,10,37,11,65,6,220,323
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 32","Lévis",51,7,39,7,74,1,179,388
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 33","Lévis",69,9,43,13,71,5,210,415
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 34","Lévis",74,6,39,21,105,0,245,451
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 35","Lévis",24,3,12,4,35,0,78,170
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 36","Lévis",61,2,43,4,66,2,178,353
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 37","Lévis",53,1,36,18,58,3,169,360
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 38","Lévis",68,4,41,12,66,4,195,382
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 39","Lévis",70,1,23,5,77,0,176,334
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 40","Lévis",82,4,30,11,87,3,217,369
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 41","Lévis",58,4,42,11,73,0,188,400
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 42","Lévis",55,5,54,14,94,3,225,373
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 43","Lévis",49,5,60,17,66,3,200,344
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 44","Lévis",61,5,37,14,52,1,170,353
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 45","Lévis",68,10,70,17,89,8,262,409
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 46","Lévis",44,9,43,4,76,2,178,335
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 47","Lévis",36,3,44,5,66,2,156,269
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 48","Lévis",69,3,25,12,73,1,183,391
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 49","Lévis",25,2,35,3,57,3,125,247
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 50","Lévis",26,0,24,1,34,0,85,186
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 51","Lévis",65,1,22,6,74,1,169,339
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 52","Lévis",46,1,24,4,47,4,126,241
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 53","Lévis",57,1,29,12,48,6,153,317
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 54","Lévis",63,2,13,9,68,2,157,374
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 55","Lévis",63,2,24,15,65,3,172,364
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 56","Lévis",51,2,24,9,77,2,165,285
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 57","Lévis",72,4,21,18,62,2,179,336
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 58","Lévis",69,4,32,21,71,5,202,359
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 59","Lévis",72,4,28,8,83,4,199,469
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 60","Lévis",57,3,22,11,69,3,165,382
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 61","Lévis",71,2,22,14,59,1,169,301
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 62","Lévis",56,2,41,14,69,4,186,346
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 63","Lévis",41,5,31,10,75,1,163,330
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 64","Lévis",50,0,26,13,61,1,151,294
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 65","Lévis",93,4,28,12,78,1,216,488
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 66","Lévis",71,0,20,10,68,3,172,339
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 67","Lévis",67,6,27,10,70,3,183,324
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 68","Lévis",101,4,42,19,109,0,275,514
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 69","Lévis",51,6,22,13,85,7,184,451
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 70","Lévis",48,2,17,2,42,3,114,314
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 71A","Lévis",104,6,28,16,98,4,256,436
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 71B","Lévis",114,0,31,11,94,4,254,448
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 72A","Lévis",42,2,15,5,67,1,132,313
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 72B","Lévis",48,1,24,10,64,1,148,326
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 73","Lévis",58,3,32,14,104,6,217,381
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 74","Lévis",104,1,28,14,103,2,252,411
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 75","Lévis",85,4,50,13,87,4,243,497
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 76","Lévis",50,5,23,12,70,2,162,457
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 77","Lévis",85,0,43,13,66,3,210,397
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 78","Lévis",80,3,47,30,92,3,255,477
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 79","Lévis",74,2,22,8,56,2,164,341
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 80","Lévis",93,1,40,10,74,3,221,401
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 81","Lévis",96,3,32,13,88,4,236,456
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 81-1","Lévis",97,4,30,7,99,4,241,467
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 82","Lévis",108,4,21,10,124,0,267,443
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 83","Lévis",95,0,34,4,88,2,223,410
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 84","Lévis",113,6,33,8,96,4,260,394
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 85A","Lévis",145,6,41,14,117,2,325,585
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 85B","Lévis",160,6,34,11,120,3,334,585
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 86","Lévis",133,5,23,11,91,7,270,450
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 86-1","Lévis",90,3,35,13,109,5,255,488
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 87","Lévis",63,2,23,2,68,3,161,323
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 88","Lévis",92,3,25,5,66,2,193,448
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 89","Saint-Romuald",57,2,37,12,60,2,170,292
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 90","Saint-Romuald",113,3,50,19,151,4,340,569
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 91","Saint-Romuald",65,7,41,11,86,4,214,438
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 92A","Saint-Romuald",47,7,23,9,43,4,133,274
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 92B","Saint-Romuald",45,3,32,4,56,2,142,276
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 93","Saint-Romuald",56,2,29,6,47,1,141,255
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 94","Saint-Romuald",74,4,46,17,88,4,233,451
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 95","Saint-Romuald",71,4,46,16,63,1,201,370
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 96","Saint-Romuald",57,4,43,20,84,0,208,418
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 97","Saint-Romuald",66,6,22,7,64,5,170,373
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 98","Saint-Romuald",61,8,33,8,82,3,195,378
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 99","Saint-Romuald",56,7,18,3,64,0,148,328
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 100","Saint-Romuald",58,3,27,14,102,1,205,334
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 100-1A","Lévis",59,6,32,13,85,7,202,340
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 100-1B","Lévis",55,2,24,10,100,6,197,349
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 101","Saint-Romuald",70,3,43,19,95,0,230,392
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 102","Saint-Romuald",87,10,58,19,121,1,296,460
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 103","Saint-Romuald",69,5,21,15,102,1,213,418
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 104","Saint-Romuald",57,4,34,7,70,1,173,268
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 105","Saint-Romuald",100,7,41,19,125,6,298,516
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 106","Saint-Romuald",43,3,17,2,55,3,123,296
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 107","Saint-Romuald",53,0,24,14,64,5,160,346
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 108","Saint-Romuald",70,4,44,14,99,3,234,485
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 109","Saint-Romuald",129,3,45,10,106,1,294,519
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 110","Saint-Romuald",72,3,52,17,97,5,246,397
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 111","Saint-Romuald",88,2,45,14,71,0,220,374
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 112","Saint-Romuald",115,4,52,19,97,1,288,520
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 113","Pintendre",97,4,35,9,56,0,201,387
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 114","Pintendre",138,3,31,18,131,1,322,517
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 115","Pintendre",103,6,36,9,98,4,256,473
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 116","Pintendre",114,5,26,10,96,3,254,529
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 117","Pintendre",66,3,19,4,56,1,149,313
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 118A","Pintendre",69,1,23,5,76,0,174,350
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 118B","Pintendre",69,3,26,3,68,0,169,352
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 119A","Pintendre",78,4,17,6,60,4,169,299
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 119B","Pintendre",67,2,22,4,65,3,163,292
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 120A","Pintendre",79,4,38,9,81,7,218,361
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 120B","Pintendre",92,6,32,8,76,4,218,359
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 121","Pintendre",123,1,33,6,77,1,241,421
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 122","Pintendre",82,4,15,4,72,1,178,310
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 123","Pintendre",90,7,40,9,73,1,220,338
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 124","Saint-Henri",140,3,32,9,94,8,286,521
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 125","Saint-Henri",104,2,21,15,81,3,226,374
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 126","Saint-Henri",150,4,18,12,98,3,285,470
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 127","Saint-Henri",92,1,21,8,67,2,191,385
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 128A","Saint-Henri",98,0,20,7,40,4,169,279
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 128B","Saint-Henri",76,4,14,8,45,0,147,266
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 129","Saint-Henri",151,2,15,9,101,0,278,489
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 130","Saint-Henri",119,6,34,3,93,2,257,439
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 131","Saint-Henri",126,1,40,13,74,7,261,479
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 132","Saint-Vallier",108,5,33,18,96,3,263,444
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 133","Saint-Vallier",105,7,34,8,62,0,216,369
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 134","La Durantaye",106,2,23,7,75,0,213,366
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 135","La Durantaye",54,1,11,4,27,0,97,224
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 136","Saint-Michel-de-Bellechasse",88,4,22,19,72,1,206,329
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 137","Saint-Michel-de-Bellechasse",65,3,22,16,62,0,168,248
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 138","Saint-Michel-de-Bellechasse",116,0,42,18,94,2,272,471
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 139","Saint-Michel-de-Bellechasse",84,4,23,11,58,2,182,316
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 140","Beaumont",107,11,22,13,96,3,252,393
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 141","Beaumont",122,4,25,28,63,4,246,336
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 142","Beaumont",103,9,29,15,68,5,229,327
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 143","Beaumont",117,6,42,20,103,13,301,462
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 144","Beaumont",103,4,21,7,66,1,202,331
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 145","Saint-Charles-de-Bellechasse",98,6,27,6,59,4,200,321
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 146","Saint-Charles-de-Bellechasse",129,1,28,11,68,8,245,377
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 147","Saint-Charles-de-Bellechasse",110,5,16,10,59,4,204,322
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 148","Saint-Charles-de-Bellechasse",139,2,27,8,53,10,239,338
