Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Chlobowski,James Ede,Max Khan,Terence Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35060,"Oakville/Oakville"," 1A","Oakville",5,24,47,100,0,176,315
35060,"Oakville/Oakville"," 1B","Oakville",14,6,44,97,0,161,300
35060,"Oakville/Oakville"," 2A","Oakville",4,14,66,59,0,143,303
35060,"Oakville/Oakville"," 2B","Oakville",5,20,38,97,0,160,297
35060,"Oakville/Oakville"," 2-1","Oakville",3,14,66,84,0,167,351
35060,"Oakville/Oakville"," 2-2","Oakville",5,50,93,169,1,318,560
35060,"Oakville/Oakville"," 2-3","Oakville",6,36,76,156,0,274,507
35060,"Oakville/Oakville"," 2-4A","Oakville",2,18,47,119,0,186,325
35060,"Oakville/Oakville"," 2-4B","Oakville",2,11,32,113,0,158,315
35060,"Oakville/Oakville"," 2-5A","Oakville",2,16,75,73,1,167,362
35060,"Oakville/Oakville"," 2-5B","Oakville",1,33,63,73,0,170,346
35060,"Oakville/Oakville"," 2-6A","Oakville",3,12,50,69,0,134,283
35060,"Oakville/Oakville"," 2-6B","Oakville",4,13,56,83,1,157,296
35060,"Oakville/Oakville"," 2-7A","Oakville",2,14,36,81,0,133,284
35060,"Oakville/Oakville"," 2-7B","Oakville",0,10,41,103,1,155,293
35060,"Oakville/Oakville"," 3A","Oakville",5,15,66,105,2,193,298
35060,"Oakville/Oakville"," 3B","Oakville",11,10,54,79,0,154,275
35060,"Oakville/Oakville"," 4","Oakville",Void/Supprimé,,,,,,
35060,"Oakville/Oakville"," 5","Oakville",13,38,80,124,0,255,449
35060,"Oakville/Oakville"," 6","Oakville",4,27,95,133,0,259,444
35060,"Oakville/Oakville"," 7","Oakville",1,16,39,105,1,162,265
35060,"Oakville/Oakville"," 8","Oakville",6,26,53,98,0,183,316
35060,"Oakville/Oakville"," 9","Oakville",15,37,110,144,0,306,496
35060,"Oakville/Oakville"," 10","Oakville",12,44,86,105,3,250,516
35060,"Oakville/Oakville"," 11","Oakville",12,38,82,143,2,277,448
35060,"Oakville/Oakville"," 12","Oakville",8,39,80,107,0,234,468
35060,"Oakville/Oakville"," 13","Oakville",7,57,79,88,0,231,425
35060,"Oakville/Oakville"," 14","Oakville",4,51,75,145,1,276,448
35060,"Oakville/Oakville"," 15","Oakville",12,42,53,119,1,227,379
35060,"Oakville/Oakville"," 16","Oakville",7,46,57,131,1,242,449
35060,"Oakville/Oakville"," 17","Oakville",21,56,104,114,2,297,486
35060,"Oakville/Oakville"," 18","Oakville",6,38,109,111,1,265,486
35060,"Oakville/Oakville"," 19","Oakville",9,51,93,170,1,324,551
35060,"Oakville/Oakville"," 20","Oakville",6,38,76,139,1,260,458
35060,"Oakville/Oakville"," 21","Oakville",10,44,92,173,1,320,558
35060,"Oakville/Oakville"," 22","Oakville",9,58,70,138,1,276,534
35060,"Oakville/Oakville"," 23","Oakville",9,9,59,132,3,212,324
35060,"Oakville/Oakville"," 24","Oakville",7,12,83,169,1,272,431
35060,"Oakville/Oakville"," 25","Oakville",3,16,64,130,0,213,349
35060,"Oakville/Oakville"," 26","Oakville",14,24,95,141,1,275,440
35060,"Oakville/Oakville"," 27","Oakville",10,19,82,162,0,273,456
35060,"Oakville/Oakville"," 28","Oakville",5,23,53,135,1,217,373
35060,"Oakville/Oakville"," 29","Oakville",13,16,38,128,0,195,316
35060,"Oakville/Oakville"," 30","Oakville",8,35,105,141,0,289,415
35060,"Oakville/Oakville"," 31","Oakville",12,23,79,136,1,251,377
35060,"Oakville/Oakville"," 32","Oakville",9,25,92,161,0,287,434
35060,"Oakville/Oakville"," 33","Oakville",4,11,70,136,0,221,334
35060,"Oakville/Oakville"," 34","Oakville",5,20,65,135,0,225,367
35060,"Oakville/Oakville"," 35","Oakville",3,13,53,122,1,192,337
35060,"Oakville/Oakville"," 36","Oakville",3,15,70,135,1,224,359
35060,"Oakville/Oakville"," 37","Oakville",5,25,72,111,1,214,371
35060,"Oakville/Oakville"," 38","Oakville",10,24,68,150,0,252,436
35060,"Oakville/Oakville"," 39","Oakville",6,31,75,132,0,244,398
35060,"Oakville/Oakville"," 40","Oakville",7,12,77,133,0,229,352
35060,"Oakville/Oakville"," 41","Oakville",15,10,81,115,0,221,338
35060,"Oakville/Oakville"," 42","Oakville",7,8,55,137,1,208,385
35060,"Oakville/Oakville"," 43","Oakville",9,11,60,147,0,227,335
35060,"Oakville/Oakville"," 44","Oakville",7,4,56,140,0,207,402
35060,"Oakville/Oakville"," 45","Oakville",10,45,55,111,0,221,401
35060,"Oakville/Oakville"," 46","Oakville",4,29,51,133,1,218,329
35060,"Oakville/Oakville"," 47","Oakville",16,22,77,129,0,244,380
35060,"Oakville/Oakville"," 48","Oakville",10,15,51,115,0,191,304
35060,"Oakville/Oakville"," 49","Oakville",8,47,87,121,1,264,422
35060,"Oakville/Oakville"," 50","Oakville",12,43,107,135,2,299,455
35060,"Oakville/Oakville"," 51","Oakville",13,32,103,119,0,267,445
35060,"Oakville/Oakville"," 52","Oakville",7,55,67,109,1,239,413
35060,"Oakville/Oakville"," 53","Oakville",5,21,73,166,0,265,413
35060,"Oakville/Oakville"," 54","Oakville",11,45,79,102,2,239,377
35060,"Oakville/Oakville"," 55","Oakville",8,29,54,71,0,162,329
35060,"Oakville/Oakville"," 56","Oakville",16,35,43,88,1,183,360
35060,"Oakville/Oakville"," 57","Oakville",13,38,71,97,2,221,365
35060,"Oakville/Oakville"," 58","Oakville",8,37,42,82,0,169,374
35060,"Oakville/Oakville"," 59","Oakville",7,41,45,60,0,153,257
35060,"Oakville/Oakville"," 60","Oakville",11,43,82,84,0,220,376
35060,"Oakville/Oakville"," 61","Oakville",15,66,35,41,0,157,243
35060,"Oakville/Oakville"," 62","Oakville",5,27,11,11,0,54,149
35060,"Oakville/Oakville"," 63","Oakville",Void/Supprimé,,,,,,
35060,"Oakville/Oakville"," 64A","Oakville",10,36,74,64,2,186,327
35060,"Oakville/Oakville"," 64B","Oakville",5,25,40,79,0,149,293
35060,"Oakville/Oakville"," 65","Oakville",12,29,55,80,1,177,299
35060,"Oakville/Oakville"," 66","Oakville",13,50,62,90,1,216,364
35060,"Oakville/Oakville"," 67","Oakville",7,38,41,84,1,171,298
35060,"Oakville/Oakville"," 68","Oakville",5,51,55,121,0,232,378
35060,"Oakville/Oakville"," 69","Oakville",13,45,61,56,0,175,402
35060,"Oakville/Oakville"," 70","Oakville",5,37,36,91,0,169,376
35060,"Oakville/Oakville"," 71","Oakville",8,21,56,101,1,187,356
35060,"Oakville/Oakville"," 72","Oakville",8,32,70,126,1,237,378
35060,"Oakville/Oakville"," 73","Oakville",3,7,52,155,1,218,339
35060,"Oakville/Oakville"," 74","Oakville",7,13,51,159,1,231,394
35060,"Oakville/Oakville"," 75","Oakville",9,29,55,100,0,193,381
35060,"Oakville/Oakville"," 76","Oakville",11,21,122,194,0,348,528
35060,"Oakville/Oakville"," 77","Oakville",8,23,57,120,0,208,325
35060,"Oakville/Oakville"," 78","Oakville",14,19,85,148,2,268,414
35060,"Oakville/Oakville"," 79","Oakville",15,33,98,105,2,253,409
35060,"Oakville/Oakville"," 80","Oakville",6,20,33,89,0,148,247
35060,"Oakville/Oakville"," 81","Oakville",14,28,83,166,0,291,491
35060,"Oakville/Oakville"," 82","Oakville",6,17,49,101,0,173,316
35060,"Oakville/Oakville"," 83","Oakville",11,37,79,108,0,235,372
35060,"Oakville/Oakville"," 84","Oakville",6,25,27,42,1,101,232
35060,"Oakville/Oakville"," 85","Oakville",8,24,39,49,1,121,272
35060,"Oakville/Oakville"," 86","Oakville",11,42,40,49,0,142,342
35060,"Oakville/Oakville"," 87","Oakville",9,48,64,89,2,212,352
35060,"Oakville/Oakville"," 88","Oakville",7,35,41,78,0,161,301
35060,"Oakville/Oakville"," 89","Oakville",18,56,51,82,1,208,365
35060,"Oakville/Oakville"," 90A","Oakville",13,32,33,58,0,136,303
35060,"Oakville/Oakville"," 90B","Oakville",4,35,38,70,0,147,313
35060,"Oakville/Oakville"," 91","Oakville",Void/Supprimé,,,,,,
35060,"Oakville/Oakville"," 92","Oakville",8,34,92,176,0,310,478
35060,"Oakville/Oakville"," 93","Oakville",11,21,86,152,1,271,430
35060,"Oakville/Oakville"," 94","Oakville",4,29,41,89,0,163,286
35060,"Oakville/Oakville"," 95","Oakville",5,39,70,75,2,191,356
35060,"Oakville/Oakville"," 96","Oakville",8,43,45,81,0,177,319
35060,"Oakville/Oakville"," 97","Oakville",16,70,59,89,1,235,435
35060,"Oakville/Oakville"," 98","Oakville",7,49,47,106,0,209,366
35060,"Oakville/Oakville"," 99","Oakville",7,70,46,131,1,255,427
35060,"Oakville/Oakville"," 100","Oakville",4,36,46,79,1,166,310
