Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Carmichael,Tony Clement,Glen Hodgson,Albert Gray Smith,Cindy Waters,Wendy Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 1","Henvey Inlet 2",1,4,4,0,4,36,0,49,90
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 2","Britt",4,73,13,0,26,64,2,182,432
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 3","Magnetawan 1",0,6,3,1,12,21,0,43,68
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 4","Pointe au Baril",0,121,10,0,15,26,0,172,290
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 5","Shawanaga 17",0,10,5,0,17,40,0,72,143
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 6","Loring",0,97,2,0,15,25,0,139,237
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 7","Dokis 9",0,16,3,0,13,44,0,76,136
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 8","Restoule",0,142,4,0,6,75,0,227,336
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 9","Arnstein",1,138,3,0,12,64,0,218,299
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 10","Port Loring",0,96,2,0,15,38,0,151,285
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 11","Whitestone",0,134,7,0,14,28,0,183,269
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 12","Hagerman",0,178,18,0,28,84,0,308,494
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 13","Ahmic Harbour",0,112,7,0,16,45,0,180,336
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 14","Magnetawan",1,113,10,0,19,48,1,192,291
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 14-1","Magnetawan",1,120,13,1,18,54,1,208,316
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 15","Eagle Lake",0,143,19,0,16,58,1,237,367
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 16","Machar",0,73,9,1,14,36,0,133,249
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 17","South River",0,184,19,0,15,62,1,281,523
