Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tyrone Benskin,Mark Bruneau,Pierre Lafontaine,Richard Noël,Thierry St-Cyr,Eileen Studd,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 81","Verdun",69,17,13,5,33,0,0,137,284
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 82","Verdun",125,22,14,7,74,1,2,245,527
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 83","Verdun",83,48,26,7,85,0,2,251,442
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 84","Verdun",59,23,7,9,44,0,0,142,292
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 85","Verdun",73,24,10,2,32,0,0,141,396
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 86","Verdun",144,28,23,8,67,1,3,274,554
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 87","Verdun",88,9,10,6,50,0,1,164,364
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 88","Verdun",107,11,13,4,46,0,1,182,317
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 89","Verdun",65,23,23,4,45,1,2,163,403
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 90","Verdun",80,14,4,4,34,1,4,141,297
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 91","Verdun",65,8,7,5,43,0,2,130,298
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 92","Verdun",76,11,10,4,38,0,0,139,351
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 93","Verdun",51,16,16,5,28,0,0,116,305
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 94","Verdun",100,34,13,1,84,0,0,232,474
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 95","Verdun",93,32,16,4,65,0,0,210,445
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 96","Verdun",66,15,9,7,60,1,6,164,310
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 97","Verdun",70,8,8,3,46,0,7,142,360
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 98","Verdun",89,23,2,2,48,0,1,165,380
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 99","Verdun",116,26,16,8,66,1,1,234,406
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 100","Verdun",102,39,28,7,48,3,2,229,425
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 101","Verdun",77,40,34,2,49,1,3,206,396
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 102","Verdun",113,22,12,9,38,2,3,199,404
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 103","Verdun",90,51,20,2,50,0,5,218,457
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 104","Verdun",136,37,20,4,54,0,2,253,455
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 105","Verdun",94,20,7,11,57,1,2,192,355
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 106","Verdun",102,31,11,4,36,0,1,185,347
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 107","Verdun",99,21,8,6,60,0,3,197,374
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 108","Verdun",103,29,12,8,54,0,9,215,377
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 109","Verdun",74,20,14,8,43,1,4,164,324
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 110","Verdun",123,34,14,8,63,0,2,244,532
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 111","Verdun",94,11,9,6,42,0,3,165,403
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 112","Verdun",122,25,16,9,57,0,1,230,470
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 113","Verdun",93,15,4,5,47,0,2,166,340
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 114","Verdun",60,11,5,6,36,1,5,124,261
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 115","Verdun",77,17,15,12,39,2,4,166,346
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 116","Verdun",63,9,5,1,34,0,2,114,273
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 117","Verdun",84,9,4,8,44,0,0,149,332
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 118","Verdun",81,26,12,4,36,0,4,163,352
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 119","Verdun",76,14,7,4,32,0,0,133,295
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 120","Verdun",111,16,6,2,54,1,1,191,415
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 121","Verdun",74,8,9,5,39,0,2,137,364
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 122","Verdun",103,37,13,3,92,2,4,254,532
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 123","Verdun",94,14,9,5,47,0,2,171,427
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 124","Verdun",103,59,19,7,21,0,1,210,520
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 125","Verdun",84,69,30,3,29,0,1,216,418
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 126","Verdun",83,84,30,5,45,0,2,249,504
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 127","Verdun",119,123,65,2,51,1,1,362,657
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 128","Verdun",87,62,49,10,37,0,1,246,506
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 128-1","Verdun",101,77,28,8,26,0,0,240,478
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 128-2","Verdun",Void/Supprimé,,,,,,,,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 128-3","Verdun",Void/Supprimé,,,,,,,,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 129","Verdun",51,30,15,6,10,0,0,112,311
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 130","Verdun",87,34,15,4,20,0,0,160,371
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 131","Verdun",Void/Supprimé,,,,,,,,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 132","Verdun",Void/Supprimé,,,,,,,,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 133","Verdun",Void/Supprimé,,,,,,,,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 134","Verdun",Void/Supprimé,,,,,,,,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 135","Verdun",100,108,46,0,42,0,2,298,510
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 136","Verdun",51,48,20,6,41,0,2,168,326
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 137","Verdun",76,75,32,5,32,0,1,221,506
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 138","Verdun",74,41,16,0,19,0,0,150,341
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 139","Verdun",77,87,26,9,24,0,1,224,462
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 140","Verdun",Void/Supprimé,,,,,,,,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 141","Verdun",74,36,16,5,35,0,1,167,418
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 142","Verdun",84,38,23,4,20,2,0,171,382
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 143","Verdun",71,41,36,4,26,0,0,178,450
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 144","Verdun",Void/Supprimé,,,,,,,,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 145","Verdun",85,67,22,1,38,0,0,213,463
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 146","Verdun",Void/Supprimé,,,,,,,,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 147A","Verdun",73,103,49,5,28,0,1,259,508
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 147B","Verdun",90,85,54,1,27,0,1,258,517
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 148","Verdun",78,15,8,5,46,0,5,157,402
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 149","Verdun",102,7,7,3,50,1,2,172,357
