Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wendy Menzies,Cheryl Osborne,Robert Sopuck,Kate Storey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 36","San Clara",15,44,94,10,0,163,287
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 37","Zelena",8,21,89,5,1,124,204
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 38","Roblin",4,28,81,2,0,115,225
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 39","Roblin",8,56,86,3,0,153,288
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 40","Roblin",6,22,63,2,0,93,192
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 41A","Roblin",2,21,75,6,0,104,241
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 41B","Roblin",8,31,65,1,0,105,231
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 42","Roblin",14,47,137,10,0,208,324
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 43","Roblin",Void/Supprimé,,,,,,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 44","Bield",5,22,71,3,0,101,234
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 45","Valley River 63A",4,47,5,6,0,62,125
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 46","Shell Valley--Dropmore",10,43,191,7,0,251,424
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 47","Grandview",5,37,85,15,0,142,255
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 48","Grandview",12,61,92,18,1,184,405
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 49","Grandview",9,55,84,16,0,164,282
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 50","Drifting River",5,33,74,10,0,122,250
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 51","Gilbert Plains",19,72,140,14,0,245,431
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 52","Gilbert Plains",8,27,58,4,0,97,178
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 53","Birchview",8,50,68,15,0,141,276
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 54","Ashville",9,31,70,9,0,119,246
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 55","Sifton",5,57,79,5,0,146,278
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 56","Valley River",4,37,93,7,1,142,270
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 57","Spruce Bluff",12,40,123,8,0,183,348
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 58","Dauphin",8,28,79,3,1,119,204
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 59","Eclipse",0,37,70,3,1,111,213
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 60","Dauphin",2,55,137,12,0,206,390
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 61","Ochre River",8,60,186,9,1,264,470
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 62","Dauphin",5,49,57,3,0,114,331
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 63","Dauphin",8,30,55,4,0,97,228
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 64","Dauphin",5,33,59,2,0,99,251
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 65","Dauphin",7,33,45,5,0,90,240
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 66","Dauphin",2,41,61,7,1,112,294
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 67","Dauphin",6,65,56,6,0,133,364
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 68","Dauphin",4,53,69,1,0,127,305
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 69","Dauphin",12,67,88,6,1,174,376
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 70","Dauphin",14,41,70,8,0,133,301
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 71","Dauphin",6,44,56,10,0,116,379
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 72","Dauphin",2,30,33,3,0,68,207
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 73","Dauphin",14,33,109,1,1,158,350
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 74","Dauphin",14,37,94,8,0,153,379
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 75","Dauphin",18,61,132,7,0,218,443
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 76","Dauphin",11,45,85,5,0,146,336
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 77","Dauphin",12,53,72,5,0,142,347
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 78","Dauphin",10,59,131,12,0,212,428
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 79","Waterhen 45",11,77,1,1,0,90,228
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 80","Waterhen",6,55,37,1,0,99,202
