Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wendy Menzies,Cheryl Osborne,Robert Sopuck,Kate Storey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 603","Swan River",26,84,263,5,1,379,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 604","Cowan",0,1,11,0,0,12,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 605","Camperville",1,2,0,0,0,3,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 606","Winnipegosis",3,20,48,4,1,76,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 607","Roblin",13,34,84,6,1,138,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 608","Grandview--Gilbert Plains",10,37,76,18,0,141,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 609","Dauphin",11,19,129,8,3,170,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 610","Dauphin",62,176,381,22,4,645,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 611","Waterhen",2,9,11,0,0,22,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 612","Ste. Rose du Lac",11,26,66,4,0,107,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 613","Crane River 51",0,10,4,0,0,14,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 614","Russell",16,19,127,5,0,167,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 615","Waywayseecappo First Nation",5,18,5,1,0,29,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 616","Rossburn",3,19,51,10,0,83,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 617","Sandy Lake ",3,6,43,2,0,54,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 618","McCreary",10,22,42,2,0,76,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 619","Ebb and Flow 52",5,10,5,1,0,21,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 620","Sandy Bay",2,17,3,2,0,24,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 621","Birtle",4,20,50,8,0,82,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 622","Hamiota",3,7,26,2,0,38,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 623","Shoal Lake",3,13,38,2,1,57,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 624","Minnedosa",31,72,158,13,1,275,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 625","Neepawa",30,21,203,15,2,271,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 626","Gladstone",7,8,71,4,0,90,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette",,Group 1/Groupe 1,28,29,20,11,5,93,143
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette",,Group 2/Groupe 2,35,72,209,21,1,338,
