Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jule Asterisk,Brian Jean,Berend Wilting,Karen Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 1","Garden Creek",1,29,12,7,0,49,127
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 2","Chipewyan Lakes ",Merged with No. 14/Fusionné avec le nº 14,,,,,,7
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 3","Peerless Lake ",Void/Supprimé,,,,,,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 4","Peerless Lake ",1,25,13,4,0,43,223
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 5","Loon Lake",0,12,4,15,0,31,211
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 6","Red Earth Creek ",3,88,11,3,0,105,275
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 7","Trout Lake",0,8,2,6,0,16,167
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 8","Atikameg",2,16,7,14,5,44,360
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 9A","Wabasca",8,69,34,19,0,130,782
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 9B","Wabasca",5,65,30,30,0,130,579
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 9-1","Wabasca",Merged with No. 9B/Fusionné avec le nº 9B,,,,,,3
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 9-2","Wabasca",Merged with No. 10/Fusionné avec le nº 10,,,,,,180
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 10","Wabasca",3,54,37,34,0,128,290
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 11","Sandy Lake ",2,22,9,9,0,42,195
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 12","Calling Lake ",9,68,27,30,1,135,405
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 13","Fitzgerald",Merged with No. 14/Fusionné avec le nº 14,,,,,,4
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 14","Fort Chipewyan",6,55,117,33,3,214,285
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 15","Fort Chipewyan",Merged with No. 14/Fusionné avec le nº 14,,,,,,277
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 16","Fort McKay",3,14,22,14,0,53,280
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 17","Saprae Creek",6,213,15,14,1,249,608
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 18","Anzac ",12,203,34,17,2,268,749
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 19","Janvier--Chard",2,17,9,12,0,40,204
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 20","Conklin",10,19,9,14,1,53,160
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21","Fort McMurray",1,127,14,24,1,167,504
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-1","Wood Buffalo",1,150,21,28,5,205,680
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-2A","Wood Buffalo",3,71,32,9,0,115,455
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-2B","Wood Buffalo",4,79,11,18,1,113,398
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-3","Wood Buffalo",2,60,21,14,0,97,389
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-4","Wood Buffalo",1,80,20,20,0,121,357
