Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Kent,Norbert Koehl,Karen Mock,Simon Strelchik,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35089,"Thornhill/Thornhill"," 1","Vaughan",41,5,40,24,2,0,112,397
35089,"Thornhill/Thornhill"," 2","Vaughan",38,3,34,22,1,2,100,217
35089,"Thornhill/Thornhill"," 2-1","Vaughan",79,7,44,38,0,2,170,334
35089,"Thornhill/Thornhill"," 3","Vaughan",61,1,39,26,1,0,128,311
35089,"Thornhill/Thornhill"," 3-1","Vaughan",89,4,35,29,1,1,159,339
35089,"Thornhill/Thornhill"," 4A","Vaughan",66,4,43,27,2,0,142,316
35089,"Thornhill/Thornhill"," 4B","Vaughan",62,0,31,22,0,1,116,294
35089,"Thornhill/Thornhill"," 5","Vaughan",101,8,43,45,0,3,200,377
35089,"Thornhill/Thornhill"," 5-1","Vaughan",123,1,53,17,0,0,194,452
35089,"Thornhill/Thornhill"," 6","Vaughan",101,1,26,32,1,0,161,351
35089,"Thornhill/Thornhill"," 7","Vaughan",112,5,71,39,2,2,231,532
35089,"Thornhill/Thornhill"," 8","Vaughan",115,3,43,36,0,3,200,409
35089,"Thornhill/Thornhill"," 9","Vaughan",103,2,29,34,0,0,168,365
35089,"Thornhill/Thornhill"," 9-1","Vaughan",77,9,41,36,0,0,163,351
35089,"Thornhill/Thornhill"," 10","Vaughan",60,2,24,25,1,1,113,284
35089,"Thornhill/Thornhill"," 10-1","Vaughan",100,2,51,30,0,1,184,357
35089,"Thornhill/Thornhill"," 11","Vaughan",156,5,58,33,1,0,253,503
35089,"Thornhill/Thornhill"," 12","Vaughan",172,0,26,33,0,0,231,422
35089,"Thornhill/Thornhill"," 13","Vaughan",141,4,56,13,1,2,217,351
35089,"Thornhill/Thornhill"," 13-1","Vaughan",129,5,42,23,0,1,200,367
35089,"Thornhill/Thornhill"," 14","Vaughan",184,7,71,37,1,2,302,610
35089,"Thornhill/Thornhill"," 15","Vaughan",138,0,26,14,1,1,180,297
35089,"Thornhill/Thornhill"," 16","Vaughan",165,1,20,22,1,0,209,419
35089,"Thornhill/Thornhill"," 16-1","Vaughan",145,1,30,19,2,1,198,360
35089,"Thornhill/Thornhill"," 16-2","Vaughan",136,2,29,15,0,0,182,313
35089,"Thornhill/Thornhill"," 17A","Vaughan",136,6,34,21,0,1,198,440
35089,"Thornhill/Thornhill"," 17B","Vaughan",158,4,37,33,2,1,235,504
35089,"Thornhill/Thornhill"," 18","Vaughan",99,4,22,12,0,1,138,296
35089,"Thornhill/Thornhill"," 19A","Vaughan",85,3,26,3,1,0,118,296
35089,"Thornhill/Thornhill"," 19B","Vaughan",96,0,33,11,0,0,140,318
35089,"Thornhill/Thornhill"," 20","Vaughan",148,5,23,24,1,0,201,422
35089,"Thornhill/Thornhill"," 21","Vaughan",221,3,39,24,1,0,288,600
35089,"Thornhill/Thornhill"," 22","Vaughan",179,4,28,20,1,1,233,480
35089,"Thornhill/Thornhill"," 23","Vaughan",103,3,41,14,1,1,163,316
35089,"Thornhill/Thornhill"," 24","Vaughan",122,2,23,12,1,0,160,309
35089,"Thornhill/Thornhill"," 25","Vaughan",106,2,15,6,1,0,130,270
35089,"Thornhill/Thornhill"," 26","Vaughan",125,1,38,7,0,1,172,328
35089,"Thornhill/Thornhill"," 26-1","Vaughan",132,7,44,12,0,3,198,375
35089,"Thornhill/Thornhill"," 27","Vaughan",93,2,44,34,1,1,175,515
35089,"Thornhill/Thornhill"," 28","Vaughan",76,4,40,26,0,0,146,317
35089,"Thornhill/Thornhill"," 29","Vaughan",195,4,51,44,1,0,295,565
35089,"Thornhill/Thornhill"," 30","Vaughan",167,3,49,23,0,2,244,472
35089,"Thornhill/Thornhill"," 31","Vaughan",117,5,14,6,0,1,143,317
35089,"Thornhill/Thornhill"," 32","Vaughan",237,6,55,13,0,0,311,541
35089,"Thornhill/Thornhill"," 33","Vaughan",135,7,57,23,1,0,223,439
35089,"Thornhill/Thornhill"," 34","Vaughan",210,3,31,22,1,0,267,423
35089,"Thornhill/Thornhill"," 35","Vaughan",142,6,50,14,0,0,212,381
35089,"Thornhill/Thornhill"," 36","Vaughan",178,5,28,11,2,2,226,368
35089,"Thornhill/Thornhill"," 37","Vaughan",159,1,31,6,0,0,197,358
35089,"Thornhill/Thornhill"," 38","Vaughan",234,5,35,9,1,2,286,569
35089,"Thornhill/Thornhill"," 39","Vaughan",182,2,31,21,0,1,237,466
35089,"Thornhill/Thornhill"," 40","Vaughan",201,6,26,24,0,0,257,475
35089,"Thornhill/Thornhill"," 41A","Vaughan",162,3,31,10,0,3,209,450
35089,"Thornhill/Thornhill"," 41B","Vaughan",146,1,39,28,0,2,216,628
35089,"Thornhill/Thornhill"," 42","Vaughan",128,4,27,7,0,3,169,316
35089,"Thornhill/Thornhill"," 43","Vaughan",241,4,47,19,5,1,317,582
35089,"Thornhill/Thornhill"," 44","Vaughan",206,6,36,17,1,0,266,513
35089,"Thornhill/Thornhill"," 45A","Vaughan",111,2,25,13,0,0,151,298
35089,"Thornhill/Thornhill"," 45B","Vaughan",123,3,20,8,0,0,154,291
35089,"Thornhill/Thornhill"," 46","Vaughan",203,4,24,15,0,1,247,473
35089,"Thornhill/Thornhill"," 47","Vaughan",268,5,37,13,1,0,324,548
35089,"Thornhill/Thornhill"," 48","Vaughan",192,1,13,9,0,0,215,388
35089,"Thornhill/Thornhill"," 49","Vaughan",181,0,14,2,0,1,198,355
35089,"Thornhill/Thornhill"," 50","Vaughan",238,5,23,10,1,0,277,520
35089,"Thornhill/Thornhill"," 51","Vaughan",102,11,55,27,2,1,198,364
35089,"Thornhill/Thornhill"," 52","Vaughan",121,3,57,14,1,1,197,389
35089,"Thornhill/Thornhill"," 53","Vaughan",71,4,54,55,0,2,186,421
35089,"Thornhill/Thornhill"," 54","Vaughan",70,5,48,29,0,1,153,323
35089,"Thornhill/Thornhill"," 55","Vaughan",32,3,32,33,0,0,100,188
35089,"Thornhill/Thornhill"," 56","Vaughan",50,3,49,27,2,3,134,286
35089,"Thornhill/Thornhill"," 56-1","Vaughan",81,6,68,39,2,0,196,390
35089,"Thornhill/Thornhill"," 57","Vaughan",86,5,72,43,1,1,208,471
35089,"Thornhill/Thornhill"," 58","Vaughan",100,10,93,57,1,0,261,497
35089,"Thornhill/Thornhill"," 59","Vaughan",103,6,71,46,0,1,227,467
35089,"Thornhill/Thornhill"," 60","Vaughan",51,3,64,18,1,1,138,231
35089,"Thornhill/Thornhill"," 61","Vaughan",74,7,54,37,1,1,174,330
35089,"Thornhill/Thornhill"," 62","Vaughan",86,8,62,45,2,0,203,384
35089,"Thornhill/Thornhill"," 63","Vaughan",90,4,80,50,0,0,224,495
35089,"Thornhill/Thornhill"," 64","Vaughan",76,7,54,33,1,4,175,304
35089,"Thornhill/Thornhill"," 65A","Vaughan",69,5,49,25,0,1,149,275
35089,"Thornhill/Thornhill"," 65B","Vaughan",63,3,53,38,1,2,160,285
35089,"Thornhill/Thornhill"," 66","Vaughan",129,6,80,52,1,2,270,513
35089,"Thornhill/Thornhill"," 67","Vaughan",82,8,39,36,0,1,166,407
35089,"Thornhill/Thornhill"," 68","Vaughan",78,4,44,36,0,3,165,306
35089,"Thornhill/Thornhill"," 69","Vaughan",90,6,42,24,0,0,162,296
35089,"Thornhill/Thornhill"," 70","Vaughan",109,3,55,25,0,2,194,370
35089,"Thornhill/Thornhill"," 71","Vaughan",175,7,46,27,0,2,257,420
35089,"Thornhill/Thornhill"," 72","Vaughan",113,2,51,32,1,0,199,426
35089,"Thornhill/Thornhill"," 73","Vaughan",138,5,51,17,0,0,211,360
35089,"Thornhill/Thornhill"," 74","Vaughan",221,8,44,10,2,0,285,514
35089,"Thornhill/Thornhill"," 75","Vaughan",132,8,51,35,3,2,231,420
35089,"Thornhill/Thornhill"," 76A","Vaughan",80,2,26,28,0,2,138,338
35089,"Thornhill/Thornhill"," 76B","Vaughan",84,0,22,13,1,0,120,220
35089,"Thornhill/Thornhill"," 76-1","Markham",80,2,23,24,1,1,131,213
35089,"Thornhill/Thornhill"," 77","Vaughan",110,7,45,26,1,0,189,433
35089,"Thornhill/Thornhill"," 78","Vaughan",92,3,78,41,1,1,216,462
35089,"Thornhill/Thornhill"," 79","Vaughan",113,5,70,45,3,3,239,513
35089,"Thornhill/Thornhill"," 80","Vaughan",131,13,61,42,4,0,251,499
35089,"Thornhill/Thornhill"," 81","Vaughan",84,4,76,42,1,0,207,485
35089,"Thornhill/Thornhill"," 82","Vaughan",156,4,74,51,1,1,287,536
35089,"Thornhill/Thornhill"," 83","Vaughan",131,6,69,40,1,2,249,476
35089,"Thornhill/Thornhill"," 84","Vaughan",139,1,64,22,1,2,229,432
35089,"Thornhill/Thornhill"," 85","Vaughan",138,1,56,24,2,1,222,437
35089,"Thornhill/Thornhill"," 86","Vaughan",155,5,48,26,1,1,236,508
35089,"Thornhill/Thornhill"," 87","Vaughan",171,3,25,33,1,1,234,422
35089,"Thornhill/Thornhill"," 88","Vaughan",203,4,57,24,0,2,290,563
35089,"Thornhill/Thornhill"," 89","Vaughan",215,4,26,14,0,1,260,470
35089,"Thornhill/Thornhill"," 90","Vaughan",178,5,53,20,0,0,256,434
35089,"Thornhill/Thornhill"," 91A","Vaughan",69,10,25,20,1,0,125,276
35089,"Thornhill/Thornhill"," 91B","Vaughan",91,1,14,26,0,0,132,267
35089,"Thornhill/Thornhill"," 92","Vaughan",186,4,57,26,2,2,277,506
35089,"Thornhill/Thornhill"," 93","Vaughan",133,2,62,22,0,3,222,435
35089,"Thornhill/Thornhill"," 94A","Vaughan",68,1,21,25,0,0,115,255
35089,"Thornhill/Thornhill"," 94B","Vaughan",64,0,29,15,0,0,108,245
35089,"Thornhill/Thornhill"," 95","Vaughan",125,4,36,30,0,2,197,453
35089,"Thornhill/Thornhill"," 96","Vaughan",84,7,29,15,1,1,137,313
35089,"Thornhill/Thornhill"," 97","Vaughan",82,6,41,19,2,0,150,315
35089,"Thornhill/Thornhill"," 98","Vaughan",272,1,13,4,1,3,294,528
35089,"Thornhill/Thornhill"," 99","Vaughan",229,3,26,13,0,1,272,556
35089,"Thornhill/Thornhill"," 100","Vaughan",151,5,13,8,0,1,178,394
35089,"Thornhill/Thornhill"," 101","Vaughan",154,0,7,2,0,0,163,288
35089,"Thornhill/Thornhill"," 102","Vaughan",94,4,36,4,1,0,139,277
35089,"Thornhill/Thornhill"," 103","Vaughan",140,6,46,23,1,1,217,391
35089,"Thornhill/Thornhill"," 104","Vaughan",207,4,35,7,0,1,254,502
35089,"Thornhill/Thornhill"," 105","Vaughan",206,6,60,17,2,0,291,558
35089,"Thornhill/Thornhill"," 106","Vaughan",141,9,26,15,1,3,195,448
35089,"Thornhill/Thornhill"," 107","Vaughan",175,1,32,14,0,3,225,353
35089,"Thornhill/Thornhill"," 108","Vaughan",137,5,47,26,2,8,225,536
35089,"Thornhill/Thornhill"," 109","Vaughan",189,2,46,29,0,2,268,482
