Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Farris,Andrew Graham,Janice Harvey,John Williamson,Kelly Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 1","Kingsclear",3,30,2,16,10,0,61,317
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 2","Island View",2,51,15,108,26,1,203,336
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 3","Island View",2,65,8,116,46,3,240,378
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 4","Hanwell",0,88,13,112,51,2,266,428
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 4-1","Kingsclear",1,75,5,99,42,0,222,352
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 5","Hanwell",0,94,5,104,47,0,250,402
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 6","Hanwell",2,66,6,86,23,1,184,370
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 7","Parc Greenwood Park",0,49,7,47,20,0,123,330
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 8","Hanwell",9,72,10,140,35,0,266,412
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 9","Hanwell",1,103,12,169,59,2,346,521
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 10","Hanwell",1,66,8,102,45,0,222,419
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 10-1","Kingsclear",2,58,6,88,32,0,186,339
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 11","Mazerolle Settlement",1,72,17,133,27,0,250,423
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 12","Kingsclear",6,56,18,66,24,1,171,280
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 13","Newmarket",1,92,14,167,43,0,317,506
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 14","Prince William",3,56,7,129,22,0,217,421
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 15","Magaguadavic",0,41,7,126,12,0,186,283
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 16","Dumfries",2,54,5,98,21,1,181,297
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 17","McAdam",6,24,1,99,18,2,150,281
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 18","McAdam",4,28,3,70,13,1,119,280
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 19","McAdam",8,12,1,85,4,0,110,263
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 20","McAdam",13,17,1,72,5,0,108,234
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 21","York Mills",3,32,4,91,9,1,140,237
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 22","Coburn",1,26,6,117,19,0,169,295
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 23","Tweedside",4,33,13,134,22,1,207,342
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 24","Harvey",3,71,13,121,35,0,243,457
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 25","Harvey",4,53,16,112,34,1,220,378
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 26","Beaver Dam",2,66,13,125,32,0,238,485
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 27","Charters Settlement",1,67,9,120,28,1,226,439
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 28","Nasonworth",2,81,13,143,27,1,267,507
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 29","Nasonworth",2,50,14,114,50,0,230,427
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 30","Tracy",12,33,11,168,17,2,243,426
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 31","Tracy",5,36,7,196,14,1,259,416
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 32","Fredericton Junction",0,28,8,116,19,4,175,345
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 33","Fredericton Junction",3,26,8,103,9,3,152,316
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 34","Blissville",2,48,5,111,31,1,198,317
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 35","Hoyt",0,39,2,79,20,0,140,234
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 36","Wirral",1,42,5,107,26,2,183,314
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 37","Welsford",1,49,13,119,34,1,217,375
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 38","Hampstead",1,25,3,67,27,0,123,209
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 39","Upper Gagetown",3,30,16,90,17,1,157,249
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 40","Gagetown",1,50,18,75,26,1,171,319
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 40-1","Gagetown",0,15,6,54,21,1,97,225
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 41","Whites Cove",16,48,2,83,13,0,162,282
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 42","Jemseg",2,18,11,61,11,1,104,177
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 43","Shannon",2,38,7,137,19,0,203,308
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 44","Cambridge-Narrows",7,36,5,84,28,0,160,264
