Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Horvath,Mike MacDonald,John Douglas Reilly,Blake Richards,Randy Vanden Broek,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Wild Rose/Wild Rose"," 1","Big Horn 144A - Clearwater County",8,10,6,45,0,1,70,174
48027,"Wild Rose/Wild Rose"," 1-1","Big Horn 144A",24,0,3,4,0,0,31,31
48027,"Wild Rose/Wild Rose"," 2","Strachan",Merged with No. 4/Fusionné avec le nº 4,,,,,,,59
48027,"Wild Rose/Wild Rose"," 3","Ricinus",10,6,1,177,0,0,194,335
48027,"Wild Rose/Wild Rose"," 4","Chedderville",15,7,7,252,0,1,282,457
48027,"Wild Rose/Wild Rose"," 5","Stauffer",11,4,5,164,3,0,187,369
48027,"Wild Rose/Wild Rose"," 6","Caroline",19,17,5,310,3,1,355,618
48027,"Wild Rose/Wild Rose"," 7","Caroline",16,16,4,171,1,1,209,530
48027,"Wild Rose/Wild Rose"," 8","Crammond",12,6,7,220,1,0,246,415
48027,"Wild Rose/Wild Rose"," 9","Clearwater No. 99",8,14,9,163,2,1,197,369
48027,"Wild Rose/Wild Rose"," 10","Lake Louise",66,43,17,63,2,0,191,269
48027,"Wild Rose/Wild Rose"," 11","Lake Louise",26,6,6,18,0,0,56,119
48027,"Wild Rose/Wild Rose"," 12","Banff",41,29,20,40,0,0,130,221
48027,"Wild Rose/Wild Rose"," 13","Water Valley",Void/Supprimé,,,,,,,
48027,"Wild Rose/Wild Rose"," 14","Elkton",Void/Supprimé,,,,,,,
48027,"Wild Rose/Wild Rose"," 15","Waiparous",13,17,8,80,1,0,119,133
48027,"Wild Rose/Wild Rose"," 16","Bearberry",9,13,5,221,0,0,248,483
48027,"Wild Rose/Wild Rose"," 17","Sundre",19,15,6,225,1,1,267,452
48027,"Wild Rose/Wild Rose"," 18","Mound",11,11,5,219,1,0,247,396
48027,"Wild Rose/Wild Rose"," 19","Sundre",12,22,8,217,2,1,262,482
48027,"Wild Rose/Wild Rose"," 19-1","Sundre",9,5,2,133,0,0,149,278
48027,"Wild Rose/Wild Rose"," 20","Sundre",10,6,1,120,0,0,137,292
48027,"Wild Rose/Wild Rose"," 21A","Sundre",19,11,4,172,1,1,208,505
48027,"Wild Rose/Wild Rose"," 21B","Sundre",14,11,10,184,3,0,222,520
48027,"Wild Rose/Wild Rose"," 21-1","Sundre",6,0,1,152,1,0,160,261
48027,"Wild Rose/Wild Rose"," 22A","Sundre",16,12,12,314,2,3,359,600
48027,"Wild Rose/Wild Rose"," 22B","Sundre",20,16,6,274,3,0,319,531
48027,"Wild Rose/Wild Rose"," 23","Sundre",Void/Supprimé,,,,,,,
48027,"Wild Rose/Wild Rose"," 24","Harmattan",14,7,3,190,1,0,215,299
48027,"Wild Rose/Wild Rose"," 25","Eagle Hill",14,13,12,307,1,0,347,529
48027,"Wild Rose/Wild Rose"," 26","Netook",15,17,4,243,0,1,280,509
48027,"Wild Rose/Wild Rose"," 27","Olds",4,4,1,63,0,0,72,126
48027,"Wild Rose/Wild Rose"," 28","Harmattan",13,15,5,272,2,0,307,495
48027,"Wild Rose/Wild Rose"," 29","Minaret",11,4,1,108,0,0,124,256
48027,"Wild Rose/Wild Rose"," 30","Westcott",12,15,5,244,2,1,279,434
48027,"Wild Rose/Wild Rose"," 31","Didsbury",27,13,12,237,1,1,291,553
48027,"Wild Rose/Wild Rose"," 32","Didsbury",17,23,9,187,1,1,238,439
48027,"Wild Rose/Wild Rose"," 33","Didsbury",30,8,14,272,0,0,324,524
48027,"Wild Rose/Wild Rose"," 34A","Didsbury",23,8,7,134,0,0,172,359
48027,"Wild Rose/Wild Rose"," 34B","Didsbury",15,6,3,116,0,1,141,304
48027,"Wild Rose/Wild Rose"," 34-1","Didsbury",13,3,4,98,0,0,118,231
48027,"Wild Rose/Wild Rose"," 35","Didsbury",20,9,9,150,0,1,189,367
48027,"Wild Rose/Wild Rose"," 36","Didsbury",18,13,7,168,2,1,209,381
48027,"Wild Rose/Wild Rose"," 36-1","Didsbury",22,13,9,201,1,0,246,485
48027,"Wild Rose/Wild Rose"," 37","Neapolis",8,16,9,255,2,0,290,379
48027,"Wild Rose/Wild Rose"," 38A","Carstairs",10,5,6,228,1,0,250,376
48027,"Wild Rose/Wild Rose"," 38B","Carstairs",18,9,3,216,0,0,246,360
48027,"Wild Rose/Wild Rose"," 39","Carstairs",8,13,2,131,1,0,155,289
48027,"Wild Rose/Wild Rose"," 39-1","Carstairs",9,5,2,154,1,0,171,276
48027,"Wild Rose/Wild Rose"," 40","Carstairs",18,15,16,187,0,1,237,404
48027,"Wild Rose/Wild Rose"," 41","Carstairs",12,4,12,270,1,0,299,527
48027,"Wild Rose/Wild Rose"," 41-1","Carstairs",14,11,5,183,0,1,214,323
48027,"Wild Rose/Wild Rose"," 41-2","Carstairs",25,10,4,261,2,2,304,516
48027,"Wild Rose/Wild Rose"," 42","Neapolis",1,9,3,105,0,0,118,182
48027,"Wild Rose/Wild Rose"," 43","Wessex",12,15,6,185,0,0,218,362
48027,"Wild Rose/Wild Rose"," 44","Dogpound",8,9,6,218,0,2,243,384
48027,"Wild Rose/Wild Rose"," 45","Cremona",6,14,6,256,0,2,284,435
48027,"Wild Rose/Wild Rose"," 46","Cremona",13,19,11,208,0,1,252,410
48027,"Wild Rose/Wild Rose"," 47","Water Valley",27,30,12,300,3,0,372,555
48027,"Wild Rose/Wild Rose"," 48","Olds",11,5,7,138,1,0,162,332
48027,"Wild Rose/Wild Rose"," 49","Olds",15,4,11,223,0,1,254,443
48027,"Wild Rose/Wild Rose"," 50","Olds",7,6,4,93,0,0,110,227
48027,"Wild Rose/Wild Rose"," 51","Olds",29,17,16,231,1,0,294,542
48027,"Wild Rose/Wild Rose"," 52","Olds",16,16,8,101,1,2,144,366
48027,"Wild Rose/Wild Rose"," 53","Olds",28,4,10,195,0,1,238,435
48027,"Wild Rose/Wild Rose"," 54","Olds",9,12,3,114,0,0,138,283
48027,"Wild Rose/Wild Rose"," 55","Olds",14,3,3,77,1,0,98,237
48027,"Wild Rose/Wild Rose"," 56","Olds",32,11,5,288,0,0,336,701
48027,"Wild Rose/Wild Rose"," 57","Olds",10,16,1,115,1,0,143,274
48027,"Wild Rose/Wild Rose"," 58","Olds",15,9,5,108,1,0,138,271
48027,"Wild Rose/Wild Rose"," 59","Olds",19,6,12,96,4,1,138,380
48027,"Wild Rose/Wild Rose"," 60","Olds",16,22,10,121,0,1,170,354
48027,"Wild Rose/Wild Rose"," 61","Olds",20,17,12,238,0,0,287,500
48027,"Wild Rose/Wild Rose"," 62","Olds",14,13,6,181,0,0,214,414
48027,"Wild Rose/Wild Rose"," 63","Madden",6,16,3,248,0,0,273,380
48027,"Wild Rose/Wild Rose"," 64","Crossfield",6,8,2,111,0,0,127,189
48027,"Wild Rose/Wild Rose"," 65","Crossfield",23,16,9,214,3,1,266,435
48027,"Wild Rose/Wild Rose"," 66","Crossfield",11,10,8,212,1,0,242,398
48027,"Wild Rose/Wild Rose"," 67A","Crossfield",22,9,6,108,0,0,145,184
48027,"Wild Rose/Wild Rose"," 67B","Crossfield",8,4,4,123,0,1,140,248
48027,"Wild Rose/Wild Rose"," 67-1","Crossfield",24,18,7,390,1,1,441,773
48027,"Wild Rose/Wild Rose"," 68","Crossfield",Merged with No. 67A/Fusionné avec le nº 67A,,,,,,,83
48027,"Wild Rose/Wild Rose"," 69","Kersey",4,7,7,136,1,0,155,236
48027,"Wild Rose/Wild Rose"," 70","Airdrie",19,7,7,309,0,0,342,532
48027,"Wild Rose/Wild Rose"," 71A","Airdrie",9,8,8,164,0,0,189,405
48027,"Wild Rose/Wild Rose"," 71B","Airdrie",7,9,4,156,1,0,177,405
48027,"Wild Rose/Wild Rose"," 71-1","Airdrie",51,28,10,265,2,0,356,716
48027,"Wild Rose/Wild Rose"," 72","Airdrie",5,14,5,213,3,0,240,370
48027,"Wild Rose/Wild Rose"," 73","Bearspaw",20,19,23,247,1,0,310,544
48027,"Wild Rose/Wild Rose"," 74A","Balzac",13,5,9,155,0,0,182,330
48027,"Wild Rose/Wild Rose"," 74B","Balzac",20,15,5,158,0,0,198,338
48027,"Wild Rose/Wild Rose"," 74-1A","Balzac",16,12,5,120,1,0,154,339
48027,"Wild Rose/Wild Rose"," 74-1B","Balzac",26,12,9,126,0,0,173,392
48027,"Wild Rose/Wild Rose"," 74-1C","Balzac",12,14,10,127,0,0,163,386
48027,"Wild Rose/Wild Rose"," 75A","Balzac",19,11,5,172,0,1,208,439
48027,"Wild Rose/Wild Rose"," 75B","Balzac",11,5,10,163,1,0,190,368
48027,"Wild Rose/Wild Rose"," 75C","Balzac",8,8,6,171,0,1,194,400
48027,"Wild Rose/Wild Rose"," 75D","Balzac",13,5,6,146,0,1,171,387
48027,"Wild Rose/Wild Rose"," 75E","Balzac",21,7,13,160,0,0,201,454
48027,"Wild Rose/Wild Rose"," 75F","Balzac",25,13,5,202,0,1,246,468
48027,"Wild Rose/Wild Rose"," 76","Rocky View",24,4,10,187,1,0,226,482
48027,"Wild Rose/Wild Rose"," 77","Airdrie",41,18,6,223,0,0,288,576
48027,"Wild Rose/Wild Rose"," 77-1","Airdrie",30,14,3,147,0,0,194,399
48027,"Wild Rose/Wild Rose"," 77-2","Airdrie",12,18,7,115,0,1,153,332
48027,"Wild Rose/Wild Rose"," 78","Airdrie",22,18,2,152,3,0,197,454
48027,"Wild Rose/Wild Rose"," 78-1","Airdrie",7,8,6,95,0,0,116,244
48027,"Wild Rose/Wild Rose"," 78-2","Airdrie",21,11,3,95,0,0,130,276
48027,"Wild Rose/Wild Rose"," 79","Airdrie",21,14,19,271,5,0,330,543
48027,"Wild Rose/Wild Rose"," 80","Airdrie",24,14,8,171,1,0,218,389
48027,"Wild Rose/Wild Rose"," 80-1","Airdrie",12,12,7,144,1,0,176,313
48027,"Wild Rose/Wild Rose"," 81","Airdrie",25,15,1,199,0,0,240,427
48027,"Wild Rose/Wild Rose"," 81-1","Airdrie",11,2,5,134,0,0,152,271
48027,"Wild Rose/Wild Rose"," 82","Airdrie",10,1,1,117,0,0,129,224
48027,"Wild Rose/Wild Rose"," 83","Airdrie",36,13,10,192,2,0,253,678
48027,"Wild Rose/Wild Rose"," 83-1","Airdrie",21,7,9,157,1,0,195,403
48027,"Wild Rose/Wild Rose"," 83-2","Airdrie",20,17,6,192,2,0,237,481
48027,"Wild Rose/Wild Rose"," 83-3","Airdrie",17,15,2,197,0,1,232,502
48027,"Wild Rose/Wild Rose"," 83-4","Airdrie",28,7,5,127,0,0,167,483
48027,"Wild Rose/Wild Rose"," 83-5","Airdrie",29,10,8,157,1,0,205,428
48027,"Wild Rose/Wild Rose"," 84","Airdrie",15,5,1,90,0,0,111,181
48027,"Wild Rose/Wild Rose"," 84-1","Airdrie",21,9,9,129,1,1,170,341
48027,"Wild Rose/Wild Rose"," 85","Airdrie",24,8,7,123,0,0,162,411
48027,"Wild Rose/Wild Rose"," 85-1","Airdrie",43,12,8,135,0,0,198,565
48027,"Wild Rose/Wild Rose"," 86","Airdrie",17,13,6,120,0,0,156,320
48027,"Wild Rose/Wild Rose"," 87","Airdrie",25,12,9,231,0,0,277,498
48027,"Wild Rose/Wild Rose"," 88","Airdrie",22,11,7,125,0,0,165,316
48027,"Wild Rose/Wild Rose"," 89","Airdrie",14,20,8,152,0,0,194,383
48027,"Wild Rose/Wild Rose"," 90","Airdrie",23,8,9,122,0,1,163,306
48027,"Wild Rose/Wild Rose"," 91","Airdrie",14,15,7,99,1,0,136,272
48027,"Wild Rose/Wild Rose"," 92","Airdrie",9,13,2,150,0,0,174,300
48027,"Wild Rose/Wild Rose"," 92-1","Airdrie",19,9,4,179,0,0,211,357
48027,"Wild Rose/Wild Rose"," 93","Airdrie",33,24,6,130,0,0,193,415
48027,"Wild Rose/Wild Rose"," 93-1A","Airdrie",25,10,10,139,2,0,186,491
48027,"Wild Rose/Wild Rose"," 93-1B","Airdrie",30,13,9,121,0,1,174,506
48027,"Wild Rose/Wild Rose"," 93-2","Airdrie",19,12,8,190,1,1,231,478
48027,"Wild Rose/Wild Rose"," 93-3","Airdrie",34,15,6,190,0,0,245,424
48027,"Wild Rose/Wild Rose"," 93-4","Airdrie",23,12,9,164,2,0,210,467
48027,"Wild Rose/Wild Rose"," 93-5","Airdrie",22,12,5,129,1,0,169,359
48027,"Wild Rose/Wild Rose"," 93-6","Airdrie",33,18,8,235,0,0,294,603
48027,"Wild Rose/Wild Rose"," 93-7","Airdrie",39,15,4,206,0,0,264,610
48027,"Wild Rose/Wild Rose"," 94","Airdrie",24,7,0,118,0,0,149,339
48027,"Wild Rose/Wild Rose"," 95","Airdrie",36,13,9,184,4,0,246,468
48027,"Wild Rose/Wild Rose"," 96","Airdrie",19,12,0,122,0,0,153,292
48027,"Wild Rose/Wild Rose"," 97","Airdrie",22,9,6,103,0,0,140,312
48027,"Wild Rose/Wild Rose"," 98","Airdrie",32,21,5,141,0,1,200,399
48027,"Wild Rose/Wild Rose"," 99","Airdrie",19,9,10,149,0,0,187,389
48027,"Wild Rose/Wild Rose"," 100","Airdrie",25,21,2,163,0,0,211,415
48027,"Wild Rose/Wild Rose"," 101","Airdrie",17,5,5,102,0,1,130,312
48027,"Wild Rose/Wild Rose"," 102","Airdrie",24,11,0,135,0,0,170,367
48027,"Wild Rose/Wild Rose"," 103","Airdrie",28,14,3,158,0,0,203,434
48027,"Wild Rose/Wild Rose"," 104","Airdrie",20,2,3,93,0,0,118,276
48027,"Wild Rose/Wild Rose"," 105","Airdrie",20,18,7,184,1,0,230,462
48027,"Wild Rose/Wild Rose"," 105-1","Airdrie",33,6,6,125,2,0,172,422
48027,"Wild Rose/Wild Rose"," 106","Airdrie",23,9,6,208,0,0,246,459
48027,"Wild Rose/Wild Rose"," 106-1","Airdrie",19,8,7,187,0,0,221,378
48027,"Wild Rose/Wild Rose"," 106-2","Airdrie",17,8,4,110,0,2,141,222
48027,"Wild Rose/Wild Rose"," 107","Airdrie",7,3,6,91,0,0,107,226
48027,"Wild Rose/Wild Rose"," 108","Airdrie",13,7,3,151,0,0,174,302
48027,"Wild Rose/Wild Rose"," 109","Airdrie",18,24,5,165,1,0,213,373
48027,"Wild Rose/Wild Rose"," 110","Airdrie",14,17,1,134,0,1,167,325
48027,"Wild Rose/Wild Rose"," 111","Airdrie",20,10,2,138,1,1,172,335
48027,"Wild Rose/Wild Rose"," 112","Airdrie",21,18,5,134,0,1,179,306
48027,"Wild Rose/Wild Rose"," 113A","Bottrel",20,19,12,197,0,0,248,402
48027,"Wild Rose/Wild Rose"," 113B","Bottrel",13,9,3,182,0,1,208,345
48027,"Wild Rose/Wild Rose"," 114","Lochend",9,16,4,188,1,2,220,343
48027,"Wild Rose/Wild Rose"," 115","Wildcat",Merged with No. 15/Fusionné avec le nº 15,,,,,,,70
48027,"Wild Rose/Wild Rose"," 116A","Cochrane",29,20,17,247,2,0,315,533
48027,"Wild Rose/Wild Rose"," 116B","Cochrane",19,12,11,212,0,4,258,498
48027,"Wild Rose/Wild Rose"," 117A","Cochrane",42,27,29,295,1,0,394,794
48027,"Wild Rose/Wild Rose"," 117B","Cochrane",34,18,24,257,3,0,336,681
48027,"Wild Rose/Wild Rose"," 118","Cochrane",6,7,7,64,0,0,84,144
48027,"Wild Rose/Wild Rose"," 119","Cochrane",19,8,8,180,1,0,216,423
48027,"Wild Rose/Wild Rose"," 120","Cochrane",12,19,8,228,0,0,267,484
48027,"Wild Rose/Wild Rose"," 121","Bearspaw",15,16,10,248,1,0,290,484
48027,"Wild Rose/Wild Rose"," 121-1","Rocky View No. 44",20,17,14,164,1,0,216,370
48027,"Wild Rose/Wild Rose"," 122","Bearspaw",19,14,12,147,0,1,193,317
48027,"Wild Rose/Wild Rose"," 123","Bearspaw",11,12,16,182,0,1,222,352
48027,"Wild Rose/Wild Rose"," 123-1","Rocky View No. 44",8,8,10,149,0,0,175,342
48027,"Wild Rose/Wild Rose"," 124","Bearspaw",7,8,8,154,0,1,178,305
48027,"Wild Rose/Wild Rose"," 125","Bearspaw",27,13,29,200,0,0,269,513
48027,"Wild Rose/Wild Rose"," 125-1","Rocky View No. 44",5,15,21,137,0,0,178,278
48027,"Wild Rose/Wild Rose"," 126","Cochrane",31,26,17,188,0,1,263,465
48027,"Wild Rose/Wild Rose"," 127","Cochrane",38,23,9,196,0,0,266,320
48027,"Wild Rose/Wild Rose"," 128","Cochrane",16,11,8,150,0,1,186,346
48027,"Wild Rose/Wild Rose"," 129","Cochrane",21,30,19,211,2,0,283,487
48027,"Wild Rose/Wild Rose"," 130","Cochrane",31,28,22,236,3,0,320,509
48027,"Wild Rose/Wild Rose"," 131","Cochrane",33,21,24,181,0,1,260,535
48027,"Wild Rose/Wild Rose"," 132","Cochrane",32,15,17,242,0,0,306,526
48027,"Wild Rose/Wild Rose"," 133","Cochrane",22,19,17,244,0,1,303,563
48027,"Wild Rose/Wild Rose"," 134","Cochrane",31,20,23,205,4,1,284,450
48027,"Wild Rose/Wild Rose"," 135","Cochrane",17,13,10,88,0,0,128,254
48027,"Wild Rose/Wild Rose"," 136","Cochrane",22,26,13,102,0,0,163,362
48027,"Wild Rose/Wild Rose"," 137","Cochrane",19,31,21,135,0,0,206,422
48027,"Wild Rose/Wild Rose"," 138","Cochrane",22,15,17,96,0,0,150,350
48027,"Wild Rose/Wild Rose"," 139","Cochrane",19,17,22,151,1,0,210,348
48027,"Wild Rose/Wild Rose"," 139-1","Cochrane",12,16,8,110,1,0,147,294
48027,"Wild Rose/Wild Rose"," 140","Cochrane",32,22,14,159,1,1,229,624
48027,"Wild Rose/Wild Rose"," 141","Cochrane",17,9,9,96,0,0,131,326
48027,"Wild Rose/Wild Rose"," 142","Cochrane",29,17,16,97,0,0,159,399
48027,"Wild Rose/Wild Rose"," 143A","Cochrane",8,12,14,117,0,1,152,340
48027,"Wild Rose/Wild Rose"," 143B","Cochrane",8,3,11,171,0,0,193,364
48027,"Wild Rose/Wild Rose"," 144","Cochrane",15,12,14,160,0,0,201,395
48027,"Wild Rose/Wild Rose"," 144-1","Cochrane",8,11,8,131,0,0,158,281
48027,"Wild Rose/Wild Rose"," 145","Cochrane",14,13,31,214,0,1,273,541
48027,"Wild Rose/Wild Rose"," 146","Cochrane",54,19,23,293,3,1,393,778
48027,"Wild Rose/Wild Rose"," 147","Cochrane",13,10,8,151,2,0,184,363
48027,"Wild Rose/Wild Rose"," 148","Canmore",Merged with No. 153/Fusionné avec le nº 153,,,,,,,153
48027,"Wild Rose/Wild Rose"," 149","Canmore",32,19,38,57,0,0,146,341
