Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean Marie Gionet,Yvon Godin,Louis Robichaud,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 60","Bathurst",16,38,13,1,68,216
13001,"Acadie--Bathurst/Acadie--Bathurst"," 61","Bathurst",12,98,22,1,133,306
13001,"Acadie--Bathurst/Acadie--Bathurst"," 62","Bathurst",16,87,60,2,165,328
13001,"Acadie--Bathurst/Acadie--Bathurst"," 63","Bathurst",15,70,30,3,118,290
13001,"Acadie--Bathurst/Acadie--Bathurst"," 64","Bathurst",12,103,30,1,146,386
13001,"Acadie--Bathurst/Acadie--Bathurst"," 65","Bathurst",17,109,44,2,172,370
13001,"Acadie--Bathurst/Acadie--Bathurst"," 66","Bathurst",19,99,31,2,151,307
13001,"Acadie--Bathurst/Acadie--Bathurst"," 67","Salmon Beach",9,80,81,2,172,299
13001,"Acadie--Bathurst/Acadie--Bathurst"," 68","Bathurst",11,79,25,0,115,287
13001,"Acadie--Bathurst/Acadie--Bathurst"," 69","North Tetagouche",17,108,73,1,199,288
13001,"Acadie--Bathurst/Acadie--Bathurst"," 70","North Tetagouche",9,75,46,0,130,206
13001,"Acadie--Bathurst/Acadie--Bathurst"," 71","North Tetagouche",20,98,62,1,181,275
13001,"Acadie--Bathurst/Acadie--Bathurst"," 72","South Tetagouche",19,163,37,1,220,344
13001,"Acadie--Bathurst/Acadie--Bathurst"," 73","South Tetagouche",18,95,31,0,144,246
13001,"Acadie--Bathurst/Acadie--Bathurst"," 74","South Tetagouche",6,105,48,1,160,283
13001,"Acadie--Bathurst/Acadie--Bathurst"," 75","Sainte-Anne",31,162,40,2,235,399
13001,"Acadie--Bathurst/Acadie--Bathurst"," 76","Bathurst",20,153,44,0,217,348
13001,"Acadie--Bathurst/Acadie--Bathurst"," 77","Middle River",13,121,49,1,184,357
13001,"Acadie--Bathurst/Acadie--Bathurst"," 78","Reserve Papineau 11",Void/Supprimé,,,,,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 79A","Big River",10,103,44,3,160,284
13001,"Acadie--Bathurst/Acadie--Bathurst"," 79B","Big River",14,91,43,1,149,266
13001,"Acadie--Bathurst/Acadie--Bathurst"," 80","Papineau",15,75,15,0,105,202
13001,"Acadie--Bathurst/Acadie--Bathurst"," 81","Chamberlain Settlement",11,75,7,1,94,232
13001,"Acadie--Bathurst/Acadie--Bathurst"," 82","Allardville",7,115,32,4,158,249
13001,"Acadie--Bathurst/Acadie--Bathurst"," 83","Allardville",9,95,45,0,149,258
13001,"Acadie--Bathurst/Acadie--Bathurst"," 84","Allardville East",16,181,47,0,244,409
13001,"Acadie--Bathurst/Acadie--Bathurst"," 85","Jeanne-Mance",15,144,32,0,191,332
13001,"Acadie--Bathurst/Acadie--Bathurst"," 86","Saint-Sauveur",13,201,33,2,249,347
13001,"Acadie--Bathurst/Acadie--Bathurst"," 87","Saint-Sauveur",7,86,12,1,106,178
13001,"Acadie--Bathurst/Acadie--Bathurst"," 88","Janesville",5,100,93,2,200,323
13001,"Acadie--Bathurst/Acadie--Bathurst"," 89","Pokeshaw",21,53,61,2,137,239
13001,"Acadie--Bathurst/Acadie--Bathurst"," 90","Dugas--Anse-Bleu",6,84,6,0,96,146
13001,"Acadie--Bathurst/Acadie--Bathurst"," 91","Anse-Bleue",20,163,23,3,209,315
13001,"Acadie--Bathurst/Acadie--Bathurst"," 92","Grande Anse",23,136,17,1,177,336
13001,"Acadie--Bathurst/Acadie--Bathurst"," 93","Grande Anse",17,125,14,0,156,315
13001,"Acadie--Bathurst/Acadie--Bathurst"," 94","Saint-Léolin",27,165,12,1,205,351
13001,"Acadie--Bathurst/Acadie--Bathurst"," 95","Saint-Léolin",17,119,16,2,154,259
13001,"Acadie--Bathurst/Acadie--Bathurst"," 96","Maisonnette",11,120,8,0,139,207
13001,"Acadie--Bathurst/Acadie--Bathurst"," 97","Maisonnette",19,148,13,1,181,268
13001,"Acadie--Bathurst/Acadie--Bathurst"," 98","Bertrand",31,171,21,1,224,328
13001,"Acadie--Bathurst/Acadie--Bathurst"," 99","Bertrand",26,177,24,0,227,324
13001,"Acadie--Bathurst/Acadie--Bathurst"," 100","Bertrand",16,190,28,3,237,353
13001,"Acadie--Bathurst/Acadie--Bathurst"," 101","Sainte-Anne-du-Bocage",32,151,28,3,214,367
13001,"Acadie--Bathurst/Acadie--Bathurst"," 102","Caraquet",60,168,25,2,255,496
13001,"Acadie--Bathurst/Acadie--Bathurst"," 103","Pointe-Rocheuse",45,148,17,1,211,378
13001,"Acadie--Bathurst/Acadie--Bathurst"," 104","Caraquet",57,105,9,3,174,331
13001,"Acadie--Bathurst/Acadie--Bathurst"," 105","Caraquet",57,94,9,1,161,290
13001,"Acadie--Bathurst/Acadie--Bathurst"," 106","Caraquet",50,164,25,4,243,447
13001,"Acadie--Bathurst/Acadie--Bathurst"," 107","Caraquet",26,142,19,2,189,366
13001,"Acadie--Bathurst/Acadie--Bathurst"," 108","Caraquet",76,122,21,3,222,424
13001,"Acadie--Bathurst/Acadie--Bathurst"," 109","Caraquet",44,136,22,5,207,402
13001,"Acadie--Bathurst/Acadie--Bathurst"," 110","Bas-Caraquet",32,105,15,0,152,267
13001,"Acadie--Bathurst/Acadie--Bathurst"," 111","Bas-Caraquet",59,115,23,0,197,347
13001,"Acadie--Bathurst/Acadie--Bathurst"," 112","Bas-Caraquet",28,112,10,0,150,302
13001,"Acadie--Bathurst/Acadie--Bathurst"," 113","Bas-Caraquet",39,128,14,0,181,307
13001,"Acadie--Bathurst/Acadie--Bathurst"," 114","Pokesudie",18,121,11,2,152,237
13001,"Acadie--Bathurst/Acadie--Bathurst"," 115","Centre-Saint-Simon",34,119,28,2,183,292
13001,"Acadie--Bathurst/Acadie--Bathurst"," 116","Haut-Saint-Simon",35,135,7,0,177,320
13001,"Acadie--Bathurst/Acadie--Bathurst"," 117","Blanchard Settlement",30,159,43,6,238,355
13001,"Acadie--Bathurst/Acadie--Bathurst"," 118","Miscou Plains",14,53,23,3,93,154
13001,"Acadie--Bathurst/Acadie--Bathurst"," 119","Miscou Centre",26,119,39,2,186,356
13001,"Acadie--Bathurst/Acadie--Bathurst"," 120","Pigeon Hill",8,49,26,1,84,130
13001,"Acadie--Bathurst/Acadie--Bathurst"," 121","Pigeon Hill",27,180,44,2,253,392
13001,"Acadie--Bathurst/Acadie--Bathurst"," 122","Cap-Bateau",7,122,15,4,148,265
13001,"Acadie--Bathurst/Acadie--Bathurst"," 123","Coteau Road",17,118,17,0,152,271
13001,"Acadie--Bathurst/Acadie--Bathurst"," 124","Petite-Rivière-de-l'Ile",5,104,22,0,131,250
13001,"Acadie--Bathurst/Acadie--Bathurst"," 125","Petite-Rivière-de-l'Ile",15,127,10,1,153,308
13001,"Acadie--Bathurst/Acadie--Bathurst"," 126","Sainte-Cécile",9,50,10,2,71,149
13001,"Acadie--Bathurst/Acadie--Bathurst"," 127","Pointe-Canot",3,110,12,2,127,246
13001,"Acadie--Bathurst/Acadie--Bathurst"," 128","Petite-Lamèque",12,96,15,1,124,272
13001,"Acadie--Bathurst/Acadie--Bathurst"," 129","Pointe-Alexandre",9,122,28,2,161,271
13001,"Acadie--Bathurst/Acadie--Bathurst"," 130","Haut-Lamèque",9,113,14,2,138,251
13001,"Acadie--Bathurst/Acadie--Bathurst"," 131","Chiasson",17,157,25,3,202,430
13001,"Acadie--Bathurst/Acadie--Bathurst"," 132","Haut-Shippegan",4,122,31,4,161,339
13001,"Acadie--Bathurst/Acadie--Bathurst"," 133","Shippagan--Pointe-Sauvage",10,108,23,2,143,298
13001,"Acadie--Bathurst/Acadie--Bathurst"," 134","Shippagan",4,137,29,7,177,384
13001,"Acadie--Bathurst/Acadie--Bathurst"," 135","Shippagan",22,135,62,5,224,411
13001,"Acadie--Bathurst/Acadie--Bathurst"," 136","Shippagan",10,80,14,2,106,251
13001,"Acadie--Bathurst/Acadie--Bathurst"," 137","Shippagan",18,158,35,4,215,440
13001,"Acadie--Bathurst/Acadie--Bathurst"," 138","Shippagan",23,88,25,5,141,316
13001,"Acadie--Bathurst/Acadie--Bathurst"," 139","Shippagan",16,98,30,2,146,300
13001,"Acadie--Bathurst/Acadie--Bathurst"," 140","Le Goulet",37,124,30,4,195,353
13001,"Acadie--Bathurst/Acadie--Bathurst"," 141","Le Goulet",35,160,23,2,220,412
13001,"Acadie--Bathurst/Acadie--Bathurst"," 142","Lamèque",21,92,14,4,131,310
13001,"Acadie--Bathurst/Acadie--Bathurst"," 143","Lamèque",22,72,35,4,133,273
13001,"Acadie--Bathurst/Acadie--Bathurst"," 144","Lamèque",26,83,27,0,136,265
