Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Bylsma,Rick Dykstra,Andrew Gill,Jennifer Mooradian,Saleh Waziruddin,Mike Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35076,"St. Catharines/St. Catharines"," 1","St. Catharines",2,138,28,4,1,19,0,192,336
35076,"St. Catharines/St. Catharines"," 2","St. Catharines",1,92,49,8,0,28,0,178,342
35076,"St. Catharines/St. Catharines"," 3","St. Catharines",0,122,60,9,0,62,0,253,458
35076,"St. Catharines/St. Catharines"," 4","St. Catharines",0,147,64,8,1,39,1,260,488
35076,"St. Catharines/St. Catharines"," 5A","St. Catharines",1,81,53,1,0,21,1,158,260
35076,"St. Catharines/St. Catharines"," 5B","St. Catharines",1,78,58,6,1,22,1,167,279
35076,"St. Catharines/St. Catharines"," 6","St. Catharines",1,108,66,19,1,54,4,253,423
35076,"St. Catharines/St. Catharines"," 7A","St. Catharines",1,85,50,6,0,14,0,156,263
35076,"St. Catharines/St. Catharines"," 7B","St. Catharines",0,103,41,4,0,22,0,170,287
35076,"St. Catharines/St. Catharines"," 8","St. Catharines",1,188,48,6,0,27,2,272,483
35076,"St. Catharines/St. Catharines"," 9","St. Catharines",5,156,19,11,1,46,0,238,397
35076,"St. Catharines/St. Catharines"," 10A","St. Catharines",0,96,38,5,0,15,3,157,275
35076,"St. Catharines/St. Catharines"," 10B","St. Catharines",2,90,33,5,1,35,0,166,302
35076,"St. Catharines/St. Catharines"," 11","St. Catharines",0,101,27,1,0,13,0,142,268
35076,"St. Catharines/St. Catharines"," 11-1","St. Catharines",3,119,30,7,2,41,2,204,418
35076,"St. Catharines/St. Catharines"," 12","St. Catharines",1,165,59,7,1,37,0,270,511
35076,"St. Catharines/St. Catharines"," 13","St. Catharines",1,158,52,13,0,56,0,280,438
35076,"St. Catharines/St. Catharines"," 14","St. Catharines",1,118,41,7,0,38,0,205,351
35076,"St. Catharines/St. Catharines"," 15A","St. Catharines",2,93,24,2,0,25,2,148,271
35076,"St. Catharines/St. Catharines"," 15B","St. Catharines",4,106,21,5,0,35,3,174,260
35076,"St. Catharines/St. Catharines"," 16","St. Catharines",0,114,31,7,0,51,1,204,364
35076,"St. Catharines/St. Catharines"," 17","St. Catharines",1,60,20,2,0,39,3,125,326
35076,"St. Catharines/St. Catharines"," 18","St. Catharines",0,98,64,8,1,39,0,210,380
35076,"St. Catharines/St. Catharines"," 19","St. Catharines",2,144,73,7,0,42,2,270,475
35076,"St. Catharines/St. Catharines"," 20","St. Catharines",3,60,44,4,0,43,0,154,363
35076,"St. Catharines/St. Catharines"," 21","St. Catharines",2,78,52,11,0,60,0,203,381
35076,"St. Catharines/St. Catharines"," 22","St. Catharines",3,123,27,8,0,52,3,216,437
35076,"St. Catharines/St. Catharines"," 23","St. Catharines",1,69,32,9,0,43,0,154,312
35076,"St. Catharines/St. Catharines"," 24","St. Catharines",1,172,67,4,1,29,0,274,472
35076,"St. Catharines/St. Catharines"," 25","St. Catharines",0,153,88,20,0,43,0,304,466
35076,"St. Catharines/St. Catharines"," 26","St. Catharines",0,127,66,7,1,61,1,263,416
35076,"St. Catharines/St. Catharines"," 27","St. Catharines",0,83,42,9,0,46,0,180,330
35076,"St. Catharines/St. Catharines"," 28A","St. Catharines",1,97,21,4,0,34,0,157,279
35076,"St. Catharines/St. Catharines"," 28B","St. Catharines",5,114,33,6,0,42,3,203,311
35076,"St. Catharines/St. Catharines"," 29","St. Catharines",2,112,49,5,0,76,0,244,420
35076,"St. Catharines/St. Catharines"," 30","St. Catharines",1,78,25,3,0,57,0,164,303
35076,"St. Catharines/St. Catharines"," 31","St. Catharines",0,119,46,7,0,35,1,208,309
35076,"St. Catharines/St. Catharines"," 32","St. Catharines",0,133,41,8,3,64,1,250,407
35076,"St. Catharines/St. Catharines"," 33","St. Catharines",0,96,42,4,1,47,0,190,348
35076,"St. Catharines/St. Catharines"," 34","St. Catharines",1,147,38,10,0,44,0,240,458
35076,"St. Catharines/St. Catharines"," 35","St. Catharines",0,111,23,11,0,65,5,215,424
35076,"St. Catharines/St. Catharines"," 36","St. Catharines",2,124,34,3,0,74,0,237,453
35076,"St. Catharines/St. Catharines"," 37","St. Catharines",0,81,37,7,0,48,1,174,362
35076,"St. Catharines/St. Catharines"," 38","St. Catharines",0,140,54,6,0,48,1,249,448
35076,"St. Catharines/St. Catharines"," 39","St. Catharines",0,155,65,13,1,26,0,260,430
35076,"St. Catharines/St. Catharines"," 40","St. Catharines",0,91,34,2,0,24,1,152,269
35076,"St. Catharines/St. Catharines"," 41","St. Catharines",0,140,36,7,0,50,0,233,412
35076,"St. Catharines/St. Catharines"," 42","St. Catharines",2,171,42,15,0,42,0,272,510
35076,"St. Catharines/St. Catharines"," 43","St. Catharines",2,118,33,9,0,33,0,195,346
35076,"St. Catharines/St. Catharines"," 44","St. Catharines",1,101,31,4,0,41,0,178,317
35076,"St. Catharines/St. Catharines"," 45","St. Catharines",9,161,62,6,0,53,0,291,456
35076,"St. Catharines/St. Catharines"," 46","St. Catharines",1,136,58,8,0,38,1,242,385
35076,"St. Catharines/St. Catharines"," 47","St. Catharines",1,114,28,9,1,39,2,194,349
35076,"St. Catharines/St. Catharines"," 48","St. Catharines",3,137,67,6,0,46,1,260,429
35076,"St. Catharines/St. Catharines"," 49","St. Catharines",0,164,58,8,0,54,1,285,418
35076,"St. Catharines/St. Catharines"," 50","St. Catharines",4,69,21,8,0,44,0,146,286
35076,"St. Catharines/St. Catharines"," 51","St. Catharines",2,99,28,15,0,73,0,217,368
35076,"St. Catharines/St. Catharines"," 52","St. Catharines",0,128,33,8,0,38,2,209,339
35076,"St. Catharines/St. Catharines"," 53","St. Catharines",1,116,62,10,0,69,2,260,415
35076,"St. Catharines/St. Catharines"," 54","St. Catharines",2,170,78,14,0,29,2,295,476
35076,"St. Catharines/St. Catharines"," 55","St. Catharines",1,128,64,7,0,55,0,255,406
35076,"St. Catharines/St. Catharines"," 56","St. Catharines",0,126,61,9,0,48,0,244,386
35076,"St. Catharines/St. Catharines"," 57","St. Catharines",1,115,64,10,0,34,1,225,382
35076,"St. Catharines/St. Catharines"," 58","St. Catharines",0,123,38,9,0,51,2,223,409
35076,"St. Catharines/St. Catharines"," 59","St. Catharines",0,145,53,11,0,43,0,252,439
35076,"St. Catharines/St. Catharines"," 60","St. Catharines",0,108,31,3,1,50,2,195,393
35076,"St. Catharines/St. Catharines"," 61","St. Catharines",0,137,58,11,0,36,2,244,417
35076,"St. Catharines/St. Catharines"," 62","St. Catharines",2,128,51,10,0,56,0,247,405
35076,"St. Catharines/St. Catharines"," 63","St. Catharines",6,117,47,7,0,43,0,220,395
35076,"St. Catharines/St. Catharines"," 64","St. Catharines",3,130,34,15,0,60,1,243,405
35076,"St. Catharines/St. Catharines"," 65","St. Catharines",1,91,38,11,0,56,1,198,332
35076,"St. Catharines/St. Catharines"," 66","St. Catharines",4,109,36,8,0,51,0,208,362
35076,"St. Catharines/St. Catharines"," 67","St. Catharines",3,124,41,11,1,34,0,214,364
35076,"St. Catharines/St. Catharines"," 68","St. Catharines",1,97,54,1,0,29,0,182,334
35076,"St. Catharines/St. Catharines"," 69","St. Catharines",1,105,65,8,0,51,2,232,350
35076,"St. Catharines/St. Catharines"," 70","St. Catharines",1,107,41,8,0,42,1,200,325
35076,"St. Catharines/St. Catharines"," 71","St. Catharines",2,136,24,11,1,31,0,205,344
35076,"St. Catharines/St. Catharines"," 72","St. Catharines",1,122,30,5,0,31,0,189,300
35076,"St. Catharines/St. Catharines"," 73","St. Catharines",1,91,19,6,0,18,0,135,239
35076,"St. Catharines/St. Catharines"," 74","St. Catharines",Void/Supprimé,,,,,,,,
35076,"St. Catharines/St. Catharines"," 75","St. Catharines",2,99,29,7,0,30,0,167,313
35076,"St. Catharines/St. Catharines"," 76","St. Catharines",0,110,34,6,0,49,1,200,351
35076,"St. Catharines/St. Catharines"," 77","St. Catharines",Void/Supprimé,,,,,,,,
35076,"St. Catharines/St. Catharines"," 78","St. Catharines",0,105,24,12,0,71,0,212,454
35076,"St. Catharines/St. Catharines"," 79","St. Catharines",2,131,58,10,0,61,1,263,517
35076,"St. Catharines/St. Catharines"," 80","St. Catharines",1,127,58,10,1,33,0,230,382
35076,"St. Catharines/St. Catharines"," 81","St. Catharines",0,107,39,3,1,52,1,203,367
35076,"St. Catharines/St. Catharines"," 82","St. Catharines",3,130,53,12,1,46,1,246,441
35076,"St. Catharines/St. Catharines"," 83","St. Catharines",3,94,64,3,0,42,0,206,386
35076,"St. Catharines/St. Catharines"," 84","St. Catharines",5,100,41,10,0,31,0,187,340
35076,"St. Catharines/St. Catharines"," 85","St. Catharines",0,140,46,11,1,44,0,242,416
35076,"St. Catharines/St. Catharines"," 86","St. Catharines",1,109,48,5,0,43,0,206,383
35076,"St. Catharines/St. Catharines"," 87","St. Catharines",2,97,53,4,0,56,0,212,364
35076,"St. Catharines/St. Catharines"," 88A","St. Catharines",1,87,27,7,0,46,0,168,261
35076,"St. Catharines/St. Catharines"," 88B","St. Catharines",1,117,36,5,3,41,1,204,286
35076,"St. Catharines/St. Catharines"," 89","St. Catharines",2,130,30,5,0,32,1,200,337
35076,"St. Catharines/St. Catharines"," 90","St. Catharines",2,90,50,7,0,36,1,186,326
35076,"St. Catharines/St. Catharines"," 91","St. Catharines",2,76,38,6,0,39,0,161,293
35076,"St. Catharines/St. Catharines"," 92","St. Catharines",2,120,34,5,0,49,0,210,339
35076,"St. Catharines/St. Catharines"," 93","St. Catharines",3,106,24,5,0,44,0,182,324
35076,"St. Catharines/St. Catharines"," 94A","St. Catharines",5,99,24,7,0,33,1,169,314
35076,"St. Catharines/St. Catharines"," 94B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,69
35076,"St. Catharines/St. Catharines"," 94C","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,85
35076,"St. Catharines/St. Catharines"," 95A","St. Catharines",3,69,33,4,0,42,0,151,296
35076,"St. Catharines/St. Catharines"," 95B","St. Catharines",0,92,21,2,0,36,3,154,297
35076,"St. Catharines/St. Catharines"," 96","St. Catharines",Void/Supprimé,,,,,,,,
35076,"St. Catharines/St. Catharines"," 97","St. Catharines",0,40,16,4,0,35,1,96,178
35076,"St. Catharines/St. Catharines"," 98","St. Catharines",0,15,15,1,1,30,0,62,212
35076,"St. Catharines/St. Catharines"," 99","St. Catharines",1,86,29,3,0,54,2,175,357
35076,"St. Catharines/St. Catharines"," 100","St. Catharines",5,130,31,6,0,40,1,213,399
35076,"St. Catharines/St. Catharines"," 101","St. Catharines",1,103,38,5,1,69,2,219,376
35076,"St. Catharines/St. Catharines"," 102","St. Catharines",4,100,69,5,0,47,3,228,438
35076,"St. Catharines/St. Catharines"," 103","St. Catharines",1,82,29,9,3,53,0,177,387
35076,"St. Catharines/St. Catharines"," 104","St. Catharines",4,99,32,8,0,49,1,193,386
35076,"St. Catharines/St. Catharines"," 105","St. Catharines",Void/Supprimé,,,,,,,,
