Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Will Arlow,John Fisher,Carl Hiemstra,Joe Preston,Fred Sinclair,Graham Warwick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 1","Cherry Grove",2,14,2,191,53,49,0,311,472
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 2","Wellburn",1,5,2,176,64,23,0,271,403
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 3","Thorndale",0,7,1,113,60,14,0,195,323
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 4","Thorndale",0,12,0,193,65,50,0,320,519
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 5","Evelyn",0,12,4,154,64,44,2,280,455
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 6","Evelyn",0,12,1,111,42,21,1,188,319
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 7A","London",1,3,0,145,33,30,2,214,370
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 7B","London",1,6,4,144,19,30,1,205,303
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 8","London",0,7,4,214,56,52,0,333,545
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 9A","London",1,2,1,113,42,34,0,193,302
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 9B","London",0,6,0,119,38,34,0,197,329
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 10","London",0,10,1,154,67,35,1,268,421
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 11","London",0,11,10,210,60,43,3,337,494
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 12","London",1,4,2,131,42,36,1,217,339
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 13","London",0,8,1,149,58,43,0,259,357
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 14","London",0,6,2,190,20,49,0,267,412
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 15A","London",0,6,0,96,47,35,2,186,367
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 15B","London",0,6,1,132,60,51,0,250,429
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 15-1","London",0,6,2,115,92,67,2,284,681
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 15-2","London",0,3,0,93,60,37,1,194,466
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 16","London",0,4,0,88,26,20,0,138,267
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 17","London",1,2,0,113,52,21,1,190,365
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 18","London",1,9,0,71,115,40,3,239,528
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 19","London",0,6,1,72,84,28,2,193,352
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 20","London",3,11,0,94,78,38,0,224,423
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 21","London",2,3,1,43,55,17,0,121,231
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 22","London",0,7,1,128,109,39,0,284,527
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 23","London",0,3,2,32,32,8,1,78,198
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 24","London",0,2,2,95,103,15,0,217,383
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 25","London",3,4,2,78,49,17,0,153,267
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 26","London",Void/Supprimé,,,,,,,,
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 27","London",0,7,5,183,55,45,1,296,469
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 28","Thames Centre",0,13,2,119,33,17,0,184,403
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 29","Thames Centre",1,13,5,154,41,26,3,243,391
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 30","Dorchester",0,1,0,58,21,12,0,92,180
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 31","Dorchester",0,12,4,113,54,17,0,200,338
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 32","Dorchester",0,9,4,154,73,30,0,270,507
