Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vivian Barbot,Shama Chopra,Peter Macrisopoulos,Danny Polifroni,Marcos Radhames Tejada,Justin Trudeau,Joseph Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24048,"Papineau/Papineau"," 65","Montréal",81,8,0,8,90,38,0,4,229,457
24048,"Papineau/Papineau"," 66","Montréal",60,11,0,2,55,71,0,5,204,411
24048,"Papineau/Papineau"," 67","Montréal",101,8,0,6,85,68,0,3,271,445
24048,"Papineau/Papineau"," 68","Montréal",54,6,1,1,40,87,1,2,192,348
24048,"Papineau/Papineau"," 69","Montréal",29,10,3,2,54,67,0,1,166,422
24048,"Papineau/Papineau"," 70","Montréal",26,8,1,1,41,37,1,1,116,314
24048,"Papineau/Papineau"," 71","Montréal",31,2,0,2,35,42,0,9,121,250
24048,"Papineau/Papineau"," 72","Montréal",111,8,1,6,73,36,0,3,238,380
24048,"Papineau/Papineau"," 73","Montréal",65,18,0,3,81,74,0,3,244,489
24048,"Papineau/Papineau"," 74A","Montréal",61,5,0,4,56,20,1,2,149,259
24048,"Papineau/Papineau"," 74B","Montréal",58,7,0,3,57,26,0,2,153,270
24048,"Papineau/Papineau"," 75","Montréal",84,6,0,5,71,49,0,4,219,331
24048,"Papineau/Papineau"," 76","Montréal",70,5,0,2,78,56,0,1,212,424
24048,"Papineau/Papineau"," 77","Montréal",39,3,0,7,63,54,0,1,167,353
24048,"Papineau/Papineau"," 78","Montréal",114,6,0,10,100,39,0,1,270,483
24048,"Papineau/Papineau"," 79","Montréal",79,9,1,3,92,43,1,3,231,394
24048,"Papineau/Papineau"," 80","Montréal",72,2,0,9,82,39,0,2,206,369
24048,"Papineau/Papineau"," 81","Montréal",66,8,1,8,60,53,0,3,199,365
24048,"Papineau/Papineau"," 82A","Montréal",56,3,0,2,38,45,0,2,146,261
24048,"Papineau/Papineau"," 82B","Montréal",57,5,0,2,58,35,1,1,159,302
24048,"Papineau/Papineau"," 83","Montréal",89,11,0,7,98,57,0,2,264,487
24048,"Papineau/Papineau"," 84A","Montréal",55,1,1,3,58,20,1,1,140,239
24048,"Papineau/Papineau"," 84B","Montréal",45,4,0,1,58,24,0,4,136,242
