Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rachel Barney,Chester Brown,Olivia Chow,Christine Innes,Nick Lin,Gin Siow,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35095,"Trinity--Spadina/Trinity--Spadina"," 1","Toronto",11,1,97,14,1,10,1,135,234
35095,"Trinity--Spadina/Trinity--Spadina"," 2","Toronto",10,0,121,31,0,24,1,187,309
35095,"Trinity--Spadina/Trinity--Spadina"," 3","Toronto",6,0,138,41,0,12,0,197,376
35095,"Trinity--Spadina/Trinity--Spadina"," 4","Toronto",12,0,121,46,0,20,0,199,353
35095,"Trinity--Spadina/Trinity--Spadina"," 5","Toronto",20,3,163,63,0,25,1,275,509
35095,"Trinity--Spadina/Trinity--Spadina"," 6","Toronto",7,1,146,67,0,17,3,241,397
35095,"Trinity--Spadina/Trinity--Spadina"," 7","Toronto",15,0,127,44,0,23,2,211,365
35095,"Trinity--Spadina/Trinity--Spadina"," 8","Toronto",14,3,153,52,0,16,0,238,425
35095,"Trinity--Spadina/Trinity--Spadina"," 9","Toronto",9,3,144,27,2,30,7,222,358
35095,"Trinity--Spadina/Trinity--Spadina"," 10","Toronto",9,0,162,57,0,38,4,270,451
35095,"Trinity--Spadina/Trinity--Spadina"," 11","Toronto",15,2,163,53,1,28,1,263,434
35095,"Trinity--Spadina/Trinity--Spadina"," 12","Toronto",6,1,95,12,0,12,0,126,254
35095,"Trinity--Spadina/Trinity--Spadina"," 13","Toronto",3,0,98,36,0,12,0,149,299
35095,"Trinity--Spadina/Trinity--Spadina"," 14","Toronto",14,2,175,66,0,16,3,276,489
35095,"Trinity--Spadina/Trinity--Spadina"," 15","Toronto",15,2,167,57,1,13,3,258,412
35095,"Trinity--Spadina/Trinity--Spadina"," 16","Toronto",14,2,157,47,0,18,2,240,378
35095,"Trinity--Spadina/Trinity--Spadina"," 17","Toronto",22,0,159,38,1,27,3,250,443
35095,"Trinity--Spadina/Trinity--Spadina"," 18","Toronto",9,1,107,42,0,19,0,178,363
35095,"Trinity--Spadina/Trinity--Spadina"," 19","Toronto",13,1,95,36,0,12,0,157,273
35095,"Trinity--Spadina/Trinity--Spadina"," 20","Toronto",Void/Supprimé,,,,,,,,
35095,"Trinity--Spadina/Trinity--Spadina"," 21","Toronto",15,2,127,44,0,16,2,206,450
35095,"Trinity--Spadina/Trinity--Spadina"," 22","Toronto",21,1,135,61,1,17,1,237,413
35095,"Trinity--Spadina/Trinity--Spadina"," 23","Toronto",10,0,79,41,1,15,0,146,301
35095,"Trinity--Spadina/Trinity--Spadina"," 24","Toronto",7,1,121,56,0,15,0,200,331
35095,"Trinity--Spadina/Trinity--Spadina"," 25","Toronto",5,0,99,37,0,9,0,150,243
35095,"Trinity--Spadina/Trinity--Spadina"," 26","Toronto",11,1,106,46,1,15,0,180,317
35095,"Trinity--Spadina/Trinity--Spadina"," 27","Toronto",5,2,102,22,0,4,0,135,240
35095,"Trinity--Spadina/Trinity--Spadina"," 28","Toronto",9,0,63,37,0,14,0,123,218
35095,"Trinity--Spadina/Trinity--Spadina"," 29","Toronto",9,0,107,47,0,23,1,187,310
35095,"Trinity--Spadina/Trinity--Spadina"," 30","Toronto",12,0,84,40,0,22,0,158,319
35095,"Trinity--Spadina/Trinity--Spadina"," 31","Toronto",12,0,181,68,0,38,1,300,510
35095,"Trinity--Spadina/Trinity--Spadina"," 32","Toronto",13,1,101,37,0,21,1,174,274
35095,"Trinity--Spadina/Trinity--Spadina"," 33","Toronto",3,1,93,43,1,12,0,153,265
35095,"Trinity--Spadina/Trinity--Spadina"," 34","Toronto",17,0,126,68,0,29,0,240,449
