Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Bryce,Ed Fast,Madeleine Hardin,David MacKay,David Alan Murray,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59001,"Abbotsford/Abbotsford"," 1","Abbotsford",9,171,20,1,48,2,251,423
59001,"Abbotsford/Abbotsford"," 2","Abbotsford",14,202,16,0,28,0,260,462
59001,"Abbotsford/Abbotsford"," 3","Abbotsford",4,157,16,1,49,1,228,360
59001,"Abbotsford/Abbotsford"," 4","Abbotsford",17,204,15,1,49,2,288,476
59001,"Abbotsford/Abbotsford"," 5","Abbotsford",12,194,27,0,33,0,266,414
59001,"Abbotsford/Abbotsford"," 6","Abbotsford",16,219,12,30,0,0,277,491
59001,"Abbotsford/Abbotsford"," 7","Abbotsford",3,158,38,3,53,4,259,519
59001,"Abbotsford/Abbotsford"," 7-1","Abbotsford",6,57,16,1,46,1,127,270
59001,"Abbotsford/Abbotsford"," 8","Abbotsford",0,135,42,2,53,1,233,428
59001,"Abbotsford/Abbotsford"," 8-1","Abbotsford",4,44,15,0,30,0,93,197
59001,"Abbotsford/Abbotsford"," 9","Abbotsford",2,19,64,1,39,6,131,333
59001,"Abbotsford/Abbotsford"," 9-1","Abbotsford",2,47,49,1,89,3,191,467
59001,"Abbotsford/Abbotsford"," 9-2","Abbotsford",7,18,47,2,62,3,139,322
59001,"Abbotsford/Abbotsford"," 10A","Abbotsford",0,56,22,1,54,1,134,296
59001,"Abbotsford/Abbotsford"," 10B","Abbotsford",4,47,22,2,37,0,112,293
59001,"Abbotsford/Abbotsford"," 10-1","Abbotsford",6,58,20,0,39,4,127,223
59001,"Abbotsford/Abbotsford"," 11","Abbotsford",3,91,28,1,66,2,191,417
59001,"Abbotsford/Abbotsford"," 11-1","Abbotsford",4,64,22,5,43,0,138,265
59001,"Abbotsford/Abbotsford"," 12","Abbotsford",12,104,11,1,43,1,172,387
59001,"Abbotsford/Abbotsford"," 13","Abbotsford",6,85,6,1,24,0,122,207
59001,"Abbotsford/Abbotsford"," 13-1","Abbotsford",6,71,27,3,60,0,167,313
59001,"Abbotsford/Abbotsford"," 14","Abbotsford",12,144,19,1,44,0,220,437
59001,"Abbotsford/Abbotsford"," 14-1","Abbotsford",1,59,4,0,17,0,81,182
59001,"Abbotsford/Abbotsford"," 15","Abbotsford",5,131,32,0,40,0,208,345
59001,"Abbotsford/Abbotsford"," 15-1A","Abbotsford",5,78,30,0,33,3,149,280
59001,"Abbotsford/Abbotsford"," 15-1B","Abbotsford",5,96,23,2,39,1,166,307
59001,"Abbotsford/Abbotsford"," 15-2","Abbotsford",4,97,14,0,43,1,159,321
59001,"Abbotsford/Abbotsford"," 16A","Abbotsford",8,141,7,0,35,1,192,290
59001,"Abbotsford/Abbotsford"," 16B","Abbotsford",9,132,18,0,22,1,182,306
59001,"Abbotsford/Abbotsford"," 17","Abbotsford",9,118,18,0,27,0,172,342
59001,"Abbotsford/Abbotsford"," 18","Abbotsford",4,64,15,1,17,0,101,200
59001,"Abbotsford/Abbotsford"," 19","Abbotsford",11,92,38,0,33,0,174,356
59001,"Abbotsford/Abbotsford"," 20","Abbotsford",5,104,53,1,33,1,197,469
59001,"Abbotsford/Abbotsford"," 21","Abbotsford",1,122,30,0,32,2,187,406
59001,"Abbotsford/Abbotsford"," 22","Abbotsford",2,34,55,3,98,4,196,374
59001,"Abbotsford/Abbotsford"," 22-1","Abbotsford",2,32,35,4,54,2,129,263
59001,"Abbotsford/Abbotsford"," 23","Abbotsford",5,126,32,0,60,0,223,431
59001,"Abbotsford/Abbotsford"," 24","Abbotsford",3,14,36,6,96,3,158,354
59001,"Abbotsford/Abbotsford"," 24-1","Abbotsford",2,44,36,1,64,2,149,335
59001,"Abbotsford/Abbotsford"," 24-2","Abbotsford",2,46,19,0,81,2,150,367
59001,"Abbotsford/Abbotsford"," 25","Abbotsford",2,101,32,2,92,4,233,468
59001,"Abbotsford/Abbotsford"," 25-1","Abbotsford",1,15,35,0,57,0,108,303
59001,"Abbotsford/Abbotsford"," 26A","Abbotsford",5,72,9,0,42,1,129,261
59001,"Abbotsford/Abbotsford"," 26B","Abbotsford",3,106,11,0,29,1,150,271
59001,"Abbotsford/Abbotsford"," 27","Abbotsford",5,60,56,1,96,2,220,489
59001,"Abbotsford/Abbotsford"," 27-1","Abbotsford",1,66,7,0,11,0,85,128
59001,"Abbotsford/Abbotsford"," 27-2","Abbotsford",3,52,42,0,48,1,146,312
59001,"Abbotsford/Abbotsford"," 28","Abbotsford",7,69,44,0,52,2,174,399
59001,"Abbotsford/Abbotsford"," 29","Abbotsford",5,85,39,0,43,2,174,315
59001,"Abbotsford/Abbotsford"," 29-1","Abbotsford",2,104,32,0,33,0,171,324
59001,"Abbotsford/Abbotsford"," 30","Abbotsford",4,100,42,1,64,1,212,434
59001,"Abbotsford/Abbotsford"," 31","Abbotsford",5,101,35,4,69,3,217,406
59001,"Abbotsford/Abbotsford"," 32","Abbotsford",5,44,16,1,26,1,93,195
59001,"Abbotsford/Abbotsford"," 32-1","Abbotsford",5,80,21,0,41,0,147,295
59001,"Abbotsford/Abbotsford"," 33","Abbotsford",3,56,5,1,22,1,88,166
59001,"Abbotsford/Abbotsford"," 33-1","Abbotsford",9,169,16,1,23,0,218,355
59001,"Abbotsford/Abbotsford"," 34","Abbotsford",4,42,6,1,24,0,77,137
59001,"Abbotsford/Abbotsford"," 34-1","Abbotsford",6,96,29,0,38,0,169,330
59001,"Abbotsford/Abbotsford"," 35","Abbotsford",4,54,36,0,50,0,144,288
59001,"Abbotsford/Abbotsford"," 36","Abbotsford",5,81,22,2,54,1,165,378
59001,"Abbotsford/Abbotsford"," 37","Abbotsford",8,150,8,0,25,0,191,321
59001,"Abbotsford/Abbotsford"," 38","Abbotsford",10,127,20,0,43,0,200,364
59001,"Abbotsford/Abbotsford"," 38-1","Abbotsford",2,70,11,0,22,1,106,218
59001,"Abbotsford/Abbotsford"," 39A","Abbotsford",25,131,14,0,45,0,215,392
59001,"Abbotsford/Abbotsford"," 39B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,56
59001,"Abbotsford/Abbotsford"," 40","Abbotsford",14,91,29,1,57,0,192,469
59001,"Abbotsford/Abbotsford"," 41","Abbotsford",14,79,6,1,20,0,120,240
59001,"Abbotsford/Abbotsford"," 41-1","Abbotsford",3,97,15,0,16,0,131,316
59001,"Abbotsford/Abbotsford"," 42","Abbotsford",12,93,14,0,46,1,166,362
59001,"Abbotsford/Abbotsford"," 43","Abbotsford",6,83,9,0,15,0,113,242
59001,"Abbotsford/Abbotsford"," 43-1","Abbotsford",8,66,7,0,38,0,119,321
59001,"Abbotsford/Abbotsford"," 44","Abbotsford",12,145,15,0,51,2,225,498
59001,"Abbotsford/Abbotsford"," 45","Abbotsford",0,39,3,0,5,0,47,112
59001,"Abbotsford/Abbotsford"," 45-1","Abbotsford",10,71,15,2,58,2,158,365
59001,"Abbotsford/Abbotsford"," 46","Abbotsford",6,29,23,0,48,2,108,264
59001,"Abbotsford/Abbotsford"," 47","Abbotsford",5,66,26,2,47,0,146,330
59001,"Abbotsford/Abbotsford"," 48","Abbotsford",5,115,22,0,38,1,181,441
59001,"Abbotsford/Abbotsford"," 48-1","Abbotsford",7,31,6,1,25,0,70,159
59001,"Abbotsford/Abbotsford"," 49","Abbotsford",5,147,15,1,31,1,200,398
59001,"Abbotsford/Abbotsford"," 50","Abbotsford",11,202,15,3,29,0,260,495
59001,"Abbotsford/Abbotsford"," 51","Abbotsford",Void/Supprimé,,,,,,,
59001,"Abbotsford/Abbotsford"," 52","Abbotsford",3,103,10,0,30,0,146,279
59001,"Abbotsford/Abbotsford"," 53","Abbotsford",4,93,15,1,27,0,140,273
59001,"Abbotsford/Abbotsford"," 53-1","Abbotsford",6,94,15,0,37,0,152,292
59001,"Abbotsford/Abbotsford"," 54","Abbotsford",7,69,14,1,21,0,112,276
59001,"Abbotsford/Abbotsford"," 55","Abbotsford",4,76,14,1,43,1,139,354
59001,"Abbotsford/Abbotsford"," 56","Abbotsford",6,81,7,1,24,0,119,329
59001,"Abbotsford/Abbotsford"," 57","Abbotsford",6,130,8,2,24,1,171,394
59001,"Abbotsford/Abbotsford"," 58","Abbotsford",10,80,2,1,45,0,138,296
59001,"Abbotsford/Abbotsford"," 59A","Abbotsford",6,62,11,0,36,0,115,292
59001,"Abbotsford/Abbotsford"," 59B","Mobile poll/Bureau itinérant",Merged with No. 168B/Fusionné avec le nº 168B,,,,,,,50
59001,"Abbotsford/Abbotsford"," 59C","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,104
59001,"Abbotsford/Abbotsford"," 60","Abbotsford",7,130,17,0,31,1,186,378
59001,"Abbotsford/Abbotsford"," 61","Abbotsford",18,120,23,0,47,1,209,474
59001,"Abbotsford/Abbotsford"," 62","Abbotsford",10,98,26,1,55,4,194,472
59001,"Abbotsford/Abbotsford"," 63","Abbotsford",Void/Supprimé,,,,,,,
59001,"Abbotsford/Abbotsford"," 64","Abbotsford",6,153,25,0,35,2,221,414
59001,"Abbotsford/Abbotsford"," 65","Abbotsford",3,110,5,1,20,0,139,249
59001,"Abbotsford/Abbotsford"," 66","Abbotsford",2,66,13,2,25,0,108,344
59001,"Abbotsford/Abbotsford"," 66-1","Abbotsford",2,49,10,0,18,0,79,229
59001,"Abbotsford/Abbotsford"," 67","Abbotsford",2,68,11,2,23,0,106,238
59001,"Abbotsford/Abbotsford"," 68","Abbotsford",6,126,23,1,38,1,195,412
59001,"Abbotsford/Abbotsford"," 69","Abbotsford",12,121,18,1,48,1,201,386
59001,"Abbotsford/Abbotsford"," 70","Abbotsford",8,138,23,0,39,0,208,413
59001,"Abbotsford/Abbotsford"," 71","Abbotsford",3,77,9,0,17,0,106,245
59001,"Abbotsford/Abbotsford"," 72","Abbotsford",4,99,17,0,58,1,179,332
59001,"Abbotsford/Abbotsford"," 73","Abbotsford",6,120,17,0,38,0,181,399
59001,"Abbotsford/Abbotsford"," 74","Abbotsford",12,64,14,0,51,4,145,344
59001,"Abbotsford/Abbotsford"," 75","Abbotsford",12,92,11,1,42,0,158,320
59001,"Abbotsford/Abbotsford"," 76","Abbotsford",2,37,11,2,30,5,87,197
