Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Christian-Simon Ferlatte,Daniel Fox,Mylène Freeman,Michel Daniel Guibord,Mario Laframboise,Stephen Matthews,Yvan Patry,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 1","Bowman",0,37,96,2,47,4,51,0,237,534
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 2","Val-des-Bois",1,22,109,1,32,0,36,1,202,373
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 3","Val-des-Bois",3,13,82,1,37,3,25,2,166,362
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 4","Mulgrave-et-Derry",0,10,46,1,10,3,14,0,84,127
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 5","Mulgrave-et-Derry",2,16,25,0,3,2,50,0,98,152
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 6","Mayo",0,33,125,0,27,2,58,1,246,431
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 7","Lochaber",0,24,129,0,48,6,44,0,251,500
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 8","Lochaber",0,15,69,1,54,4,31,2,176,341
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 9","Thurso",0,16,70,2,33,0,15,0,136,272
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 10","Thurso",2,12,97,0,38,4,15,5,173,462
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 11","Thurso",0,18,88,0,66,1,14,0,187,402
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 12","Thurso",1,13,161,1,90,1,13,3,283,544
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 13","Thurso",1,14,71,2,31,2,16,1,138,334
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 14","Saint-Sixte",0,8,94,0,55,8,22,4,191,337
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 15","Ripon",1,13,75,2,74,5,13,1,184,330
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 16","Ripon",1,25,134,1,105,10,18,2,296,533
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 17","Ripon",0,18,93,1,63,7,17,0,199,371
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 18","Montpellier",0,22,92,0,59,5,19,0,197,352
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 19","Montpellier",1,30,132,0,90,0,35,5,293,518
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 20","Duhamel",1,9,91,1,70,2,17,2,193,323
