Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Judy Foote,Tanya Gutmanis,Stella Magalios,John Ottenheimer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 117","Swift Current",52,1,17,48,0,118,187
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 117-1","Garden Cove",25,0,12,20,0,57,79
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 117-2","North Harbour",68,1,17,26,0,112,189
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 117-3","Goobies",17,0,7,18,0,42,81
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 118","Shoal Harbour",58,1,38,63,0,160,418
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 118-1","Shoal Harbour",41,0,17,33,1,92,221
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 119","Shoal Harbour",38,1,33,23,0,95,260
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 119-1","Shoal Harbour",60,3,70,64,1,198,488
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 120","Milton--Georges Brook",62,4,39,82,0,187,404
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 121","Harcourt--Barton--Monroe",46,2,21,48,0,117,229
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 122","Burgoynes Cove--New Burnt Cove--Clifton",30,0,6,7,0,43,112
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 123","Shoal Harbour",64,0,32,38,0,134,258
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 124A","Elliott's Cove--Aspey Brook--Snooks Harbour--Random Heights",25,1,20,45,0,91,171
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 124B","Elliott's Cove--Aspey Brook--Snooks Harbour--Random Heights",29,1,18,20,0,68,175
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 124-1","Weybridge--Lady Cove--Robinson Bight",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 125","Petley",16,0,17,6,0,39,109
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 126","Clarenville",27,2,19,26,0,74,193
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 127","Clarenville",64,3,40,51,0,158,412
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 128","Clarenville",60,0,42,51,0,153,390
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 128-1","Clarenville",40,0,16,26,1,83,253
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 129","Clarenville",42,1,13,33,1,90,206
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 130","Clarenville",44,0,30,41,0,115,403
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 131A","Clarenville",46,0,22,45,0,113,263
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 131B","Clarenville",40,1,13,51,2,107,234
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 132","Clarenville",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 133","Clarenville",104,2,39,63,1,209,468
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 134","Adeytown--Deep Bight",52,2,25,23,0,102,182
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 135","Weybridge--Lady Cove--Robinson Bight",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 136","Hickman's Harbour",42,3,14,46,0,105,291
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 137","Britannia--Lower Lance Cove",39,1,11,24,0,75,158
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 138","Butter Cove--Southport--Gooseberry Cove",59,1,21,28,2,111,208
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 139","Hatchet Cove--St. Jones Within",26,1,7,36,0,70,162
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 140","Little Heart's Ease",31,1,31,33,1,97,235
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 141","Hillview",59,1,24,50,0,134,254
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 142","North West Brook-Ivany's Cove",62,0,23,35,1,121,228
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 143","Queen's Cove--Long Beach",25,2,19,30,0,76,166
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 144","Hodge's Cove--Caplin Cove",45,1,42,76,0,164,295
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 145","Sunnyside",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 146","Pool's Cove",26,1,4,38,0,69,155
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 147","Wreck Cove",51,0,5,12,0,68,159
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 148","Rencontre East",37,0,14,12,0,63,118
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 149","English Harbour East",46,0,3,11,1,61,137
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 150","Grand Le Pierre",51,2,4,32,0,89,194
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 151","Terrenceville",34,2,19,63,3,121,428
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 152","Terrenceville",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 153","Harbour Mille--Little Harbour East",40,0,14,11,0,65,123
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 154","Belleoram",55,0,8,45,0,108,322
