Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Judy Foote,Tanya Gutmanis,Stella Magalios,John Ottenheimer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 43","Stephenville Crossing",49,3,47,25,0,124,382
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 44","Mattis Point",6,0,4,4,0,14,62
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 45","St. Teresa",59,3,17,34,0,113,302
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 46","Flat Bay",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 47","St. George's",48,4,21,27,0,100,290
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 48","Barachois Brook",24,0,13,16,0,53,108
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 49","St. George's",82,6,50,74,0,212,522
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 50","St. George's",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 51","St. George's",38,1,20,40,0,99,327
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 52","Heatherton",29,1,31,26,1,88,179
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 53","Highlands",18,1,13,9,0,41,69
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 54","St. David's",43,7,47,62,2,161,346
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 55","McKay's--Jeffrey's--Cartyville",50,1,37,60,0,148,300
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 56","Robinsons",38,0,24,47,1,110,198
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 57","Codroy",63,2,42,39,0,146,305
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 58","O'Regan's--Millville--Great Codroy",33,1,21,48,1,104,212
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 59","Coal Brook--South Branch",49,0,31,44,1,125,232
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 60","Doyles--Upper Ferry",53,2,63,49,1,168,430
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 61","St. Andrew's",70,2,41,39,1,153,233
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 62","Cape Ray",48,4,34,46,2,134,285
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 63","Fox Roost-Margaree",54,1,15,22,0,92,247
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 64","Isle aux Morts",35,0,10,38,0,83,246
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 65","Isle aux Morts",86,2,13,41,3,145,333
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 66","Burnt Islands",88,1,26,18,1,134,393
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 67","Burnt Islands",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 68","Burnt Islands",53,0,11,6,1,71,171
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 69","Rose Blanche-Harbour le Cou",27,1,8,22,0,58,237
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 69-1","Rose Blanche",21,0,10,20,0,51,267
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 70","Rose Blanche",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 71","Rose Blanche",Void/Supprimé,,,,,,
