Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Keith Ashfield,Louise Anna-Marie Comeau,Randy McKeen,Adam Scott Ness,Jesse Travis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13003,"Fredericton/Fredericton"," 1","Fredericton",150,8,55,1,67,2,283,489
13003,"Fredericton/Fredericton"," 1-1","Fredericton",83,4,41,0,35,0,163,332
13003,"Fredericton/Fredericton"," 2A","Fredericton",68,5,24,2,13,1,113,221
13003,"Fredericton/Fredericton"," 2B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,41
13003,"Fredericton/Fredericton"," 3","Fredericton",69,4,19,1,31,0,124,276
13003,"Fredericton/Fredericton"," 4","Fredericton",114,3,37,1,39,0,194,309
13003,"Fredericton/Fredericton"," 5","Fredericton",58,2,27,1,41,0,129,292
13003,"Fredericton/Fredericton"," 6","Fredericton",136,1,45,1,55,1,239,559
13003,"Fredericton/Fredericton"," 6-1","Fredericton",46,4,15,0,14,2,81,211
13003,"Fredericton/Fredericton"," 7","Fredericton",156,11,77,1,72,0,317,595
13003,"Fredericton/Fredericton"," 7-1A","Fredericton",61,7,48,1,45,0,162,320
13003,"Fredericton/Fredericton"," 7-1B","Fredericton",82,4,59,2,60,0,207,371
13003,"Fredericton/Fredericton"," 7-2","Fredericton",118,6,49,2,75,1,251,507
13003,"Fredericton/Fredericton"," 8","Fredericton",79,9,48,0,36,0,172,306
13003,"Fredericton/Fredericton"," 9","Fredericton",121,9,51,0,44,0,225,371
13003,"Fredericton/Fredericton"," 10","Fredericton",79,7,42,0,26,0,154,263
13003,"Fredericton/Fredericton"," 11","Fredericton",67,8,38,1,39,0,153,311
13003,"Fredericton/Fredericton"," 12","Fredericton",70,10,34,0,41,2,157,299
13003,"Fredericton/Fredericton"," 13","Fredericton",70,7,44,1,32,1,155,311
13003,"Fredericton/Fredericton"," 14","Fredericton",74,7,40,0,54,2,177,385
13003,"Fredericton/Fredericton"," 15","Fredericton",66,5,25,0,59,1,156,317
13003,"Fredericton/Fredericton"," 16","Fredericton",104,14,48,2,96,1,265,545
13003,"Fredericton/Fredericton"," 17","Fredericton",70,12,41,1,41,2,167,302
13003,"Fredericton/Fredericton"," 18","Fredericton",78,3,36,0,31,1,149,282
13003,"Fredericton/Fredericton"," 19","Fredericton",74,7,32,2,28,0,143,283
13003,"Fredericton/Fredericton"," 20","Fredericton",73,7,44,0,40,1,165,305
13003,"Fredericton/Fredericton"," 21","Fredericton",83,3,62,1,52,1,202,349
13003,"Fredericton/Fredericton"," 22","Fredericton",82,13,45,1,18,0,159,248
13003,"Fredericton/Fredericton"," 23","Fredericton",130,13,90,0,45,1,279,481
13003,"Fredericton/Fredericton"," 24","Fredericton",126,7,80,2,42,0,257,441
13003,"Fredericton/Fredericton"," 25","Fredericton",91,10,46,1,62,0,210,396
13003,"Fredericton/Fredericton"," 26","Fredericton",86,6,43,2,63,1,201,373
13003,"Fredericton/Fredericton"," 27","Fredericton",94,10,36,2,61,0,203,434
13003,"Fredericton/Fredericton"," 28","Fredericton",15,0,14,0,23,0,52,192
13003,"Fredericton/Fredericton"," 28-1","Fredericton",25,4,26,0,27,0,82,474
13003,"Fredericton/Fredericton"," 29","Fredericton",98,7,55,2,65,0,227,495
13003,"Fredericton/Fredericton"," 30","Fredericton",73,3,46,0,26,0,148,279
