Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Brison,David Morse,Sheila Richardson,Mark Rogers,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12006,"Kings--Hants/Kings--Hants"," 1","Scots Bay",42,29,13,19,2,105,147
12006,"Kings--Hants/Kings--Hants"," 2","Pereaux",72,76,12,44,0,204,363
12006,"Kings--Hants/Kings--Hants"," 3","Canning",43,47,11,21,1,123,272
12006,"Kings--Hants/Kings--Hants"," 3-1","Canning",49,50,7,35,3,144,290
12006,"Kings--Hants/Kings--Hants"," 4","Sheffield Mills",45,66,13,26,1,151,230
12006,"Kings--Hants/Kings--Hants"," 5","Canard",90,94,6,38,0,228,370
12006,"Kings--Hants/Kings--Hants"," 6","Canning",76,59,5,41,0,181,355
12006,"Kings--Hants/Kings--Hants"," 7","Canning",44,54,4,42,2,146,273
12006,"Kings--Hants/Kings--Hants"," 8","Kingsport",96,38,8,46,2,190,329
12006,"Kings--Hants/Kings--Hants"," 9","Port Williams",105,83,14,46,2,250,378
12006,"Kings--Hants/Kings--Hants"," 10","Port Williams",103,69,9,36,1,218,327
12006,"Kings--Hants/Kings--Hants"," 10-1","Port Williams",102,77,0,17,1,197,282
12006,"Kings--Hants/Kings--Hants"," 11","Port Williams",86,86,6,38,0,216,353
12006,"Kings--Hants/Kings--Hants"," 12","Kentville",101,77,8,35,0,221,304
12006,"Kings--Hants/Kings--Hants"," 13","Kentville",66,65,5,62,1,199,520
12006,"Kings--Hants/Kings--Hants"," 14","Kentville",41,74,11,46,1,173,398
12006,"Kings--Hants/Kings--Hants"," 15","Kentville",27,48,3,32,1,111,235
12006,"Kings--Hants/Kings--Hants"," 15-1","Kentville",28,34,5,28,0,95,193
12006,"Kings--Hants/Kings--Hants"," 16","Aldershot",50,40,6,32,0,128,249
12006,"Kings--Hants/Kings--Hants"," 17","Kentville",51,74,7,47,1,180,361
12006,"Kings--Hants/Kings--Hants"," 18","Kentville",27,59,9,42,1,138,272
12006,"Kings--Hants/Kings--Hants"," 19","Aldershot",37,85,9,41,0,172,397
12006,"Kings--Hants/Kings--Hants"," 20","Centreville",49,112,7,56,0,224,431
12006,"Kings--Hants/Kings--Hants"," 21","Centreville",43,89,5,37,2,176,394
12006,"Kings--Hants/Kings--Hants"," 22","Centreville",44,41,4,38,0,127,279
12006,"Kings--Hants/Kings--Hants"," 22-1","Centreville",32,57,3,16,0,108,199
12006,"Kings--Hants/Kings--Hants"," 23","Centreville",65,78,6,35,0,184,321
12006,"Kings--Hants/Kings--Hants"," 24","Glenmont",51,43,18,60,1,173,381
12006,"Kings--Hants/Kings--Hants"," 25","Halls Harbour",61,64,6,27,0,158,304
