Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,France Bergeron,Jean-Pierre Blackburn,Pierre Forest,Claude Patry,Claude Ringuette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24026,"Jonquière--Alma/Jonquière--Alma"," 1","Bégin",5,79,47,47,5,5,188,307
24026,"Jonquière--Alma/Jonquière--Alma"," 2","Saint-David-de-Falardeau",1,37,39,65,3,2,147,302
24026,"Jonquière--Alma/Jonquière--Alma"," 2-1","Saint-David-de-Falardeau",2,63,35,92,7,2,201,333
24026,"Jonquière--Alma/Jonquière--Alma"," 3","Saint-David-de-Falardeau",4,89,52,109,1,3,258,467
24026,"Jonquière--Alma/Jonquière--Alma"," 3-1","Saint-David-de-Falardeau",3,38,23,73,3,0,140,246
24026,"Jonquière--Alma/Jonquière--Alma"," 3-2","Saint-David-de-Falardeau",1,83,37,88,2,2,213,366
24026,"Jonquière--Alma/Jonquière--Alma"," 4","Bégin",5,95,35,72,3,2,212,363
24026,"Jonquière--Alma/Jonquière--Alma"," 5","Saint-David-de-Falardeau",4,97,44,78,4,1,228,419
24026,"Jonquière--Alma/Jonquière--Alma"," 6","Saint-Ambroise",4,48,33,105,3,2,195,376
24026,"Jonquière--Alma/Jonquière--Alma"," 7","Saint-Ambroise",1,67,41,84,5,2,200,351
24026,"Jonquière--Alma/Jonquière--Alma"," 8","Saint-Ambroise",4,95,57,112,4,5,277,467
24026,"Jonquière--Alma/Jonquière--Alma"," 9","Saint-Ambroise",3,101,34,118,2,2,260,446
24026,"Jonquière--Alma/Jonquière--Alma"," 10","Saint-Ambroise",0,85,37,125,5,3,255,413
24026,"Jonquière--Alma/Jonquière--Alma"," 11","Saint-Ambroise",4,109,31,112,5,2,263,436
24026,"Jonquière--Alma/Jonquière--Alma"," 12","Saint-Charles-de-Bourget",5,75,22,94,3,2,201,287
24026,"Jonquière--Alma/Jonquière--Alma"," 13","Saint-Charles-de-Bourget",2,54,41,87,5,1,190,304
24026,"Jonquière--Alma/Jonquière--Alma"," 14","Saint-Ambroise",2,55,34,91,3,1,186,360
24026,"Jonquière--Alma/Jonquière--Alma"," 15","Shipshaw",2,62,26,104,6,4,204,321
24026,"Jonquière--Alma/Jonquière--Alma"," 16","Shipshaw",0,42,23,83,3,1,152,257
24026,"Jonquière--Alma/Jonquière--Alma"," 17","Shipshaw",5,105,51,169,12,0,342,572
24026,"Jonquière--Alma/Jonquière--Alma"," 18","Shipshaw",3,114,36,130,7,3,293,469
24026,"Jonquière--Alma/Jonquière--Alma"," 19","Shipshaw",2,104,51,162,4,10,333,493
24026,"Jonquière--Alma/Jonquière--Alma"," 20","Shipshaw",1,50,31,90,7,1,180,270
24026,"Jonquière--Alma/Jonquière--Alma"," 21","Delisle",3,34,28,43,6,0,114,209
24026,"Jonquière--Alma/Jonquière--Alma"," 21-1","Delisle",2,75,58,89,1,2,227,400
24026,"Jonquière--Alma/Jonquière--Alma"," 22","Delisle",2,80,58,115,5,3,263,418
24026,"Jonquière--Alma/Jonquière--Alma"," 23","Delisle",6,92,55,106,4,6,269,454
24026,"Jonquière--Alma/Jonquière--Alma"," 24","Delisle",6,71,24,93,0,5,199,340
24026,"Jonquière--Alma/Jonquière--Alma"," 25","Delisle",6,70,34,98,0,1,209,375
24026,"Jonquière--Alma/Jonquière--Alma"," 26","Delisle",0,58,63,120,5,3,249,420
24026,"Jonquière--Alma/Jonquière--Alma"," 27","Delisle",4,86,38,120,5,1,254,433
24026,"Jonquière--Alma/Jonquière--Alma"," 28","Alma",3,109,50,125,2,4,293,488
24026,"Jonquière--Alma/Jonquière--Alma"," 29","Alma",3,113,49,125,5,1,296,464
24026,"Jonquière--Alma/Jonquière--Alma"," 30","Alma",1,60,58,121,2,7,249,395
24026,"Jonquière--Alma/Jonquière--Alma"," 31","Alma",5,60,44,66,1,8,184,304
24026,"Jonquière--Alma/Jonquière--Alma"," 32","Alma",1,56,47,81,2,2,189,273
24026,"Jonquière--Alma/Jonquière--Alma"," 33","Alma",4,40,41,76,1,1,163,276
24026,"Jonquière--Alma/Jonquière--Alma"," 34","Alma",2,63,31,58,2,0,156,281
24026,"Jonquière--Alma/Jonquière--Alma"," 35","Alma",3,44,39,83,3,2,174,344
24026,"Jonquière--Alma/Jonquière--Alma"," 36","Alma",4,53,27,76,6,4,170,269
24026,"Jonquière--Alma/Jonquière--Alma"," 37","Alma",0,38,26,58,1,0,123,281
24026,"Jonquière--Alma/Jonquière--Alma"," 37-1","Alma",1,52,39,76,7,3,178,342
24026,"Jonquière--Alma/Jonquière--Alma"," 38","Alma",1,69,24,79,2,1,176,317
24026,"Jonquière--Alma/Jonquière--Alma"," 39","Alma",5,102,39,157,7,1,311,483
24026,"Jonquière--Alma/Jonquière--Alma"," 39-1","Alma",1,48,40,56,5,0,150,223
24026,"Jonquière--Alma/Jonquière--Alma"," 40","Alma",0,40,39,73,2,2,156,362
24026,"Jonquière--Alma/Jonquière--Alma"," 41","Alma",4,42,46,82,5,0,179,288
24026,"Jonquière--Alma/Jonquière--Alma"," 42","Alma",1,42,34,68,5,2,152,335
24026,"Jonquière--Alma/Jonquière--Alma"," 43","Alma",5,35,44,119,7,1,211,371
24026,"Jonquière--Alma/Jonquière--Alma"," 44","Alma",1,43,23,56,3,1,127,282
24026,"Jonquière--Alma/Jonquière--Alma"," 45","Alma",2,34,20,39,4,0,99,290
24026,"Jonquière--Alma/Jonquière--Alma"," 46","Alma",5,40,29,80,4,1,159,337
24026,"Jonquière--Alma/Jonquière--Alma"," 47","Alma",5,51,37,60,1,1,155,320
24026,"Jonquière--Alma/Jonquière--Alma"," 48A","Alma",6,40,39,77,3,0,165,302
24026,"Jonquière--Alma/Jonquière--Alma"," 48B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,33
24026,"Jonquière--Alma/Jonquière--Alma"," 49","Alma",3,42,23,103,3,1,175,283
24026,"Jonquière--Alma/Jonquière--Alma"," 50","Alma",1,45,42,107,1,3,199,307
24026,"Jonquière--Alma/Jonquière--Alma"," 51","Alma",2,93,40,97,3,2,237,429
24026,"Jonquière--Alma/Jonquière--Alma"," 52","Alma",3,52,59,121,2,2,239,395
24026,"Jonquière--Alma/Jonquière--Alma"," 53","Alma",6,66,47,129,3,1,252,408
24026,"Jonquière--Alma/Jonquière--Alma"," 54","Alma",3,34,25,64,6,1,133,274
24026,"Jonquière--Alma/Jonquière--Alma"," 55","Alma",4,27,29,81,3,3,147,365
24026,"Jonquière--Alma/Jonquière--Alma"," 56","Alma",7,45,33,79,4,8,176,380
24026,"Jonquière--Alma/Jonquière--Alma"," 57","Alma",2,59,58,90,0,2,211,390
24026,"Jonquière--Alma/Jonquière--Alma"," 58","Alma",4,34,44,82,3,0,167,322
24026,"Jonquière--Alma/Jonquière--Alma"," 59","Alma",0,45,39,99,5,3,191,333
24026,"Jonquière--Alma/Jonquière--Alma"," 60","Alma",1,56,50,85,6,5,203,318
24026,"Jonquière--Alma/Jonquière--Alma"," 61","Alma",1,44,35,82,2,4,168,340
24026,"Jonquière--Alma/Jonquière--Alma"," 62","Alma",3,63,47,82,6,0,201,367
24026,"Jonquière--Alma/Jonquière--Alma"," 63","Alma",2,100,57,141,3,2,305,449
24026,"Jonquière--Alma/Jonquière--Alma"," 64","Alma",5,71,67,131,1,1,276,415
24026,"Jonquière--Alma/Jonquière--Alma"," 65","Alma",2,79,72,133,5,2,293,439
24026,"Jonquière--Alma/Jonquière--Alma"," 66","Alma",5,55,43,113,3,4,223,347
24026,"Jonquière--Alma/Jonquière--Alma"," 67","Alma",5,82,27,93,7,2,216,390
24026,"Jonquière--Alma/Jonquière--Alma"," 68","Alma",1,65,30,75,2,2,175,366
24026,"Jonquière--Alma/Jonquière--Alma"," 69","Alma",3,81,59,97,2,2,244,458
24026,"Jonquière--Alma/Jonquière--Alma"," 70","Alma",1,61,29,73,1,3,168,304
24026,"Jonquière--Alma/Jonquière--Alma"," 71","Alma",5,87,41,105,1,1,240,380
24026,"Jonquière--Alma/Jonquière--Alma"," 72","Alma",4,75,35,121,4,0,239,361
24026,"Jonquière--Alma/Jonquière--Alma"," 73","Alma",5,88,56,182,7,5,343,511
24026,"Jonquière--Alma/Jonquière--Alma"," 74","Alma",1,86,43,129,4,1,264,405
24026,"Jonquière--Alma/Jonquière--Alma"," 75","Alma",5,86,43,81,4,1,220,344
24026,"Jonquière--Alma/Jonquière--Alma"," 75-1","Alma",2,106,33,123,2,5,271,462
