Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blanchard,Sheila Brown-Eckersley,Devinder Shory,Colette Singh,Cam Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48004,"Calgary Northeast/Calgary-Nord-Est"," 30","Calgary",2,6,105,9,111,0,233,629
48004,"Calgary Northeast/Calgary-Nord-Est"," 31","Calgary",0,9,66,9,75,0,159,404
48004,"Calgary Northeast/Calgary-Nord-Est"," 31-1","Calgary",1,6,73,13,98,2,193,411
48004,"Calgary Northeast/Calgary-Nord-Est"," 32","Calgary",0,6,69,14,30,2,121,275
48004,"Calgary Northeast/Calgary-Nord-Est"," 33","Calgary",0,3,70,13,63,0,149,328
48004,"Calgary Northeast/Calgary-Nord-Est"," 34","Calgary",1,11,75,9,57,2,155,314
48004,"Calgary Northeast/Calgary-Nord-Est"," 35","Calgary",2,7,85,10,67,0,171,440
48004,"Calgary Northeast/Calgary-Nord-Est"," 35-1","Calgary",2,2,62,18,42,1,127,281
48004,"Calgary Northeast/Calgary-Nord-Est"," 36","Calgary",1,12,92,24,73,2,204,477
48004,"Calgary Northeast/Calgary-Nord-Est"," 37","Calgary",0,6,77,15,71,2,171,414
48004,"Calgary Northeast/Calgary-Nord-Est"," 38","Calgary",3,12,84,18,74,1,192,458
48004,"Calgary Northeast/Calgary-Nord-Est"," 39","Calgary",1,8,69,3,43,1,125,368
48004,"Calgary Northeast/Calgary-Nord-Est"," 40","Calgary",0,5,57,9,43,0,114,332
48004,"Calgary Northeast/Calgary-Nord-Est"," 41","Calgary",0,4,67,12,21,0,104,287
48004,"Calgary Northeast/Calgary-Nord-Est"," 42","Calgary",0,4,66,18,46,0,134,375
48004,"Calgary Northeast/Calgary-Nord-Est"," 43","Calgary",1,5,85,20,27,0,138,416
48004,"Calgary Northeast/Calgary-Nord-Est"," 44","Calgary",0,4,81,8,47,1,141,412
48004,"Calgary Northeast/Calgary-Nord-Est"," 45","Calgary",0,6,101,27,37,0,171,421
48004,"Calgary Northeast/Calgary-Nord-Est"," 46","Calgary",3,5,72,14,74,1,169,430
48004,"Calgary Northeast/Calgary-Nord-Est"," 46-1","Calgary",0,5,93,28,85,3,214,630
48004,"Calgary Northeast/Calgary-Nord-Est"," 47","Calgary",1,1,67,13,19,1,102,325
48004,"Calgary Northeast/Calgary-Nord-Est"," 48","Calgary",1,4,130,18,50,0,203,542
48004,"Calgary Northeast/Calgary-Nord-Est"," 49","Calgary",0,4,72,19,39,1,135,352
48004,"Calgary Northeast/Calgary-Nord-Est"," 49-1","Calgary",0,13,114,24,53,2,206,593
48004,"Calgary Northeast/Calgary-Nord-Est"," 49-2","Calgary",0,5,59,18,34,0,116,274
48004,"Calgary Northeast/Calgary-Nord-Est"," 49-3A","Calgary",1,5,66,19,128,0,219,539
48004,"Calgary Northeast/Calgary-Nord-Est"," 49-3B","Calgary",0,4,58,7,93,1,163,453
48004,"Calgary Northeast/Calgary-Nord-Est"," 49-4A","Calgary",1,2,44,8,118,2,175,497
48004,"Calgary Northeast/Calgary-Nord-Est"," 49-4B","Calgary",0,3,52,12,75,1,143,424
48004,"Calgary Northeast/Calgary-Nord-Est"," 50","Calgary",1,2,99,8,77,0,187,545
