Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lawrence Cannon,Cindy Duncan McMillan,Benoit Legros,Louis-Philippe Mayrand,Mathieu Ravignat,Maude Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24050,"Pontiac/Pontiac"," 1","Lac-Rapide",0,0,0,0,0,0,0,0,87
24050,"Pontiac/Pontiac"," 2","Montcerf",71,13,0,1,85,40,2,212,401
24050,"Pontiac/Pontiac"," 3","Lytton",29,7,0,1,45,18,1,101,211
24050,"Pontiac/Pontiac"," 4","Grand-Remous",39,12,0,4,90,28,2,175,496
24050,"Pontiac/Pontiac"," 5","Grand-Remous",20,4,0,2,26,19,0,71,162
24050,"Pontiac/Pontiac"," 6","Grand-Remous",57,18,1,3,62,37,7,185,375
24050,"Pontiac/Pontiac"," 7","Aumond",73,13,0,4,81,42,0,213,429
24050,"Pontiac/Pontiac"," 7-1","Aumond",20,6,0,1,45,7,0,79,156
24050,"Pontiac/Pontiac"," 8","Bois-Franc",84,6,1,2,80,25,6,204,322
24050,"Pontiac/Pontiac"," 9","Egan-Sud",79,13,0,0,79,35,3,209,418
24050,"Pontiac/Pontiac"," 10","Kitigan Zibi",10,19,0,0,65,1,1,96,768
24050,"Pontiac/Pontiac"," 11","Déléage",98,11,2,4,77,27,1,220,479
24050,"Pontiac/Pontiac"," 12","Déléage",50,11,0,1,46,22,3,133,305
24050,"Pontiac/Pontiac"," 13","Déléage",59,14,2,5,84,23,3,190,396
24050,"Pontiac/Pontiac"," 14","Déléage",61,12,0,2,65,27,1,168,419
24050,"Pontiac/Pontiac"," 15","Sainte-Thérèse-de-la-Gatineau",85,21,1,2,89,35,2,235,430
24050,"Pontiac/Pontiac"," 16","Messines",66,15,0,0,86,40,8,215,486
24050,"Pontiac/Pontiac"," 17","Messines",80,9,0,2,72,21,3,187,390
24050,"Pontiac/Pontiac"," 18","Messines",80,22,2,4,103,36,5,252,456
24050,"Pontiac/Pontiac"," 19","Blue Sea",26,11,0,5,58,15,1,116,192
24050,"Pontiac/Pontiac"," 19-1","Blue Sea",66,17,1,3,82,37,0,206,383
24050,"Pontiac/Pontiac"," 20","Bouchette",78,7,2,1,55,21,3,167,325
24050,"Pontiac/Pontiac"," 21","Bouchette",49,7,2,0,63,24,1,146,271
