Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tom Lukiwski,Monica Lysack,Billy Patterson,Brian Sklar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 1","Davidson Rural",232,5,3,40,0,280,376
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 2","Davidson",134,13,5,36,0,188,284
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 3","Davidson",147,7,4,37,0,195,286
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 4","Davidson",105,5,1,7,0,118,183
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 5","Craik Rural",135,0,3,20,0,158,279
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 6","Craik",148,10,6,46,1,211,347
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 7","Chamberlain",101,5,4,8,0,118,147
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 8","Simpson",153,4,1,39,0,197,305
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 9","Imperial Rural",114,5,4,25,0,148,291
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 10","Imperial",142,5,3,30,0,180,249
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 11","Holdfast",115,12,4,18,1,150,230
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 12","Holdfast",Void/Supprimé,,,,,,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 13","Dilke",139,6,4,38,0,187,245
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 14","Nokomis Rural",79,2,3,24,1,109,162
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 15","Nokomis",150,8,1,55,0,214,292
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 16","Semans Rural",104,4,0,63,0,171,231
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 16-1","Semans",74,7,3,30,0,114,168
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 17","Govan",136,7,7,49,1,200,299
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 18","Govan",Void/Supprimé,,,,,,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 19","Duval",114,5,6,22,0,147,219
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 20","Havelock",Void/Supprimé,,,,,,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 21","Strasbourg",117,5,1,26,0,149,282
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 22","Strasbourg",95,6,5,26,1,133,249
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 23","Strasbourg Rural",111,9,5,43,1,169,308
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 24","Bulyea",155,5,13,56,0,229,330
