Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bernard DeLorme,Matthew Dubé,Nathalie Ferland Drolet,Nicholas Lescarbeau,Yves Lessard,Jean-François Mercier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24012,"Chambly--Borduas/Chambly--Borduas"," 1","Saint-Mathieu-de-Beloeil",13,117,23,7,72,34,4,270,415
24012,"Chambly--Borduas/Chambly--Borduas"," 2A","Saint-Mathieu-de-Beloeil",16,121,25,7,86,23,3,281,432
24012,"Chambly--Borduas/Chambly--Borduas"," 2B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,7
24012,"Chambly--Borduas/Chambly--Borduas"," 3","Saint-Mathieu-de-Beloeil",21,136,28,6,76,23,1,291,438
24012,"Chambly--Borduas/Chambly--Borduas"," 4","Saint-Mathieu-de-Beloeil",19,107,26,0,61,29,5,247,402
24012,"Chambly--Borduas/Chambly--Borduas"," 4-1","Saint-Mathieu-de-Beloeil",14,98,10,3,56,25,2,208,354
24012,"Chambly--Borduas/Chambly--Borduas"," 5","McMasterville",14,110,21,3,78,25,2,253,382
24012,"Chambly--Borduas/Chambly--Borduas"," 6","McMasterville",16,107,22,0,55,20,4,224,344
24012,"Chambly--Borduas/Chambly--Borduas"," 7","McMasterville",14,180,16,5,88,27,3,333,498
24012,"Chambly--Borduas/Chambly--Borduas"," 8","McMasterville",13,109,14,1,94,30,1,262,434
24012,"Chambly--Borduas/Chambly--Borduas"," 8-1","McMasterville",10,88,7,8,54,30,5,202,353
24012,"Chambly--Borduas/Chambly--Borduas"," 8-2","McMasterville",8,100,5,2,61,25,0,201,359
24012,"Chambly--Borduas/Chambly--Borduas"," 8-3","McMasterville",7,100,16,2,62,13,3,203,376
24012,"Chambly--Borduas/Chambly--Borduas"," 9","McMasterville",15,104,21,3,91,26,5,265,450
24012,"Chambly--Borduas/Chambly--Borduas"," 10","McMasterville",9,80,4,4,53,29,2,181,419
24012,"Chambly--Borduas/Chambly--Borduas"," 11","McMasterville",5,35,1,3,14,3,0,61,139
24012,"Chambly--Borduas/Chambly--Borduas"," 11-1","McMasterville",12,84,10,2,57,31,5,201,381
