Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nancy Brassard-Fortin,Roger Fleury,Dino Lemay,Marcel Proulx,Nycole Turmel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24023,"Hull--Aylmer/Hull--Aylmer"," 1","Aylmer",42,5,11,48,138,0,244,436
24023,"Hull--Aylmer/Hull--Aylmer"," 2","Aylmer",33,5,15,30,131,5,219,365
24023,"Hull--Aylmer/Hull--Aylmer"," 3","Aylmer",39,4,18,42,175,0,278,507
24023,"Hull--Aylmer/Hull--Aylmer"," 4","Aylmer",25,2,16,42,155,0,240,432
24023,"Hull--Aylmer/Hull--Aylmer"," 4-1A","Aylmer",18,3,11,46,181,0,259,454
24023,"Hull--Aylmer/Hull--Aylmer"," 4-1B","Aylmer",23,1,19,39,159,1,242,384
24023,"Hull--Aylmer/Hull--Aylmer"," 4-2A","Aylmer",10,5,19,33,171,1,239,363
24023,"Hull--Aylmer/Hull--Aylmer"," 4-2B","Aylmer",18,4,21,45,173,0,261,445
24023,"Hull--Aylmer/Hull--Aylmer"," 4-3A","Aylmer",33,3,29,43,187,0,295,495
24023,"Hull--Aylmer/Hull--Aylmer"," 4-3B","Aylmer",19,1,21,60,195,2,298,478
24023,"Hull--Aylmer/Hull--Aylmer"," 4-3C","Aylmer",24,6,15,35,149,0,229,437
24023,"Hull--Aylmer/Hull--Aylmer"," 5A","Aylmer",20,3,11,17,106,1,158,306
24023,"Hull--Aylmer/Hull--Aylmer"," 5B","Aylmer",28,2,20,37,80,0,167,333
24023,"Hull--Aylmer/Hull--Aylmer"," 5-1A","Aylmer",26,5,12,47,201,2,293,441
24023,"Hull--Aylmer/Hull--Aylmer"," 5-1B","Aylmer",21,4,26,44,194,1,290,480
24023,"Hull--Aylmer/Hull--Aylmer"," 6","Aylmer",55,4,13,56,198,1,327,531
24023,"Hull--Aylmer/Hull--Aylmer"," 6-1A","Aylmer",41,5,17,84,238,1,386,638
24023,"Hull--Aylmer/Hull--Aylmer"," 6-1B","Aylmer",51,1,17,57,133,2,261,469
24023,"Hull--Aylmer/Hull--Aylmer"," 7","Aylmer",42,5,17,67,210,6,347,597
24023,"Hull--Aylmer/Hull--Aylmer"," 8","Aylmer",46,5,20,65,176,3,315,536
24023,"Hull--Aylmer/Hull--Aylmer"," 9A","Aylmer",21,3,13,33,159,0,229,405
24023,"Hull--Aylmer/Hull--Aylmer"," 9B","Aylmer",21,0,14,14,136,1,186,315
24023,"Hull--Aylmer/Hull--Aylmer"," 10","Aylmer",37,2,14,65,233,0,351,584
24023,"Hull--Aylmer/Hull--Aylmer"," 11","Aylmer",31,2,20,50,140,1,244,408
24023,"Hull--Aylmer/Hull--Aylmer"," 12A","Aylmer",18,2,3,25,69,0,117,287
24023,"Hull--Aylmer/Hull--Aylmer"," 12B","Aylmer",28,1,11,36,120,1,197,394
24023,"Hull--Aylmer/Hull--Aylmer"," 12-1","Aylmer",44,3,17,98,197,2,361,589
24023,"Hull--Aylmer/Hull--Aylmer"," 12-2","Aylmer",26,2,10,40,129,5,212,397
