Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Clary,Ralph Goodale,Ian Shields,Marc Spooner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47013,"Wascana/Wascana"," 1","Regina",7,64,29,56,0,156,439
47013,"Wascana/Wascana"," 2","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 3","Regina",9,65,58,80,2,214,468
47013,"Wascana/Wascana"," 4","Regina",4,19,22,39,1,85,317
47013,"Wascana/Wascana"," 5","Regina",5,29,21,55,0,110,323
47013,"Wascana/Wascana"," 6","Regina",6,66,38,59,0,169,347
47013,"Wascana/Wascana"," 7","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 8","Regina",6,99,48,95,2,250,478
47013,"Wascana/Wascana"," 9","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 10","Regina",6,46,32,54,0,138,271
47013,"Wascana/Wascana"," 11","Regina",25,67,14,46,0,152,329
47013,"Wascana/Wascana"," 12","Regina",6,104,73,96,5,284,412
47013,"Wascana/Wascana"," 13","Regina",5,91,39,56,2,193,359
47013,"Wascana/Wascana"," 14","Regina",5,51,30,51,0,137,268
47013,"Wascana/Wascana"," 15","Regina",3,137,71,71,1,283,488
47013,"Wascana/Wascana"," 16","Regina",7,65,59,49,2,182,369
47013,"Wascana/Wascana"," 17A","Regina",4,71,25,52,0,152,280
47013,"Wascana/Wascana"," 17B","Mobile poll/Bureau itinérant",Merged with No. 506B/Fusionné avec le nº 506B,,,,,,69
47013,"Wascana/Wascana"," 18","Regina",7,87,36,31,1,162,280
47013,"Wascana/Wascana"," 18-1","Regina",6,58,52,54,0,170,339
47013,"Wascana/Wascana"," 18-2","Regina",3,45,35,28,0,111,194
47013,"Wascana/Wascana"," 19","Regina",3,81,59,39,0,182,332
47013,"Wascana/Wascana"," 20","Regina",7,80,69,46,0,202,320
47013,"Wascana/Wascana"," 21","Regina",3,49,71,45,0,168,348
47013,"Wascana/Wascana"," 22","Regina",4,64,64,62,0,194,366
47013,"Wascana/Wascana"," 23","Regina",9,61,71,50,0,191,354
47013,"Wascana/Wascana"," 24","Regina",4,56,81,48,0,189,343
47013,"Wascana/Wascana"," 25","Regina",5,42,93,58,0,198,383
47013,"Wascana/Wascana"," 26","Regina",4,50,65,75,1,195,328
47013,"Wascana/Wascana"," 27","Regina",16,52,70,54,2,194,383
47013,"Wascana/Wascana"," 28","Regina",0,50,83,53,0,186,348
47013,"Wascana/Wascana"," 29","Regina",2,57,84,53,1,197,366
47013,"Wascana/Wascana"," 29-1","Regina",8,41,57,37,1,144,299
47013,"Wascana/Wascana"," 30A","Regina",3,38,54,35,1,131,276
47013,"Wascana/Wascana"," 30B","Mobile poll/Bureau itinérant",Merged with No. 506A/Fusionné avec le nº 506A,,,,,,67
47013,"Wascana/Wascana"," 31","Regina",0,57,52,43,0,152,320
47013,"Wascana/Wascana"," 32","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 33","Regina",5,68,68,51,0,192,315
47013,"Wascana/Wascana"," 34","Regina",5,59,86,55,0,205,351
47013,"Wascana/Wascana"," 34-1","Regina",2,31,22,46,0,101,267
47013,"Wascana/Wascana"," 35","Regina",3,52,76,55,0,186,339
47013,"Wascana/Wascana"," 36","Regina",3,95,93,55,0,246,395
47013,"Wascana/Wascana"," 37","Regina",5,71,106,44,2,228,421
47013,"Wascana/Wascana"," 38","Regina",11,100,129,54,0,294,460
47013,"Wascana/Wascana"," 39","Regina",6,101,117,47,0,271,471
47013,"Wascana/Wascana"," 40","Regina",3,44,75,52,0,174,308
47013,"Wascana/Wascana"," 40-1","Regina",1,50,91,43,0,185,311
47013,"Wascana/Wascana"," 41","Regina",7,70,57,58,0,192,371
47013,"Wascana/Wascana"," 42","Regina",7,50,83,42,2,184,341
47013,"Wascana/Wascana"," 43","Regina",6,82,113,64,0,265,424
47013,"Wascana/Wascana"," 44","Regina",6,69,84,32,0,191,295
47013,"Wascana/Wascana"," 44-1","Regina",9,73,113,41,0,236,403
47013,"Wascana/Wascana"," 45","Regina",7,53,54,45,0,159,289
