Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Françoise Boivin,Jennifer Gearey,Steve MacKinnon,Jonathan Meijer,Richard Nadeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24020,"Gatineau/Gatineau"," 1","Gatineau",159,31,31,1,51,9,282,503
24020,"Gatineau/Gatineau"," 2","Gatineau",172,30,32,1,26,0,261,490
24020,"Gatineau/Gatineau"," 3A","Gatineau",149,24,29,0,21,3,226,415
24020,"Gatineau/Gatineau"," 3B","Gatineau",159,33,34,4,46,1,277,479
24020,"Gatineau/Gatineau"," 4","Gatineau",180,18,29,0,42,0,269,532
24020,"Gatineau/Gatineau"," 5A","Gatineau",137,7,32,1,27,1,205,312
24020,"Gatineau/Gatineau"," 5B","Gatineau",134,11,33,2,41,1,222,337
24020,"Gatineau/Gatineau"," 6","Gatineau",125,17,32,4,44,1,223,330
24020,"Gatineau/Gatineau"," 7","Gatineau",101,9,28,1,53,1,193,291
24020,"Gatineau/Gatineau"," 8","Gatineau",144,15,21,6,49,1,236,330
24020,"Gatineau/Gatineau"," 9","Gatineau",140,14,40,2,41,1,238,376
24020,"Gatineau/Gatineau"," 10","Gatineau",176,10,62,1,40,1,290,413
24020,"Gatineau/Gatineau"," 11","Gatineau",262,20,51,3,55,2,393,660
24020,"Gatineau/Gatineau"," 12","Gatineau",160,20,59,0,31,2,272,424
24020,"Gatineau/Gatineau"," 13","Gatineau",213,23,44,1,40,1,322,488
24020,"Gatineau/Gatineau"," 14","Gatineau",144,18,47,5,27,0,241,395
24020,"Gatineau/Gatineau"," 15","Gatineau",94,18,23,2,26,0,163,300
24020,"Gatineau/Gatineau"," 16","Gatineau",192,25,73,5,46,1,342,550
24020,"Gatineau/Gatineau"," 17","Gatineau",91,21,40,4,30,2,188,332
24020,"Gatineau/Gatineau"," 18","Gatineau",105,23,51,3,28,1,211,309
24020,"Gatineau/Gatineau"," 19","Gatineau",105,7,56,0,34,1,203,316
24020,"Gatineau/Gatineau"," 20","Gatineau",123,11,52,0,22,0,208,347
24020,"Gatineau/Gatineau"," 21","Gatineau",120,5,31,8,38,0,202,290
24020,"Gatineau/Gatineau"," 22","Gatineau",128,16,33,3,29,0,209,338
24020,"Gatineau/Gatineau"," 23","Gatineau",132,18,71,2,28,0,251,386
24020,"Gatineau/Gatineau"," 24","Gatineau",195,23,65,0,45,0,328,569
24020,"Gatineau/Gatineau"," 25","Gatineau",145,10,26,6,38,1,226,354
24020,"Gatineau/Gatineau"," 26","Gatineau",121,8,29,1,20,4,183,351
24020,"Gatineau/Gatineau"," 27","Gatineau",141,20,25,1,29,1,217,389
24020,"Gatineau/Gatineau"," 28","Gatineau",148,28,34,3,30,5,248,363
24020,"Gatineau/Gatineau"," 29","Gatineau",142,13,34,3,33,1,226,384
24020,"Gatineau/Gatineau"," 30","Gatineau",104,19,90,2,28,2,245,354
24020,"Gatineau/Gatineau"," 31","Gatineau",158,31,85,1,36,1,312,593
24020,"Gatineau/Gatineau"," 32","Gatineau",116,24,17,3,32,3,195,376
24020,"Gatineau/Gatineau"," 33","Gatineau",134,17,32,7,21,2,213,406
24020,"Gatineau/Gatineau"," 34","Gatineau",121,13,18,0,16,1,169,293
24020,"Gatineau/Gatineau"," 35","Gatineau",123,26,22,3,23,1,198,378
24020,"Gatineau/Gatineau"," 36","Gatineau",132,18,35,4,26,2,217,362
24020,"Gatineau/Gatineau"," 37","Gatineau",108,25,31,2,13,0,179,327
24020,"Gatineau/Gatineau"," 38","Gatineau",90,15,18,0,19,4,146,330
24020,"Gatineau/Gatineau"," 39","Gatineau",83,10,25,4,33,1,156,332
