Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bev Hodgson,Harold Jonker,Heather Kelley,Rob Nicholson,Shawn Willick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35054,"Niagara Falls/Niagara Falls"," 1","Niagara-on-the-Lake",76,0,34,159,10,0,279,482
35054,"Niagara Falls/Niagara Falls"," 2","Niagara-on-the-Lake",49,0,36,123,7,0,215,359
35054,"Niagara Falls/Niagara Falls"," 3","Niagara-on-the-Lake",43,0,25,97,9,0,174,372
35054,"Niagara Falls/Niagara Falls"," 4","Niagara-on-the-Lake",45,1,34,86,5,0,171,287
35054,"Niagara Falls/Niagara Falls"," 4-1","Niagara-on-the-Lake",49,0,35,119,6,0,209,358
35054,"Niagara Falls/Niagara Falls"," 5","Niagara-on-the-Lake",64,0,32,108,5,1,210,390
35054,"Niagara Falls/Niagara Falls"," 6","Niagara-on-the-Lake",44,0,36,78,6,0,164,313
35054,"Niagara Falls/Niagara Falls"," 6-1","Niagara-on-the-Lake",61,1,21,107,8,1,199,387
35054,"Niagara Falls/Niagara Falls"," 7","Niagara-on-the-Lake",18,3,34,90,6,0,151,237
35054,"Niagara Falls/Niagara Falls"," 8","Niagara-on-the-Lake",54,3,37,186,20,0,300,533
35054,"Niagara Falls/Niagara Falls"," 9","Niagara-on-the-Lake",61,0,28,120,5,0,214,339
35054,"Niagara Falls/Niagara Falls"," 10","Niagara-on-the-Lake",57,1,47,73,20,0,198,358
35054,"Niagara Falls/Niagara Falls"," 11","Niagara-on-the-Lake",29,0,40,115,14,1,199,356
35054,"Niagara Falls/Niagara Falls"," 12","Niagara-on-the-Lake",28,0,39,95,13,0,175,293
35054,"Niagara Falls/Niagara Falls"," 13","Niagara-on-the-Lake",41,3,53,131,5,0,233,386
35054,"Niagara Falls/Niagara Falls"," 13-1","Niagara-on-the-Lake",23,1,69,122,12,0,227,514
35054,"Niagara Falls/Niagara Falls"," 14","Niagara-on-the-Lake",28,4,30,158,10,0,230,403
35054,"Niagara Falls/Niagara Falls"," 15","Niagara-on-the-Lake",70,1,32,192,8,1,304,582
35054,"Niagara Falls/Niagara Falls"," 16","Niagara-on-the-Lake",32,0,30,78,5,2,147,274
35054,"Niagara Falls/Niagara Falls"," 17","Niagara-on-the-Lake",46,1,38,170,10,0,265,520
35054,"Niagara Falls/Niagara Falls"," 18","Niagara-on-the-Lake",45,3,27,157,11,0,243,492
35054,"Niagara Falls/Niagara Falls"," 18-1A","Niagara-on-the-Lake",28,0,29,127,5,3,192,372
35054,"Niagara Falls/Niagara Falls"," 18-1B","Niagara-on-the-Lake",33,0,45,163,12,0,253,421
35054,"Niagara Falls/Niagara Falls"," 19","Niagara-on-the-Lake",52,3,42,150,9,2,258,436
35054,"Niagara Falls/Niagara Falls"," 20","Niagara-on-the-Lake",20,4,30,115,5,1,175,363
35054,"Niagara Falls/Niagara Falls"," 21","Niagara-on-the-Lake",28,2,42,150,6,0,228,395
35054,"Niagara Falls/Niagara Falls"," 22","Niagara-on-the-Lake",45,1,39,138,5,1,229,400
35054,"Niagara Falls/Niagara Falls"," 23","Niagara-on-the-Lake",34,0,40,156,8,0,238,403
35054,"Niagara Falls/Niagara Falls"," 24","Niagara-on-the-Lake",38,0,35,155,9,0,237,393
35054,"Niagara Falls/Niagara Falls"," 25","Niagara-on-the-Lake",60,0,49,136,15,2,262,437
35054,"Niagara Falls/Niagara Falls"," 26","Niagara Falls",28,0,54,61,5,1,149,317
35054,"Niagara Falls/Niagara Falls"," 27","Niagara Falls",38,0,30,173,5,3,249,441
35054,"Niagara Falls/Niagara Falls"," 28","Niagara Falls",51,1,63,156,5,1,277,492
35054,"Niagara Falls/Niagara Falls"," 29","Niagara Falls",29,0,31,134,7,0,201,348
35054,"Niagara Falls/Niagara Falls"," 30","Niagara Falls",52,2,55,131,10,0,250,520
35054,"Niagara Falls/Niagara Falls"," 31","Niagara Falls",45,0,31,89,7,2,174,341
35054,"Niagara Falls/Niagara Falls"," 32","Niagara Falls",59,2,42,139,12,1,255,427
35054,"Niagara Falls/Niagara Falls"," 33","Niagara Falls",46,0,54,127,7,0,234,439
35054,"Niagara Falls/Niagara Falls"," 34","Niagara Falls",61,0,34,104,4,2,205,371
35054,"Niagara Falls/Niagara Falls"," 35","Niagara Falls",52,0,41,118,13,0,224,386
35054,"Niagara Falls/Niagara Falls"," 36","Niagara Falls",40,0,53,114,3,3,213,399
35054,"Niagara Falls/Niagara Falls"," 37","Niagara Falls",29,0,21,141,3,1,195,396
35054,"Niagara Falls/Niagara Falls"," 38","Niagara Falls",66,4,48,163,8,1,290,524
35054,"Niagara Falls/Niagara Falls"," 39","Niagara Falls",84,2,51,122,5,4,268,523
35054,"Niagara Falls/Niagara Falls"," 40","Niagara Falls",47,0,37,84,9,4,181,389
35054,"Niagara Falls/Niagara Falls"," 41","Niagara Falls",34,1,55,83,10,4,187,329
35054,"Niagara Falls/Niagara Falls"," 42","Niagara Falls",48,1,39,109,2,4,203,354
35054,"Niagara Falls/Niagara Falls"," 43","Niagara Falls",20,1,40,93,7,0,161,344
35054,"Niagara Falls/Niagara Falls"," 44","Niagara Falls",33,0,45,58,4,1,141,300
