Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Roma Ahi,Libby Davies,Anne Jamieson,Douglas Roy,Irene C. Yatco,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59030,"Vancouver East/Vancouver-Est"," 120","Vancouver",18,129,4,22,31,0,204,430
59030,"Vancouver East/Vancouver-Est"," 121","Vancouver",20,184,1,31,47,0,283,493
59030,"Vancouver East/Vancouver-Est"," 122","Vancouver",26,138,0,30,22,1,217,427
59030,"Vancouver East/Vancouver-Est"," 123","Vancouver",26,126,2,30,35,0,219,454
59030,"Vancouver East/Vancouver-Est"," 124","Vancouver",23,124,2,14,38,1,202,490
59030,"Vancouver East/Vancouver-Est"," 125","Vancouver",27,174,0,17,46,0,264,537
59030,"Vancouver East/Vancouver-Est"," 126","Vancouver",24,198,2,26,37,0,287,543
59030,"Vancouver East/Vancouver-Est"," 127","Vancouver",20,130,0,24,31,0,205,393
59030,"Vancouver East/Vancouver-Est"," 128","Vancouver",10,192,2,21,16,2,243,449
59030,"Vancouver East/Vancouver-Est"," 129","Vancouver",22,178,4,21,33,3,261,446
59030,"Vancouver East/Vancouver-Est"," 130","Vancouver",26,167,2,18,49,1,263,445
59030,"Vancouver East/Vancouver-Est"," 130-1","Vancouver",32,118,1,12,58,3,224,428
59030,"Vancouver East/Vancouver-Est"," 131","Vancouver",20,165,2,17,63,0,267,452
59030,"Vancouver East/Vancouver-Est"," 132","Vancouver",34,119,2,8,78,2,243,484
59030,"Vancouver East/Vancouver-Est"," 133","Vancouver",34,187,2,31,42,1,297,483
59030,"Vancouver East/Vancouver-Est"," 134","Vancouver",25,149,5,15,59,2,255,479
59030,"Vancouver East/Vancouver-Est"," 135","Vancouver",37,149,4,7,94,2,293,548
59030,"Vancouver East/Vancouver-Est"," 136","Vancouver",24,178,1,45,44,1,293,509
59030,"Vancouver East/Vancouver-Est"," 137","Vancouver",22,134,2,14,92,2,266,538
59030,"Vancouver East/Vancouver-Est"," 138","Vancouver",16,127,2,16,82,0,243,496
59030,"Vancouver East/Vancouver-Est"," 139","Vancouver",18,172,0,19,20,0,229,440
59030,"Vancouver East/Vancouver-Est"," 140","Vancouver",28,140,3,20,56,1,248,475
59030,"Vancouver East/Vancouver-Est"," 141","Vancouver",25,119,0,15,86,1,246,516
59030,"Vancouver East/Vancouver-Est"," 141-1","Vancouver",8,88,3,2,72,1,174,350
59030,"Vancouver East/Vancouver-Est"," 142","Vancouver",14,139,2,17,24,1,197,422
59030,"Vancouver East/Vancouver-Est"," 143","Vancouver",20,188,0,18,41,0,267,501
59030,"Vancouver East/Vancouver-Est"," 144","Vancouver",17,182,0,13,51,2,265,515
59030,"Vancouver East/Vancouver-Est"," 145","Vancouver",33,139,2,11,83,4,272,571
59030,"Vancouver East/Vancouver-Est"," 146","Vancouver",22,108,1,6,49,12,198,414
59030,"Vancouver East/Vancouver-Est"," 147","Vancouver",19,141,0,15,48,3,226,439
59030,"Vancouver East/Vancouver-Est"," 148","Vancouver",34,169,0,22,48,5,278,599
59030,"Vancouver East/Vancouver-Est"," 149","Vancouver",30,137,0,5,70,2,244,483
59030,"Vancouver East/Vancouver-Est"," 150","Vancouver",30,108,2,5,81,6,232,462
59030,"Vancouver East/Vancouver-Est"," 151","Vancouver",11,125,0,3,71,1,211,502
59030,"Vancouver East/Vancouver-Est"," 151-1","Vancouver",18,82,0,3,47,3,153,442
59030,"Vancouver East/Vancouver-Est"," 152","Vancouver",21,158,0,12,54,2,247,462
59030,"Vancouver East/Vancouver-Est"," 153","Vancouver",16,134,0,12,96,2,260,498
59030,"Vancouver East/Vancouver-Est"," 154","Vancouver",39,124,2,8,84,4,261,533
59030,"Vancouver East/Vancouver-Est"," 155","Vancouver",35,105,0,14,105,2,261,546
59030,"Vancouver East/Vancouver-Est"," 156","Vancouver",26,120,2,9,65,0,222,411
59030,"Vancouver East/Vancouver-Est"," 157","Vancouver",26,74,1,9,59,0,169,437
59030,"Vancouver East/Vancouver-Est"," 157-1","Vancouver",27,86,0,11,55,2,181,401
59030,"Vancouver East/Vancouver-Est"," 158","Vancouver",17,103,0,10,67,1,198,491
59030,"Vancouver East/Vancouver-Est"," 159","Vancouver",30,115,3,13,72,0,233,516
59030,"Vancouver East/Vancouver-Est"," 160","Vancouver",24,118,0,3,94,0,239,544
59030,"Vancouver East/Vancouver-Est"," 161","Vancouver",16,54,0,8,44,1,123,242
59030,"Vancouver East/Vancouver-Est"," 162","Vancouver",16,99,1,8,39,4,167,355
59030,"Vancouver East/Vancouver-Est"," 163","Vancouver",27,102,1,6,60,2,198,465
59030,"Vancouver East/Vancouver-Est"," 164","Vancouver",13,80,2,1,67,1,164,457
59030,"Vancouver East/Vancouver-Est"," 165","Vancouver",15,156,3,9,60,2,245,565
59030,"Vancouver East/Vancouver-Est"," 500","Mobile poll/Bureau itinérant",24,57,0,4,59,5,149,114
59030,"Vancouver East/Vancouver-Est"," 501","Mobile poll/Bureau itinérant",27,57,1,1,45,19,150,230
59030,"Vancouver East/Vancouver-Est"," 502","Mobile poll/Bureau itinérant",12,43,1,0,12,0,68,97
59030,"Vancouver East/Vancouver-Est"," 503","Mobile poll/Bureau itinérant",12,44,1,3,14,2,76,125
59030,"Vancouver East/Vancouver-Est"," 504","Mobile poll/Bureau itinérant",12,27,0,4,36,2,81,208
59030,"Vancouver East/Vancouver-Est"," 505A","Mobile poll/Bureau itinérant",13,65,3,4,56,1,142,246
59030,"Vancouver East/Vancouver-Est"," 505B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,37
59030,"Vancouver East/Vancouver-Est"," 506","Mobile poll/Bureau itinérant",16,16,1,0,42,1,76,57
59030,"Vancouver East/Vancouver-Est"," 600","Vancouver",60,305,4,45,88,8,510,
59030,"Vancouver East/Vancouver-Est"," 601","Vancouver",49,278,3,26,60,3,419,
59030,"Vancouver East/Vancouver-Est"," 602","Vancouver",44,420,1,44,44,3,556,
59030,"Vancouver East/Vancouver-Est"," 603","Vancouver",9,173,1,27,24,0,234,
59030,"Vancouver East/Vancouver-Est"," 604","Vancouver",28,191,1,21,82,0,323,
59030,"Vancouver East/Vancouver-Est"," 605","Vancouver",20,130,2,12,81,0,245,
59030,"Vancouver East/Vancouver-Est"," 606","Vancouver",15,157,1,13,31,0,217,
59030,"Vancouver East/Vancouver-Est"," 607","Vancouver",45,317,2,37,72,2,475,
59030,"Vancouver East/Vancouver-Est"," 608","Vancouver",30,249,0,30,59,1,369,
59030,"Vancouver East/Vancouver-Est"," 609","Vancouver",28,213,5,29,46,2,323,
59030,"Vancouver East/Vancouver-Est"," 610","Vancouver",26,212,4,37,21,0,300,
59030,"Vancouver East/Vancouver-Est"," 611","Vancouver",36,99,0,11,33,1,180,
59030,"Vancouver East/Vancouver-Est"," 612","Vancouver",21,53,2,7,42,2,127,
59030,"Vancouver East/Vancouver-Est"," 613","Vancouver",19,80,0,12,50,1,162,
59030,"Vancouver East/Vancouver-Est"," 614","Vancouver",9,175,3,28,36,1,252,
59030,"Vancouver East/Vancouver-Est"," 615","Vancouver",23,204,0,29,50,1,307,
59030,"Vancouver East/Vancouver-Est"," 616","Vancouver",15,174,1,22,39,1,252,
59030,"Vancouver East/Vancouver-Est",,Group 1/Groupe 1,44,70,0,15,16,16,161,210
59030,"Vancouver East/Vancouver-Est",,Group 2/Groupe 2,86,490,4,81,79,9,749,
