Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Karygiannis,Nancy Patchell,Pauline Thompson,Harry Tsai,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 52","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 53","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 54","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 55","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 56","Scarborough",75,56,1,49,1,182,378
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 56-1","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 56-2","Scarborough",70,32,2,18,2,124,261
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 57","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 58","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 59","Scarborough",59,40,2,46,3,150,278
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 60","Scarborough",124,44,4,69,1,242,538
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 61","Scarborough",85,59,2,20,1,167,451
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 62","Scarborough",70,47,7,69,1,194,444
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 63","Scarborough",106,52,6,70,2,236,550
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 64","Scarborough",97,35,4,73,1,210,434
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 65","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 66","Scarborough",91,34,8,96,0,229,390
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 67","Scarborough",98,31,6,82,3,220,411
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 68","Scarborough",104,40,4,82,3,233,452
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 69","Scarborough",141,46,7,95,2,291,541
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 70","Scarborough",108,37,3,94,0,242,442
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 71","Scarborough",111,24,5,84,1,225,445
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 72","Scarborough",82,37,8,67,0,194,377
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 73","Scarborough",92,32,8,82,2,216,408
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 74","Scarborough",56,20,3,31,3,113,233
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 75","Scarborough",84,29,8,90,1,212,428
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 76","Scarborough",120,27,7,54,1,209,344
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 77","Scarborough",94,35,4,52,1,186,332
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 78","Scarborough",102,17,7,91,1,218,423
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 79","Scarborough",67,36,16,72,1,192,377
