Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul William Baker,Justin Chatwin,Joe Oliver,Joe Volpe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 46","Toronto",8,20,69,98,0,195,359
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 47","North York",4,35,59,150,0,248,441
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 48","North York",6,21,63,99,4,193,391
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 49","North York",0,13,61,60,0,134,231
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 50","North York",8,27,115,46,0,196,356
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 51","North York",7,63,74,77,0,221,446
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 52","North York",1,29,53,52,3,138,314
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 53","North York",1,33,34,35,0,103,263
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 54","North York",2,19,78,47,0,146,328
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 55","North York",6,20,114,43,1,184,292
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 56","North York",3,12,122,68,1,206,426
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 57","North York",7,20,65,56,1,149,326
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 58","North York",6,23,84,77,1,191,404
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 59","North York",1,7,4,6,0,18,35
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 60","North York",Void/Supprimé,,,,,,
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 61A","North York",2,42,74,41,0,159,200
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 61B","North York",Merged with No. 416/Fusionné avec le nº 416,,,,,,146
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 62","North York",6,14,154,61,0,235,440
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 63","North York",9,29,143,89,2,272,466
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 64","North York",4,28,79,67,0,178,391
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 65","North York",1,59,28,58,2,148,339
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 66","North York",5,52,19,69,5,150,393
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 67","North York",7,66,42,83,1,199,482
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 68","North York",1,61,23,63,1,149,324
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 69","North York",5,43,43,100,2,193,365
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 70","North York",10,48,67,85,2,212,479
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 70-1","North York",2,14,54,87,1,158,354
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 71","North York",Void/Supprimé,,,,,,
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 72","North York",3,27,50,116,0,196,360
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 73","North York",4,26,50,98,2,180,291
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 74","North York",3,14,30,32,0,79,179
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 75","North York",8,29,66,102,2,207,363
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 76","North York",5,23,68,85,2,183,347
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 77","North York",5,19,96,86,0,206,422
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 78","North York",4,14,246,31,1,296,598
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 79","North York",3,19,89,27,0,138,273
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 80","North York",5,31,163,71,0,270,475
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 81","North York",2,34,79,91,4,210,372
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 82","North York",2,23,72,124,2,223,384
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 83","North York",13,60,72,73,6,224,497
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 84","North York",13,63,75,70,0,221,497
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 85","North York",7,25,52,95,4,183,396
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 86","North York",6,36,80,119,2,243,514
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 87","North York",3,25,45,115,2,190,354
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 88","North York",4,20,44,96,2,166,315
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 89","North York",6,24,39,77,0,146,299
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 90","North York",1,24,167,82,1,275,495
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 91","North York",3,13,129,29,0,174,407
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 92","North York",9,20,109,73,0,211,422
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 93","North York",6,21,119,63,0,209,390
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 94","Toronto",12,53,176,167,0,408,768
