Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charmaine Borg,Diane Bourgeois,Robert Frégeau,Michel Paulette,Jean-Philippe Payment,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 1","Sainte-Anne-des-Plaines",103,61,13,6,37,7,227,464
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 2A","Sainte-Anne-des-Plaines",78,57,8,1,16,4,164,317
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 2B","Sainte-Anne-des-Plaines",66,44,2,1,17,0,130,297
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 3","Sainte-Anne-des-Plaines",86,80,15,2,11,5,199,357
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 4","Sainte-Anne-des-Plaines",120,74,9,4,17,5,229,460
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 5A","Sainte-Anne-des-Plaines",96,80,10,2,20,2,210,365
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 5B","Sainte-Anne-des-Plaines",81,60,11,2,9,3,166,321
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 6","Sainte-Anne-des-Plaines",115,94,15,5,18,4,251,572
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 7A","Sainte-Anne-des-Plaines",97,68,5,3,16,3,192,315
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 7B","Sainte-Anne-des-Plaines",92,60,12,6,20,3,193,318
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 8","Sainte-Anne-des-Plaines",164,100,15,7,28,5,319,499
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 9","Sainte-Anne-des-Plaines",162,115,18,8,34,4,341,574
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 10","Sainte-Anne-des-Plaines",115,71,21,6,21,6,240,399
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 11","Sainte-Anne-des-Plaines",82,77,15,3,18,2,197,391
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 12","Sainte-Anne-des-Plaines",97,68,15,3,17,8,208,428
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 13","Sainte-Anne-des-Plaines",108,80,8,5,15,6,222,369
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 14","Sainte-Anne-des-Plaines",112,81,8,7,13,6,227,396
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 15","Sainte-Anne-des-Plaines",140,101,16,4,14,8,283,446
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 16","Sainte-Anne-des-Plaines",115,122,6,5,14,2,264,533
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 17","Sainte-Anne-des-Plaines",72,80,8,3,17,2,182,359
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 18","Sainte-Anne-des-Plaines",80,54,11,4,14,8,171,345
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 19","Sainte-Anne-des-Plaines",116,118,17,7,18,8,284,599
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 20","Sainte-Anne-des-Plaines",98,75,18,5,15,5,216,383
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 21","Sainte-Anne-des-Plaines",148,92,26,18,22,5,311,578
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 22","Terrebonne",142,75,15,11,22,4,269,554
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 23","Terrebonne",120,60,12,3,20,3,218,395
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 23-1","Terrebonne",112,74,19,2,25,3,235,477
