Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Renée Hetherington,Edith Loring-Kuhanga,Gary Lunn,Elizabeth May,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 1","North Galiano",6,19,37,144,1,207,501
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 2","Ganges",10,15,41,223,2,291,415
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 3","Ganges",6,28,73,182,0,289,437
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 4","Sturdies Bay",6,23,51,110,0,190,440
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 5","Saturna",1,20,45,149,1,216,297
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 6","Vesuvius",5,16,35,61,0,117,176
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 7","Vesuvius",14,19,73,197,2,305,455
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 8","Ganges",13,19,51,233,1,317,513
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 9","Long Harbour",5,16,68,235,1,325,535
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 10","Mayne",10,16,59,132,0,217,434
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 11","Mayne",11,17,65,148,0,241,496
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 12","Vesuvius",13,21,41,162,0,237,348
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 13","Ganges",7,25,67,210,0,309,495
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 14","Ganges",10,34,63,213,0,320,496
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 15","Ganges",7,26,63,199,1,296,567
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 16","Ganges",13,26,63,182,0,284,449
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 17","Ganges",6,18,46,228,0,298,520
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 18","Ganges",8,14,68,215,0,305,529
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 19","Ganges",12,15,52,194,0,273,455
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 20","Ganges",4,23,67,268,1,363,611
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 21","Fulford Harbour",6,22,42,232,0,302,460
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 22","Port Washington",6,13,47,115,0,181,295
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 23","Port Washington",4,9,26,51,0,90,140
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 24","Fulford Harbour",5,6,22,203,0,236,363
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 25","Fulford Harbour",11,17,37,293,1,359,526
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 26","Pender Island",9,26,72,129,0,236,435
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 27","Pender Island",13,22,73,195,0,303,560
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 28","Pender Island",5,14,70,159,0,248,470
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 29","Deep Cove",18,14,94,143,0,269,398
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 30","Deep Cove",16,16,128,127,2,289,450
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 31","Swartz Bay",14,21,98,149,0,282,452
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 32","Swartz Bay",12,15,129,141,0,297,502
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 33","Swartz Bay",11,5,90,90,0,196,325
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 34","Deep Cove",22,22,91,175,0,310,505
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 35","Deep Cove",24,28,109,180,1,342,493
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 36","Deep Cove",8,14,61,122,1,206,305
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 37","Swartz Bay",4,20,75,80,0,179,257
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 38","Swartz Bay",10,23,160,86,0,279,412
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 39","Ardmore",9,58,89,81,0,237,380
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 40","Sidney",16,18,130,124,0,288,454
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 41","Ardmore",9,29,134,156,2,330,518
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 42","Sidney",9,20,118,155,0,302,502
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 43","Ardmore",12,35,72,144,1,264,530
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 44","Sidney",4,8,107,84,0,203,306
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 45","Sidney",13,6,107,93,0,219,355
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 46","Sidney",9,11,114,80,0,214,335
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 47","Sidney",11,18,117,110,0,256,441
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 48","Saanichton",8,13,109,55,0,185,286
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 49","Saanichton",10,16,91,128,1,246,389
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 50","Saanichton",15,14,113,123,0,265,433
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 51","Saanichton",11,31,125,111,1,279,449
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 52","Sidney",9,22,96,97,0,224,374
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 53","Sidney",6,8,45,47,0,106,206
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 54","Sidney",10,11,102,84,0,207,357
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 55","Sidney",16,22,115,156,0,309,530
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 56","Sidney",9,24,127,104,1,265,447
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 57","Sidney",9,27,119,116,0,271,431
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 58","Sidney",7,23,133,117,0,280,452
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 59","Sidney",10,26,105,128,0,269,437
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 60","Sidney",5,37,85,110,0,237,421
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 61","Sidney",6,25,76,119,2,228,397
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 62","Sidney",10,21,123,108,0,262,446
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 63","Sidney",6,32,101,104,3,246,390
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 64","Sidney",13,33,126,99,0,271,405
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 65","Sidney",9,12,79,82,0,182,298
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 66","Sidney",11,17,93,85,1,207,302
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 67","Sidney",17,22,112,102,1,254,397
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 68","Sidney",21,35,98,100,0,254,401
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 69","Sidney",19,23,160,112,0,314,496
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 70","Sidney",7,31,100,128,0,266,442
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 71","Sidney",14,31,94,120,0,259,426
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 72","Sidney",6,31,110,109,1,257,395
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 73","Sidney",18,38,117,102,0,275,433
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 74","Sidney",9,18,111,56,1,195,316
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 75","Saanichton",4,13,125,139,2,283,463
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 76","Saanichton",12,21,120,110,0,263,445
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 77","Saanichton",9,27,70,92,0,198,331
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 77-1","Central Saanich",5,28,112,74,0,219,403
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 78","Saanichton",7,20,103,90,1,221,369
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 79","Saanichton",17,19,92,92,2,222,375
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 80","Saanichton",12,33,97,113,0,255,456
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 81","Saanichton",8,47,91,100,0,246,414
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 82","East Saanich 2",12,74,132,69,0,287,462
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 83","Saanichton",11,22,103,63,0,199,370
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 84","East Saanich 2",10,73,86,93,0,262,494
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 84-1","East Saanich 2",2,25,9,15,1,52,151
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 85","South Saanich 1",4,40,31,70,0,145,360
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 85-1","Capital G",1,40,9,55,0,105,256
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 86","Saanichton",11,37,94,140,2,284,486
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 87","Central Saanich",5,34,97,121,1,258,459
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 88","Central Saanich",12,37,90,115,0,254,475
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 89","Keating",8,23,115,119,0,265,448
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 90","Keating",10,18,85,87,0,200,368
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 91","Keating",9,23,90,55,0,177,307
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 92","Keating",12,43,112,118,0,285,475
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 93","East Saanich 2",12,40,151,133,0,336,631
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 94","Central Saanich",5,27,74,131,0,237,352
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 95","Brentwood Bay",10,29,97,139,0,275,442
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 96","Central Saanich",14,30,95,162,2,303,473
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 97","Central Saanich",7,16,89,129,0,241,348
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 98","Brentwood Bay",16,15,138,103,0,272,449
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 99","Brentwood Bay",14,32,129,111,0,286,482
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 100","Central Saanich",15,26,93,118,0,252,431
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 101","Keating",18,23,124,132,0,297,456
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 102","Keating",9,29,115,118,0,271,443
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 103","Keating",14,26,103,98,0,241,361
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 104","Keating",20,46,149,107,1,323,565
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 105","Keating",1,11,50,48,0,110,184
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 105-1","Central Saanich",18,23,113,95,0,249,415
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 106","Cordova Bay",12,23,165,98,0,298,433
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 107","Cordova Bay",20,11,146,55,1,233,375
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 108","Cordova Bay",22,37,115,135,1,310,468
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 109","Cordova Bay",21,30,112,128,0,291,480
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 110","Saanich",18,50,110,134,1,313,465
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 111","Cordova Bay",19,27,129,110,1,286,416
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 112","Saanich",22,32,123,148,1,326,474
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 113","Cordova Bay",13,18,97,119,0,247,392
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 114","Cordova Bay",19,40,131,99,3,292,478
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 115","Saanich",23,29,114,88,0,254,410
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 116","Saanich",34,24,124,91,1,274,453
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 117","Cordova Bay",25,21,111,111,1,269,462
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 118","Saanich",11,33,89,77,0,210,380
