Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Earl Dreeshen,Andrew Lineker,Mason Connor Woodruff Sisson,Stuart Somerville,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48023,"Red Deer/Red Deer"," 1","Evarts",194,4,5,13,1,217,336
48023,"Red Deer/Red Deer"," 2","Benalto",196,3,14,33,2,248,514
48023,"Red Deer/Red Deer"," 2-1","Red Deer County",103,1,4,11,1,120,200
48023,"Red Deer/Red Deer"," 3","Kevisville",255,5,15,21,1,297,426
48023,"Red Deer/Red Deer"," 4","Markerville",366,8,18,29,0,421,627
48023,"Red Deer/Red Deer"," 5","Sylvan Lake",213,9,8,36,0,266,594
48023,"Red Deer/Red Deer"," 5-1","Sylvan Lake",106,6,4,24,0,140,341
48023,"Red Deer/Red Deer"," 5-2","Sylvan Lake",42,7,4,17,0,70,230
48023,"Red Deer/Red Deer"," 6","Sylvan Lake",112,8,11,27,2,160,388
48023,"Red Deer/Red Deer"," 7","Sylvan Lake",94,5,9,12,2,122,305
48023,"Red Deer/Red Deer"," 7-1","Sylvan Lake",89,1,2,14,0,106,336
48023,"Red Deer/Red Deer"," 7-2","Sylvan Lake",139,7,7,27,0,180,429
48023,"Red Deer/Red Deer"," 7-3","Sylvan Lake",134,4,16,23,0,177,515
48023,"Red Deer/Red Deer"," 7-4","Sylvan Lake",Void/Supprimé,,,,,,
48023,"Red Deer/Red Deer"," 8","Sylvan Lake",160,5,6,14,0,185,425
48023,"Red Deer/Red Deer"," 8-1","Sylvan Lake",177,11,11,29,0,228,636
48023,"Red Deer/Red Deer"," 8-2","Sylvan Lake",182,5,11,16,0,214,542
48023,"Red Deer/Red Deer"," 8-3","Sylvan Lake",153,2,6,19,0,180,373
48023,"Red Deer/Red Deer"," 8-4","Sylvan Lake",182,8,6,12,1,209,451
48023,"Red Deer/Red Deer"," 8-5","Sylvan Lake",64,4,2,18,0,88,198
48023,"Red Deer/Red Deer"," 9","Sylvan Lake",165,6,12,24,1,208,428
48023,"Red Deer/Red Deer"," 10","Sylvan Lake",126,4,13,19,1,163,385
48023,"Red Deer/Red Deer"," 11","Sylvan Lake",247,4,8,36,0,295,545
48023,"Red Deer/Red Deer"," 11-1","Sylvan Lake",88,0,2,28,0,118,273
48023,"Red Deer/Red Deer"," 11-2","Sylvan Lake",123,3,7,24,0,157,381
48023,"Red Deer/Red Deer"," 12","Sylvan Lake",90,4,7,10,2,113,330
48023,"Red Deer/Red Deer"," 13","Sylvan Lake",189,8,4,21,0,222,437
48023,"Red Deer/Red Deer"," 13-1","Red Deer County",128,0,0,3,0,131,194
48023,"Red Deer/Red Deer"," 14","Jarvis Bay",185,9,17,21,1,233,405
48023,"Red Deer/Red Deer"," 14-1","Red Deer County",148,2,8,12,0,170,329
48023,"Red Deer/Red Deer"," 15","Red Deer",60,7,7,24,0,98,178
48023,"Red Deer/Red Deer"," 16","Red Deer County",114,2,4,18,0,138,241
48023,"Red Deer/Red Deer"," 17","Red Deer County",272,8,15,29,0,324,632
48023,"Red Deer/Red Deer"," 18","Mintlaw",183,4,21,16,0,224,381
48023,"Red Deer/Red Deer"," 19","Red Deer County",177,4,11,14,0,206,382
48023,"Red Deer/Red Deer"," 20","Red Deer County",168,4,4,17,0,193,306
48023,"Red Deer/Red Deer"," 20-1","Red Deer County",106,1,3,3,0,113,245
