Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Glen Carabin,Rodger Cuzner,Derrick Clarence Kennedy,Marney Jeanne Simmons,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12001,"Cape Breton--Canso/Cape Breton--Canso"," 1","Chéticamp",7,76,37,40,4,164,255
12001,"Cape Breton--Canso/Cape Breton--Canso"," 2","Belle-Marche",2,57,36,32,4,131,214
12001,"Cape Breton--Canso/Cape Breton--Canso"," 3","Chéticamp",1,57,28,19,2,107,195
12001,"Cape Breton--Canso/Cape Breton--Canso"," 4","Chéticamp",33,95,55,6,1,190,313
12001,"Cape Breton--Canso/Cape Breton--Canso"," 5","Belle-Marche",2,127,75,34,6,244,372
12001,"Cape Breton--Canso/Cape Breton--Canso"," 6","Chéticamp",1,33,21,12,2,69,144
12001,"Cape Breton--Canso/Cape Breton--Canso"," 7","Plateau",12,99,67,26,3,207,322
12001,"Cape Breton--Canso/Cape Breton--Canso"," 8","Point Cross",15,104,60,36,3,218,334
12001,"Cape Breton--Canso/Cape Breton--Canso"," 9","St. Joseph du Moine",1,64,36,30,2,133,199
12001,"Cape Breton--Canso/Cape Breton--Canso"," 10","Belle Côte",5,50,40,26,0,121,167
12001,"Cape Breton--Canso/Cape Breton--Canso"," 11","Margaree Harbour",1,44,29,11,1,86,145
12001,"Cape Breton--Canso/Cape Breton--Canso"," 12","Margaree",11,47,60,32,0,150,203
12001,"Cape Breton--Canso/Cape Breton--Canso"," 13","Big Intervale",5,79,49,14,0,147,225
12001,"Cape Breton--Canso/Cape Breton--Canso"," 14","Margaree Forks",5,43,45,21,0,114,165
12001,"Cape Breton--Canso/Cape Breton--Canso"," 15","North East Margaree",13,125,142,24,0,304,440
12001,"Cape Breton--Canso/Cape Breton--Canso"," 16","Dunvegan",4,61,46,28,3,142,219
12001,"Cape Breton--Canso/Cape Breton--Canso"," 17","Scotsville",5,94,41,20,1,161,249
12001,"Cape Breton--Canso/Cape Breton--Canso"," 18","Inverness",4,77,61,18,2,162,295
12001,"Cape Breton--Canso/Cape Breton--Canso"," 19","Inverness",5,56,53,31,2,147,279
12001,"Cape Breton--Canso/Cape Breton--Canso"," 20","Inverness",3,59,51,27,0,140,249
12001,"Cape Breton--Canso/Cape Breton--Canso"," 21","Inverness",2,116,56,42,0,216,375
12001,"Cape Breton--Canso/Cape Breton--Canso"," 22","Strathlorne",2,95,65,30,1,193,360
12001,"Cape Breton--Canso/Cape Breton--Canso"," 23","Mabou",12,105,65,34,1,217,352
12001,"Cape Breton--Canso/Cape Breton--Canso"," 24","Glendyer",1,50,30,13,0,94,131
12001,"Cape Breton--Canso/Cape Breton--Canso"," 25","Brook Village",8,47,45,25,0,125,204
12001,"Cape Breton--Canso/Cape Breton--Canso"," 26","Stewartdale",9,51,78,38,2,178,287
12001,"Cape Breton--Canso/Cape Breton--Canso"," 27","Whycocomagh",4,108,101,30,1,244,352
12001,"Cape Breton--Canso/Cape Breton--Canso"," 28","Whycocomagh Reserve",1,73,111,69,2,256,380
12001,"Cape Breton--Canso/Cape Breton--Canso"," 29","Port Hood",8,109,63,31,4,215,332
12001,"Cape Breton--Canso/Cape Breton--Canso"," 30","Mabou",8,99,57,29,1,194,278
12001,"Cape Breton--Canso/Cape Breton--Canso"," 31","Port Hood",11,165,78,40,4,298,457
12001,"Cape Breton--Canso/Cape Breton--Canso"," 32","Glencoe Station",6,116,65,41,3,231,389
12001,"Cape Breton--Canso/Cape Breton--Canso"," 33","Judique",4,114,76,25,1,220,301
12001,"Cape Breton--Canso/Cape Breton--Canso"," 34","Orangedale",10,58,39,19,2,128,207
12001,"Cape Breton--Canso/Cape Breton--Canso"," 35","Blues Mills",3,81,87,10,0,181,228
12001,"Cape Breton--Canso/Cape Breton--Canso"," 36","Valley Mills",4,27,25,20,1,77,135
12001,"Cape Breton--Canso/Cape Breton--Canso"," 37","Glendale",3,48,46,20,0,117,155
12001,"Cape Breton--Canso/Cape Breton--Canso"," 38","West Bay Road",3,64,68,53,0,188,311
12001,"Cape Breton--Canso/Cape Breton--Canso"," 39","Creignish",7,113,84,36,2,242,394
12001,"Cape Breton--Canso/Cape Breton--Canso"," 40","Port Hastings",8,86,83,66,2,245,415
12001,"Cape Breton--Canso/Cape Breton--Canso"," 41","Port Hastings",7,99,75,64,3,248,427
12001,"Cape Breton--Canso/Cape Breton--Canso"," 42","Port Hawkesbury",4,116,76,60,2,258,478
12001,"Cape Breton--Canso/Cape Breton--Canso"," 43","Port Hawkesbury",6,41,65,55,3,170,359
12001,"Cape Breton--Canso/Cape Breton--Canso"," 44","Port Hawkesbury",6,69,62,42,1,180,431
12001,"Cape Breton--Canso/Cape Breton--Canso"," 45","Port Hawkesbury",9,105,72,46,0,232,406
12001,"Cape Breton--Canso/Cape Breton--Canso"," 46","Port Hawkesbury",2,59,69,44,1,175,346
12001,"Cape Breton--Canso/Cape Breton--Canso"," 47","Port Hawkesbury",3,57,58,41,1,160,334
12001,"Cape Breton--Canso/Cape Breton--Canso"," 48","Port Hawkesbury",3,38,27,22,0,90,330
12001,"Cape Breton--Canso/Cape Breton--Canso"," 49","Cleveland",5,37,32,39,0,113,212
12001,"Cape Breton--Canso/Cape Breton--Canso"," 50","Cleveland",11,120,79,74,5,289,477
12001,"Cape Breton--Canso/Cape Breton--Canso"," 51","St. Georges Channel",10,70,64,41,0,185,297
12001,"Cape Breton--Canso/Cape Breton--Canso"," 52","Sampsonville",12,81,139,74,4,310,473
12001,"Cape Breton--Canso/Cape Breton--Canso"," 53","River Bourgeois",5,91,85,50,2,233,378
12001,"Cape Breton--Canso/Cape Breton--Canso"," 54","Louisdale",1,91,57,29,0,178,314
12001,"Cape Breton--Canso/Cape Breton--Canso"," 55","River Bourgeois",9,77,60,36,0,182,278
12001,"Cape Breton--Canso/Cape Breton--Canso"," 56","St. Peter's",5,117,84,59,3,268,460
12001,"Cape Breton--Canso/Cape Breton--Canso"," 57","Louisdale",1,48,60,31,0,140,225
12001,"Cape Breton--Canso/Cape Breton--Canso"," 58","Louisdale",3,107,45,38,0,193,320
12001,"Cape Breton--Canso/Cape Breton--Canso"," 59","Janvrin Harbour",8,50,49,25,7,139,219
12001,"Cape Breton--Canso/Cape Breton--Canso"," 60","D'Escousse",8,97,55,39,2,201,322
12001,"Cape Breton--Canso/Cape Breton--Canso"," 61","D'Escousse",3,99,49,33,2,186,278
12001,"Cape Breton--Canso/Cape Breton--Canso"," 62","West Arichat",5,64,58,38,3,168,290
12001,"Cape Breton--Canso/Cape Breton--Canso"," 63","Arichat",6,109,66,47,1,229,402
12001,"Cape Breton--Canso/Cape Breton--Canso"," 64","Arichat",6,147,58,46,4,261,413
12001,"Cape Breton--Canso/Cape Breton--Canso"," 65","Petit-de-Grat",5,144,54,36,3,242,398
12001,"Cape Breton--Canso/Cape Breton--Canso"," 66","Petit-de-Grat",3,80,24,22,4,133,205
12001,"Cape Breton--Canso/Cape Breton--Canso"," 67","Sampsons Cove",2,70,58,14,1,145,236
12001,"Cape Breton--Canso/Cape Breton--Canso"," 68","Johnstown",2,44,44,12,0,102,162
12001,"Cape Breton--Canso/Cape Breton--Canso"," 69","Chapel Island 5",12,52,35,31,0,130,315
12001,"Cape Breton--Canso/Cape Breton--Canso"," 70","Rockdale",9,118,55,40,0,222,368
12001,"Cape Breton--Canso/Cape Breton--Canso"," 71","L'Ardoise",1,69,34,12,1,117,209
12001,"Cape Breton--Canso/Cape Breton--Canso"," 72","L'Ardoise",1,66,38,19,1,125,243
12001,"Cape Breton--Canso/Cape Breton--Canso"," 73","Grand River",3,28,50,14,0,95,153
12001,"Cape Breton--Canso/Cape Breton--Canso"," 74","Framboise",0,19,14,11,0,44,73
12001,"Cape Breton--Canso/Cape Breton--Canso"," 75","Mira Road",6,110,86,54,6,262,421
12001,"Cape Breton--Canso/Cape Breton--Canso"," 76","Mira Road",9,106,55,62,0,232,375
12001,"Cape Breton--Canso/Cape Breton--Canso"," 77","Dutch Brook",8,59,49,50,0,166,284
12001,"Cape Breton--Canso/Cape Breton--Canso"," 78","Hillside",14,134,99,60,3,310,534
12001,"Cape Breton--Canso/Cape Breton--Canso"," 79","Sydney River",4,103,59,43,3,212,349
12001,"Cape Breton--Canso/Cape Breton--Canso"," 80","Sydney River",10,117,75,32,2,236,407
12001,"Cape Breton--Canso/Cape Breton--Canso"," 81","Sydney River",12,111,85,49,4,261,423
12001,"Cape Breton--Canso/Cape Breton--Canso"," 82","Sydney River",10,121,68,45,0,244,432
12001,"Cape Breton--Canso/Cape Breton--Canso"," 83","Sydney River",6,103,59,56,1,225,432
12001,"Cape Breton--Canso/Cape Breton--Canso"," 84","Sydney Forks",4,25,30,23,0,82,148
12001,"Cape Breton--Canso/Cape Breton--Canso"," 85","Sydney River",4,37,48,17,0,106,202
12001,"Cape Breton--Canso/Cape Breton--Canso"," 86","Howie Centre",9,67,79,59,1,215,450
12001,"Cape Breton--Canso/Cape Breton--Canso"," 87","Howie Centre",11,111,70,47,2,241,424
12001,"Cape Breton--Canso/Cape Breton--Canso"," 88","Sydney Forks",0,91,65,44,2,202,341
12001,"Cape Breton--Canso/Cape Breton--Canso"," 89","Sydney Forks",10,64,54,57,1,186,352
12001,"Cape Breton--Canso/Cape Breton--Canso"," 90","Sydney Forks",11,55,36,26,3,131,276
12001,"Cape Breton--Canso/Cape Breton--Canso"," 91","Marion Bridge",8,76,88,34,2,208,319
12001,"Cape Breton--Canso/Cape Breton--Canso"," 92","Sydney Forks",7,89,80,44,2,222,391
12001,"Cape Breton--Canso/Cape Breton--Canso"," 93","East Bay",13,76,58,37,5,189,298
12001,"Cape Breton--Canso/Cape Breton--Canso"," 94","Big Pond",5,100,55,45,1,206,373
12001,"Cape Breton--Canso/Cape Breton--Canso"," 95","Huntington",4,61,49,48,0,162,291
12001,"Cape Breton--Canso/Cape Breton--Canso"," 96","Catalone",4,77,152,65,3,301,482
12001,"Cape Breton--Canso/Cape Breton--Canso"," 97","Main-à-Dieu",4,56,86,38,0,184,324
12001,"Cape Breton--Canso/Cape Breton--Canso"," 98","Bateston",4,89,88,30,2,213,353
12001,"Cape Breton--Canso/Cape Breton--Canso"," 99","Louisbourg",3,62,64,28,0,157,262
12001,"Cape Breton--Canso/Cape Breton--Canso"," 100","Louisbourg",2,36,66,19,0,123,221
12001,"Cape Breton--Canso/Cape Breton--Canso"," 101","Louisbourg",4,69,83,14,3,173,313
12001,"Cape Breton--Canso/Cape Breton--Canso"," 102","Trout Brook",8,80,54,53,0,195,378
12001,"Cape Breton--Canso/Cape Breton--Canso"," 103","Grand Mira South",7,87,62,30,1,187,303
12001,"Cape Breton--Canso/Cape Breton--Canso"," 104","Gabarus",3,46,46,20,0,115,199
12001,"Cape Breton--Canso/Cape Breton--Canso"," 105","Gardiner Mines",11,74,59,98,1,243,415
12001,"Cape Breton--Canso/Cape Breton--Canso"," 106","Gardiner Mines",0,34,11,34,0,79,181
12001,"Cape Breton--Canso/Cape Breton--Canso"," 107","Reserve Mines",2,66,44,44,1,157,384
12001,"Cape Breton--Canso/Cape Breton--Canso"," 108","Reserve Mines",6,73,34,51,0,164,371
12001,"Cape Breton--Canso/Cape Breton--Canso"," 109","Reserve Mines",4,123,46,51,1,225,434
12001,"Cape Breton--Canso/Cape Breton--Canso"," 110","Grand Lake Road",3,98,57,45,3,206,367
12001,"Cape Breton--Canso/Cape Breton--Canso"," 111","Grand Lake Road",3,99,45,38,3,188,301
12001,"Cape Breton--Canso/Cape Breton--Canso"," 112","Gardiner Mines",10,95,27,112,0,244,395
12001,"Cape Breton--Canso/Cape Breton--Canso"," 113","Cape Breton",7,54,27,55,0,143,306
12001,"Cape Breton--Canso/Cape Breton--Canso"," 114","Cape Breton",11,99,48,44,1,203,417
12001,"Cape Breton--Canso/Cape Breton--Canso"," 115","Cape Breton",14,115,33,54,3,219,376
12001,"Cape Breton--Canso/Cape Breton--Canso"," 116","Cape Breton",1,47,28,24,0,100,214
12001,"Cape Breton--Canso/Cape Breton--Canso"," 117","Cape Breton",3,94,32,39,1,169,376
12001,"Cape Breton--Canso/Cape Breton--Canso"," 118","Cape Breton",4,65,21,47,1,138,277
12001,"Cape Breton--Canso/Cape Breton--Canso"," 119","Cape Breton",3,91,23,43,0,160,369
12001,"Cape Breton--Canso/Cape Breton--Canso"," 120","Cape Breton",5,99,33,53,1,191,452
12001,"Cape Breton--Canso/Cape Breton--Canso"," 121","Cape Breton",4,61,17,23,0,105,225
12001,"Cape Breton--Canso/Cape Breton--Canso"," 122","Cape Breton",1,81,16,27,0,125,273
12001,"Cape Breton--Canso/Cape Breton--Canso"," 123","Cape Breton",5,71,28,35,1,140,284
12001,"Cape Breton--Canso/Cape Breton--Canso"," 124","Cape Breton",8,50,23,28,3,112,271
12001,"Cape Breton--Canso/Cape Breton--Canso"," 125","Glace Bay",3,82,18,50,7,160,355
12001,"Cape Breton--Canso/Cape Breton--Canso"," 126","Cape Breton",7,161,50,43,0,261,497
12001,"Cape Breton--Canso/Cape Breton--Canso"," 127","Cape Breton",12,96,24,32,3,167,360
12001,"Cape Breton--Canso/Cape Breton--Canso"," 128","Cape Breton",7,99,25,41,1,173,349
12001,"Cape Breton--Canso/Cape Breton--Canso"," 129","Cape Breton",2,76,32,25,3,138,312
12001,"Cape Breton--Canso/Cape Breton--Canso"," 130","Cape Breton",6,117,33,32,1,189,378
12001,"Cape Breton--Canso/Cape Breton--Canso"," 131","Cape Breton",8,84,23,40,2,157,269
12001,"Cape Breton--Canso/Cape Breton--Canso"," 132","Cape Breton",4,127,28,54,0,213,420
12001,"Cape Breton--Canso/Cape Breton--Canso"," 133","Cape Breton",1,119,27,61,0,208,429
12001,"Cape Breton--Canso/Cape Breton--Canso"," 134","Cape Breton",5,71,27,47,4,154,343
12001,"Cape Breton--Canso/Cape Breton--Canso"," 135","Cape Breton",5,89,46,27,2,169,388
12001,"Cape Breton--Canso/Cape Breton--Canso"," 136","Cape Breton",5,77,28,20,1,131,259
12001,"Cape Breton--Canso/Cape Breton--Canso"," 137","Cape Breton",3,66,26,19,1,115,281
12001,"Cape Breton--Canso/Cape Breton--Canso"," 138","Cape Breton",4,66,18,15,0,103,266
12001,"Cape Breton--Canso/Cape Breton--Canso"," 139","Cape Breton",7,83,29,27,0,146,332
12001,"Cape Breton--Canso/Cape Breton--Canso"," 140","Cape Breton",3,73,25,27,2,130,339
12001,"Cape Breton--Canso/Cape Breton--Canso"," 141","Cape Breton",3,57,18,30,0,108,246
12001,"Cape Breton--Canso/Cape Breton--Canso"," 142","Cape Breton",1,79,18,28,2,128,360
12001,"Cape Breton--Canso/Cape Breton--Canso"," 143","Cape Breton",1,115,27,33,0,176,324
